,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,56353587,1e-05
1,20.0,0.0,-7.905045464792238,56353587,1e-05
2,30.0,0.0,-1.0,56353587,1e-05
3,0.0,0.0,-39.0,29906485,1e-05
4,20.0,0.0,-29.838404867784647,29906485,1e-05
5,40.0,0.0,-15.999999999999993,29906485,1e-05
6,0.0,0.0,-61.0,6268875,1e-05
7,20.0,0.0,-48.34438374781349,6268875,1e-05
8,60.0,0.0,-27.0,6268875,1e-05
9,0.0,0.0,-72.0,64081488,1e-05
10,30.0,0.0,-55.5,64081488,1e-05
11,60.0,0.0,-39.0,64081488,1e-05
12,20.0,0.0,-66.09049089899376,50996563,1e-05
13,60.0,0.0,-52.0,50996563,1e-05
14,70.0,0.0,-77.0,7277985,1e-05
15,80.0,0.0,-71.0,7277985,1e-05
