,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,2748087,1e-05
1,20.0,0.0,-5.511025983889439,2748087,1e-05
2,30.0,0.0,-1.0,2748087,1e-05
3,0.0,0.0,-39.0,48630723,1e-05
4,20.0,0.0,-25.803537395216622,48630723,1e-05
5,40.0,0.0,-15.999999999999993,48630723,1e-05
6,0.0,0.0,-61.0,81088993,1e-05
7,20.0,0.0,-51.936730373153296,81088993,1e-05
8,60.0,0.0,-27.0,81088993,1e-05
9,0.0,0.0,-72.0,63340347,1e-05
10,30.0,0.0,-55.5,63340347,1e-05
11,60.0,0.0,-39.0,63340347,1e-05
12,20.0,0.0,-69.03213558234877,50760243,1e-05
13,60.0,0.0,-52.0,50760243,1e-05
14,70.0,0.0,-77.0,174995,1e-05
15,80.0,0.0,-71.0,174995,1e-05
