
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.05      0.88      0.80      0.97    512.13      1.03
cov_eigen_values_1[1]      0.30      0.02      0.29      0.27      0.32    796.33      1.02
cov_eigen_values_1[2]      0.24      0.01      0.24      0.22      0.27    640.09      1.03
cov_eigen_values_1[3]      0.20      0.01      0.20      0.17      0.22    246.96      1.09
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06   1505.50      1.01
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05   1300.09      1.02
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01   2881.67      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02   2091.75      1.01
cov_eigen_values_2[0]      1.33      0.15      1.31      1.10      1.57    282.00      1.05
cov_eigen_values_2[1]      0.91      0.09      0.91      0.77      1.07    727.70      1.03
cov_eigen_values_2[2]      0.74      0.08      0.73      0.62      0.86    411.67      1.05
cov_eigen_values_2[3]      0.38      0.04      0.38      0.31      0.45    200.89      1.10
cov_eigen_values_2[4]      0.28      0.03      0.28      0.23      0.33    717.58      1.03
cov_eigen_values_2[5]      0.16      0.02      0.15      0.13      0.18    100.77      1.20
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08    754.02      1.02
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    879.58      1.02
cov_eigen_values_3[0]      2.29      0.23      2.28      1.90      2.64    479.32      1.04
cov_eigen_values_3[1]      0.79      0.08      0.78      0.67      0.91    505.82      1.03
cov_eigen_values_3[2]      0.54      0.05      0.54      0.45      0.62    447.42      1.04
cov_eigen_values_3[3]      0.23      0.02      0.23      0.20      0.27    729.06      1.03
cov_eigen_values_3[4]      0.19      0.02      0.18      0.16      0.21    600.68      1.04
cov_eigen_values_3[5]      0.16      0.02      0.16      0.13      0.18    581.34      1.04
cov_eigen_values_3[6]      0.05      0.00      0.05      0.04      0.05    962.51      1.02
cov_eigen_values_3[7]      0.03      0.00      0.03      0.03      0.04   1009.10      1.02
       mean_data_1[0]      2.11      0.01      2.11      2.09      2.13    922.82      1.02
       mean_data_1[1]     -0.52      0.01     -0.52     -0.54     -0.50    377.38      1.05
       mean_data_1[2]      0.04      0.01      0.04      0.02      0.05    618.47      1.03
       mean_data_1[3]      0.02      0.03      0.02     -0.02      0.07   1219.42      1.01
       mean_data_1[4]      0.01      0.01      0.01     -0.02      0.03    452.09      1.04
       mean_data_1[5]      0.00      0.01      0.00     -0.02      0.02    650.32      1.03
       mean_data_1[6]      0.01      0.02      0.01     -0.02      0.04    617.93      1.04
       mean_data_1[7]      0.01      0.01      0.01     -0.01      0.02    574.52      1.04
       mean_data_2[0]     -4.01      0.03     -4.01     -4.06     -3.96    246.69      1.08
       mean_data_2[1]     -2.71      0.02     -2.71     -2.74     -2.68    404.03      1.05
       mean_data_2[2]     -0.05      0.01     -0.05     -0.06     -0.03    623.35      1.03
       mean_data_2[3]     -0.07      0.03     -0.07     -0.12     -0.02    375.37      1.05
       mean_data_2[4]     -0.02      0.03     -0.02     -0.07      0.02    723.54      1.03
       mean_data_2[5]      0.00      0.03      0.00     -0.04      0.05    441.95      1.04
       mean_data_2[6]      0.01      0.02      0.01     -0.01      0.04    961.96      1.01
       mean_data_2[7]      0.01      0.03      0.01     -0.03      0.06    717.07      1.02
       mean_data_3[0]     -1.82      0.02     -1.82     -1.84     -1.79    652.91      1.03
       mean_data_3[1]      3.61      0.02      3.61      3.57      3.65    450.12      1.05
       mean_data_3[2]     -0.05      0.03     -0.05     -0.10      0.00    546.36      1.03
       mean_data_3[3]      0.01      0.02      0.01     -0.03      0.05    762.46      1.03
       mean_data_3[4]      0.00      0.03      0.00     -0.04      0.04    543.93      1.03
       mean_data_3[5]     -0.01      0.02     -0.01     -0.03      0.02    306.44      1.06
       mean_data_3[6]     -0.03      0.03     -0.03     -0.07      0.01    569.40      1.03
       mean_data_3[7]     -0.02      0.02     -0.02     -0.05      0.01    427.19      1.04
                 mu_1      0.02      0.00      0.02      0.01      0.02    308.23      1.07
                 mu_2      0.01      0.00      0.01      0.00      0.01    247.46      1.08

Number of divergences: 1220
