,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,27803545,1e-05
1,20.0,0.0,-12.302161534303643,27803545,1e-05
2,30.0,0.0,-1.0,27803545,1e-05
3,0.0,0.0,-39.0,67630234,1e-05
4,20.0,0.0,-27.227845861615222,67630234,1e-05
5,40.0,0.0,-15.999999999999993,67630234,1e-05
6,0.0,0.0,-61.0,5840739,1e-05
7,20.0,0.0,-49.471220967570446,5840739,1e-05
8,60.0,0.0,-27.0,5840739,1e-05
9,0.0,0.0,-72.0,54149793,1e-05
10,30.0,0.0,-55.5,54149793,1e-05
11,60.0,0.0,-39.0,54149793,1e-05
12,20.0,0.0,-74.88251549988685,43811034,1e-05
13,60.0,0.0,-52.0,43811034,1e-05
14,70.0,0.0,-77.0,77979508,1e-05
15,80.0,0.0,-71.0,77979508,1e-05
