
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.00      0.42      0.42      0.42       nan       nan
cov_eigen_values_1[1]      0.08      0.00      0.08      0.08      0.08       nan       nan
cov_eigen_values_1[2]      0.05      0.00      0.05      0.05      0.05       nan       nan
cov_eigen_values_1[3]      0.03      0.00      0.03      0.03      0.03       nan       nan
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_2[0]      0.56      0.00      0.56      0.56      0.56       nan       nan
cov_eigen_values_2[1]      0.07      0.00      0.07      0.07      0.07       nan       nan
cov_eigen_values_2[2]      0.06      0.00      0.06      0.06      0.06       nan       nan
cov_eigen_values_2[3]      0.05      0.00      0.05      0.05      0.05       nan       nan
cov_eigen_values_2[4]      0.05      0.00      0.05      0.05      0.05       nan       nan
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.03       nan       nan
cov_eigen_values_3[0]      0.32      0.00      0.32      0.32      0.32       nan       nan
cov_eigen_values_3[1]      0.14      0.00      0.14      0.14      0.14       nan       nan
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_3[4]      0.07      0.00      0.07      0.07      0.07       nan       nan
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.05       nan       nan
cov_eigen_values_3[6]      0.06      0.00      0.06      0.06      0.06       nan       nan
cov_eigen_values_3[7]      0.06      0.00      0.06      0.06      0.06       nan       nan
cov_eigen_values_4[0]      0.19      0.00      0.19      0.19      0.19       nan       nan
cov_eigen_values_4[1]      0.08      0.00      0.08      0.08      0.08       nan       nan
cov_eigen_values_4[2]      0.05      0.00      0.05      0.05      0.05       nan       nan
cov_eigen_values_4[3]      0.04      0.00      0.04      0.04      0.04       nan       nan
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_4[6]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_5[0]      0.54      0.00      0.54      0.54      0.54       nan       nan
cov_eigen_values_5[1]      0.07      0.00      0.07      0.07      0.07       nan       nan
cov_eigen_values_5[2]      0.06      0.00      0.06      0.06      0.06       nan       nan
cov_eigen_values_5[3]      0.03      0.00      0.03      0.03      0.03       nan       nan
cov_eigen_values_5[4]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_5[7]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_6[0]      0.13      0.00      0.13      0.13      0.13       nan       nan
cov_eigen_values_6[1]      0.04      0.00      0.04      0.04      0.04       nan       nan
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_6[3]      0.02      0.00      0.02      0.02      0.02       nan       nan
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01       nan       nan
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00       nan       nan
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00       nan       nan
       mean_data_1[0]     -3.72      0.00     -3.72     -3.72     -3.72       nan       nan
       mean_data_1[1]      0.46      0.00      0.46      0.46      0.46       nan       nan
       mean_data_1[2]      0.38      0.00      0.38      0.38      0.38       nan       nan
