
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.05      0.43      0.33      0.48      5.89      1.27
cov_eigen_values_1[1]      0.02      0.00      0.01      0.01      0.02     16.15      1.10
cov_eigen_values_1[2]      0.07      0.01      0.07      0.06      0.08     12.39      0.98
cov_eigen_values_2[0]      0.75      0.06      0.76      0.67      0.87      3.27      2.11
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.05     33.18      1.03
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04     36.95      0.99
cov_eigen_values_3[0]      0.25      0.02      0.25      0.22      0.27     23.75      1.01
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02     35.88      1.06
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06     20.47      0.98
cov_eigen_values_4[0]      0.22      0.02      0.22      0.19      0.25      9.97      1.05
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02     45.20      0.98
cov_eigen_values_4[2]      0.04      0.00      0.03      0.03      0.04     40.17      1.00
cov_eigen_values_5[0]      0.56      0.09      0.57      0.44      0.72      8.03      1.05
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.02     25.29      0.98
cov_eigen_values_5[2]      0.04      0.00      0.04      0.03      0.05     17.99      0.99
cov_eigen_values_6[0]      0.12      0.01      0.12      0.10      0.13     14.35      1.02
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01     26.35      1.02
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04     39.96      1.02
       mean_data_1[0]     -3.80      0.08     -3.81     -3.93     -3.70     11.37      1.03
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.44     13.05      0.99
       mean_data_1[2]      0.41      0.01      0.41      0.39      0.43     12.09      1.05
       mean_data_2[0]     -1.13      0.05     -1.14     -1.20     -1.06      8.35      1.25
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.54     53.11      1.00
       mean_data_2[2]      0.54      0.01      0.54      0.53      0.55      5.96      1.51
       mean_data_3[0]      3.90      0.02      3.90      3.87      3.93      8.00      1.04
       mean_data_3[1]     -0.44      0.01     -0.44     -0.45     -0.42      7.20      1.00
       mean_data_3[2]     -0.10      0.01     -0.10     -0.11     -0.09     13.28      1.14
       mean_data_4[0]      2.70      0.02      2.71      2.67      2.73      8.68      1.26
       mean_data_4[1]     -0.03      0.01     -0.03     -0.04     -0.03     18.91      1.03
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.21     11.21      1.45
       mean_data_5[0]      0.77      0.08      0.78      0.59      0.89      9.80      1.21
       mean_data_5[1]      1.47      0.01      1.48      1.46      1.48      9.81      1.31
       mean_data_5[2]     -1.03      0.02     -1.03     -1.06     -1.00     19.63      1.09
       mean_data_6[0]     -6.87      0.00     -6.87     -6.87     -6.87     30.73      1.03
       mean_data_6[1]     -0.64      0.01     -0.64     -0.66     -0.62     11.59      1.00
       mean_data_6[2]     -0.31      0.01     -0.31     -0.32     -0.30     16.51      0.99
                 mu_1      3.33      0.10      3.34      3.21      3.46     12.84      0.99
                 mu_2      2.72      0.13      2.74      2.53      2.98     15.96      1.12
                 mu_3      1.35      0.16      1.36      1.00      1.51      9.67      0.98
                 mu_4     -0.20      0.23     -0.30     -0.40      0.22      4.48      1.48
                pi[0]      0.08      0.01      0.08      0.06      0.10     12.48      1.04
                pi[1]      0.19      0.03      0.19      0.17      0.23     30.69      1.00
                pi[2]      0.34      0.03      0.34      0.31      0.39     19.68      1.05
                pi[3]      0.14      0.02      0.14      0.10      0.16     13.53      1.04
                pi[4]      0.09      0.01      0.09      0.08      0.11     11.85      1.10
                pi[5]      0.16      0.02      0.15      0.12      0.18      4.75      1.03

Number of divergences: 45
