
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.90      0.05      0.90      0.83      1.00    138.66      1.00
cov_eigen_values_1[1]      0.29      0.02      0.29      0.26      0.31    346.96      1.02
cov_eigen_values_1[2]      0.24      0.01      0.24      0.21      0.26    145.89      1.00
cov_eigen_values_1[3]      0.20      0.01      0.20      0.17      0.21    166.66      1.01
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06    164.48      1.01
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05    111.14      1.01
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01    132.08      1.01
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02    128.87      1.01
cov_eigen_values_2[0]      1.32      0.13      1.31      1.08      1.52    131.35      1.00
cov_eigen_values_2[1]      0.94      0.11      0.93      0.78      1.11     99.81      1.03
cov_eigen_values_2[2]      0.75      0.09      0.74      0.58      0.87     55.17      1.02
cov_eigen_values_2[3]      0.38      0.04      0.38      0.32      0.44    211.00      1.00
cov_eigen_values_2[4]      0.28      0.03      0.28      0.23      0.33    247.27      0.99
cov_eigen_values_2[5]      0.16      0.02      0.15      0.13      0.18    143.71      0.99
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.09    238.95      0.99
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    147.83      1.00
cov_eigen_values_3[0]      2.29      0.22      2.28      1.84      2.59    209.19      1.00
cov_eigen_values_3[1]      0.80      0.09      0.79      0.66      0.92    113.82      1.00
cov_eigen_values_3[2]      0.54      0.05      0.53      0.47      0.62    184.30      0.99
cov_eigen_values_3[3]      0.23      0.02      0.23      0.19      0.26    143.27      0.99
cov_eigen_values_3[4]      0.19      0.02      0.18      0.16      0.21    220.11      1.00
cov_eigen_values_3[5]      0.16      0.02      0.16      0.13      0.19    115.98      1.00
cov_eigen_values_3[6]      0.05      0.01      0.05      0.04      0.06     75.40      0.99
cov_eigen_values_3[7]      0.03      0.00      0.03      0.03      0.04    143.56      1.00
       mean_data_1[0]     -2.11      0.02     -2.11     -2.14     -2.08     68.85      1.04
       mean_data_1[1]     -0.53      0.02     -0.52     -0.55     -0.50     57.27      1.03
       mean_data_1[2]      0.04      0.02      0.04      0.02      0.07     30.55      1.13
       mean_data_1[3]     -0.05      0.09     -0.04     -0.22      0.07     43.68      1.11
       mean_data_1[4]      0.02      0.03      0.01     -0.02      0.08     45.76      1.06
       mean_data_1[5]     -0.01      0.02     -0.01     -0.05      0.03     95.14      1.05
       mean_data_1[6]     -0.01      0.02     -0.01     -0.04      0.02    199.66      1.01
       mean_data_1[7]     -0.01      0.01     -0.00     -0.02      0.01    119.87      1.00
       mean_data_2[0]      4.02      0.11      4.02      3.86      4.19     96.28      1.00
       mean_data_2[1]     -2.72      0.06     -2.72     -2.81     -2.60    122.56      0.99
       mean_data_2[2]     -0.05      0.02     -0.05     -0.07     -0.02     93.26      1.00
       mean_data_2[3]      0.05      0.14      0.06     -0.16      0.26    108.81      1.01
       mean_data_2[4]     -0.04      0.13     -0.04     -0.29      0.14     81.01      0.99
       mean_data_2[5]     -0.00      0.08     -0.00     -0.12      0.15    120.45      1.00
       mean_data_2[6]     -0.01      0.05     -0.00     -0.07      0.07    103.91      0.99
       mean_data_2[7]     -0.00      0.08     -0.01     -0.13      0.12    107.66      1.00
       mean_data_3[0]      1.82      0.06      1.82      1.74      1.94     67.54      1.00
       mean_data_3[1]      3.61      0.06      3.61      3.48      3.69    119.60      0.99
       mean_data_3[2]     -0.06      0.35     -0.06     -0.60      0.46     91.26      1.01
       mean_data_3[3]      0.00      0.05      0.00     -0.08      0.08     74.64      1.00
       mean_data_3[4]     -0.00      0.08     -0.00     -0.13      0.13     96.00      1.00
       mean_data_3[5]      0.00      0.03      0.00     -0.05      0.04     79.49      1.00
       mean_data_3[6]      0.02      0.06      0.03     -0.10      0.10     67.16      1.01
       mean_data_3[7]      0.02      0.03      0.02     -0.02      0.07    121.14      0.99
                 mu_1      0.01      0.00      0.01      0.01      0.01    166.45      1.00
                 mu_2     -0.00      0.00     -0.00     -0.00     -0.00     96.14      1.00

Number of divergences: 0
