
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.03      0.88      0.84      0.93    186.25      1.00
cov_eigen_values_1[1]      0.29      0.02      0.29      0.26      0.32    281.82      1.00
cov_eigen_values_1[2]      0.24      0.02      0.24      0.21      0.26    824.92      1.00
cov_eigen_values_1[3]      0.20      0.01      0.19      0.18      0.21    161.74      1.00
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06    176.16      1.00
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05    136.91      1.01
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01    190.36      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02    122.30      0.99
cov_eigen_values_2[0]      1.28      0.03      1.27      1.23      1.32    231.25      0.99
cov_eigen_values_2[1]      0.89      0.03      0.89      0.85      0.94    166.13      0.99
cov_eigen_values_2[2]      0.72      0.03      0.72      0.67      0.75    395.85      0.99
cov_eigen_values_2[3]      0.37      0.03      0.37      0.33      0.42    316.76      0.99
cov_eigen_values_2[4]      0.27      0.02      0.27      0.24      0.31    202.31      1.00
cov_eigen_values_2[5]      0.15      0.01      0.15      0.13      0.18    321.77      0.99
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08    405.40      1.00
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    116.57      1.00
cov_eigen_values_3[0]      2.23      0.03      2.23      2.19      2.29    238.45      0.99
cov_eigen_values_3[1]      0.77      0.03      0.77      0.72      0.83    159.43      1.00
cov_eigen_values_3[2]      0.53      0.03      0.53      0.49      0.58    173.76      0.99
cov_eigen_values_3[3]      0.23      0.02      0.23      0.20      0.27    206.77      1.02
cov_eigen_values_3[4]      0.18      0.02      0.18      0.15      0.20    447.57      1.00
cov_eigen_values_3[5]      0.16      0.01      0.15      0.14      0.18    519.26      0.99
cov_eigen_values_3[6]      0.05      0.01      0.05      0.04      0.06     55.38      1.01
cov_eigen_values_3[7]      0.03      0.00      0.03      0.03      0.04    160.21      1.01
       mean_data_1[0]     -2.11      0.00     -2.11     -2.11     -2.11     64.28      0.99
       mean_data_1[1]     -0.52      0.00     -0.52     -0.52     -0.52    122.08      1.00
       mean_data_1[2]      0.04      0.00      0.04      0.04      0.04    200.09      0.99
       mean_data_1[3]     -0.02      0.00     -0.02     -0.02     -0.02    106.89      0.99
       mean_data_1[4]      0.01      0.00      0.01      0.01      0.01    110.30      1.00
       mean_data_1[5]     -0.00      0.00     -0.00     -0.00      0.00    198.14      1.00
       mean_data_1[6]     -0.01      0.00     -0.01     -0.01     -0.01    201.98      1.00
       mean_data_1[7]     -0.01      0.00     -0.01     -0.01     -0.00    126.39      0.99
       mean_data_2[0]      4.01      0.00      4.01      4.01      4.01    186.13      1.00
       mean_data_2[1]     -2.71      0.00     -2.71     -2.72     -2.71    129.14      0.99
       mean_data_2[2]     -0.05      0.00     -0.05     -0.05     -0.04    175.92      0.99
       mean_data_2[3]      0.07      0.00      0.07      0.07      0.07    131.08      1.00
       mean_data_2[4]     -0.02      0.00     -0.02     -0.02     -0.02    174.19      0.99
       mean_data_2[5]     -0.00      0.00     -0.00     -0.01     -0.00    141.21      1.00
       mean_data_2[6]     -0.01      0.00     -0.01     -0.01     -0.01    238.57      0.99
       mean_data_2[7]     -0.01      0.00     -0.01     -0.01     -0.01    116.68      1.00
       mean_data_3[0]      1.82      0.00      1.82      1.82      1.82    211.40      1.00
       mean_data_3[1]      3.61      0.00      3.61      3.61      3.61     76.66      1.00
       mean_data_3[2]     -0.05      0.00     -0.05     -0.05     -0.05    142.29      1.01
       mean_data_3[3]     -0.01      0.00     -0.01     -0.01     -0.00    135.01      1.01
       mean_data_3[4]     -0.00      0.00      0.00     -0.00      0.00    164.18      1.00
       mean_data_3[5]      0.00      0.00      0.00      0.00      0.01    124.01      1.00
       mean_data_3[6]      0.03      0.00      0.03      0.03      0.03    137.72      0.99
       mean_data_3[7]      0.02      0.00      0.02      0.02      0.02    105.63      1.00
                 mu_1      0.01      0.00      0.01      0.01      0.01     92.41      1.00
                 mu_2     -0.00      0.00     -0.00     -0.00     -0.00    102.48      1.00

Number of divergences: 0
