,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,1570326,1e-05
1,20.0,0.0,-11.05783247708829,1570326,1e-05
2,30.0,0.0,-1.0,1570326,1e-05
3,0.0,0.0,-39.0,88409780,1e-05
4,20.0,0.0,-28.54730113090592,88409780,1e-05
5,40.0,0.0,-15.999999999999993,88409780,1e-05
6,0.0,0.0,-61.0,40274173,1e-05
7,20.0,0.0,-50.13170309518239,40274173,1e-05
8,60.0,0.0,-27.0,40274173,1e-05
9,0.0,0.0,-72.0,43176880,1e-05
10,30.0,0.0,-55.5,43176880,1e-05
11,60.0,0.0,-39.0,43176880,1e-05
12,20.0,0.0,-73.92450900038,91484335,1e-05
13,60.0,0.0,-52.0,91484335,1e-05
14,70.0,0.0,-77.0,68273596,1e-05
15,80.0,0.0,-71.0,68273596,1e-05
