
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.43      0.03      0.42      0.38      0.47     11.73      1.13
cov_eigen_values_1[1]      0.09      0.01      0.09      0.07      0.10     19.51      0.99
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     14.72      1.00
cov_eigen_values_1[3]      0.03      0.01      0.03      0.03      0.04     24.04      1.03
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03     85.99      1.02
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    111.82      1.03
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02     56.27      0.99
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    213.41      0.99
cov_eigen_values_2[0]      0.62      0.11      0.59      0.50      0.86      3.32      1.87
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09     24.80      1.02
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.09     14.46      1.01
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     48.69      1.00
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     55.01      0.99
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01    179.22      0.99
cov_eigen_values_2[6]      0.02      0.00      0.02      0.01      0.02    174.85      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    100.98      1.00
cov_eigen_values_3[0]      0.33      0.02      0.33      0.31      0.37      8.23      1.31
cov_eigen_values_3[1]      0.14      0.01      0.15      0.12      0.16     14.79      1.01
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00     62.46      1.01
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    166.04      0.99
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     41.29      1.06
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.06     72.35      1.02
cov_eigen_values_3[6]      0.06      0.00      0.06      0.06      0.07     80.60      1.00
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.06     68.33      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28      5.40      1.34
cov_eigen_values_4[1]      0.09      0.01      0.08      0.06      0.10     17.32      1.00
cov_eigen_values_4[2]      0.06      0.01      0.06      0.05      0.07     26.48      1.04
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     41.46      0.99
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03    103.13      0.99
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00     86.07      1.00
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    160.91      1.00
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    177.07      1.00
cov_eigen_values_5[0]      0.50      0.06      0.50      0.42      0.60      4.08      1.15
cov_eigen_values_5[1]      0.10      0.02      0.10      0.08      0.14      9.46      1.02
cov_eigen_values_5[2]      0.07      0.01      0.06      0.05      0.09      8.75      1.11
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05     14.65      1.05
cov_eigen_values_5[4]      0.02      0.00      0.02      0.02      0.03     60.84      1.03
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02    164.16      0.99
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     82.84      1.00
cov_eigen_values_5[7]     -0.00      0.00     -0.00     -0.00      0.00    103.19      1.02
cov_eigen_values_6[0]      0.14      0.02      0.14      0.12      0.17     10.67      1.03
cov_eigen_values_6[1]      0.04      0.00      0.04      0.03      0.05     65.86      0.99
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03     82.01      0.99
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    107.62      1.04
