,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,51836280,1e-05
1,20.0,0.0,-2.185491630217129,51836280,1e-05
2,30.0,0.0,-1.0,51836280,1e-05
3,0.0,0.0,-39.0,97778394,1e-05
4,20.0,0.0,-17.254999619115523,97778394,1e-05
5,40.0,0.0,-15.999999999999993,97778394,1e-05
6,0.0,0.0,-61.0,11750831,1e-05
7,20.0,0.0,-39.28020278917849,11750831,1e-05
8,60.0,0.0,-27.0,11750831,1e-05
9,0.0,0.0,-72.0,81127889,1e-05
10,30.0,0.0,-55.5,81127889,1e-05
11,60.0,0.0,-39.0,81127889,1e-05
12,20.0,0.0,-75.08492858055413,72495908,1e-05
13,60.0,0.0,-52.0,72495908,1e-05
14,70.0,0.0,-77.0,64693806,1e-05
15,80.0,0.0,-71.0,64693806,1e-05
