,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,51836280,1e-05
1,20.0,0.0,-3.140828072168432,51836280,1e-05
2,30.0,0.0,-1.0,51836280,1e-05
3,0.0,0.0,-39.0,97778394,1e-05
4,20.0,0.0,-17.21739615565447,97778394,1e-05
5,40.0,0.0,-15.999999999999993,97778394,1e-05
6,0.0,0.0,-61.0,11750831,1e-05
7,20.0,0.0,-40.40569835741521,11750831,1e-05
8,60.0,0.0,-27.0,11750831,1e-05
9,0.0,0.0,-72.0,81127889,1e-05
10,30.0,0.0,-55.5,81127889,1e-05
11,60.0,0.0,-39.0,81127889,1e-05
12,20.0,0.0,-74.29836151718628,72495908,1e-05
13,60.0,0.0,-52.0,72495908,1e-05
14,70.0,0.0,-77.0,64693806,1e-05
15,80.0,0.0,-71.0,64693806,1e-05
