
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.00      0.42      0.42      0.42     17.00      1.05
cov_eigen_values_1[1]      0.08      0.00      0.08      0.08      0.08      9.03      1.12
cov_eigen_values_1[2]      0.05      0.00      0.05      0.05      0.05     51.38      1.00
cov_eigen_values_1[3]      0.04      0.00      0.04      0.04      0.04     11.26      1.08
cov_eigen_values_1[4]      0.03      0.00      0.03      0.03      0.03      7.19      1.12
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00      7.72      1.16
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.02      9.65      1.09
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01      7.17      1.15
cov_eigen_values_2[0]      0.52      0.00      0.52      0.52      0.52     10.34      1.12
cov_eigen_values_2[1]      0.07      0.00      0.07      0.07      0.07      8.03      1.17
cov_eigen_values_2[2]      0.06      0.00      0.06      0.06      0.06     16.88      1.01
cov_eigen_values_2[3]      0.04      0.00      0.04      0.04      0.04     16.81      1.08
cov_eigen_values_2[4]      0.04      0.00      0.04      0.04      0.04     27.34      1.05
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00      8.05      1.15
cov_eigen_values_2[6]      0.01      0.00      0.01      0.01      0.01     93.45      1.04
cov_eigen_values_2[7]      0.01      0.00      0.01      0.01      0.01     10.16      1.07
cov_eigen_values_3[0]      0.32      0.00      0.32      0.32      0.32     12.15      1.06
cov_eigen_values_3[1]      0.14      0.00      0.14      0.14      0.14     10.07      1.25
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00      8.27      1.20
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02      6.46      1.19
cov_eigen_values_3[4]      0.07      0.00      0.07      0.07      0.07     28.55      1.04
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.05      7.86      1.12
cov_eigen_values_3[6]      0.06      0.00      0.06      0.06      0.06      9.56      1.18
cov_eigen_values_3[7]      0.06      0.00      0.06      0.06      0.06     10.02      1.11
cov_eigen_values_4[0]      0.66      0.00      0.66      0.66      0.66     13.17      1.12
