,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,8263482,1e-05
1,20.0,0.0,-10.022113459335536,8263482,1e-05
2,30.0,0.0,-1.0,8263482,1e-05
3,0.0,0.0,-39.0,80491584,1e-05
4,20.0,0.0,-28.061752753855757,80491584,1e-05
5,40.0,0.0,-15.999999999999993,80491584,1e-05
6,0.0,0.0,-61.0,21248067,1e-05
7,20.0,0.0,-47.30908780196352,21248067,1e-05
8,60.0,0.0,-27.0,21248067,1e-05
9,0.0,0.0,-72.0,11928419,1e-05
10,30.0,0.0,-55.5,11928419,1e-05
11,60.0,0.0,-39.0,11928419,1e-05
12,20.0,0.0,-73.94418589787497,75804664,1e-05
13,60.0,0.0,-52.0,75804664,1e-05
14,70.0,0.0,-77.0,82792922,1e-05
15,80.0,0.0,-71.0,82792922,1e-05
