,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,21400674,1e-05
1,20.0,0.0,-11.029631602198975,21400674,1e-05
2,30.0,0.0,-1.0,21400674,1e-05
3,0.0,0.0,-39.0,18287268,1e-05
4,20.0,0.0,-22.854853242063513,18287268,1e-05
5,40.0,0.0,-15.999999999999993,18287268,1e-05
6,0.0,0.0,-61.0,82413824,1e-05
7,20.0,0.0,-46.45550488974709,82413824,1e-05
8,60.0,0.0,-27.0,82413824,1e-05
9,0.0,0.0,-72.0,91094545,1e-05
10,30.0,0.0,-55.5,91094545,1e-05
11,60.0,0.0,-39.0,91094545,1e-05
12,20.0,0.0,-73.79361789651928,11520564,1e-05
13,60.0,0.0,-52.0,11520564,1e-05
14,70.0,0.0,-77.0,64500462,1e-05
15,80.0,0.0,-71.0,64500462,1e-05
