
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.01      0.46      0.45      0.46      8.42      1.14
cov_eigen_values_1[1]      0.08      0.00      0.08      0.08      0.08      8.84      1.14
cov_eigen_values_1[2]      0.04      0.00      0.04      0.04      0.04     11.52      1.09
cov_eigen_values_1[3]      0.03      0.00      0.03      0.03      0.04      6.52      1.21
cov_eigen_values_1[4]      0.03      0.00      0.02      0.02      0.03      6.53      1.21
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     16.29      1.11
cov_eigen_values_1[6]      0.02      0.00      0.03      0.02      0.03     11.04      1.06
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02      4.79      1.31
cov_eigen_values_2[0]      0.53      0.00      0.53      0.52      0.53      5.47      1.24
cov_eigen_values_2[1]      0.08      0.00      0.08      0.07      0.08      6.89      1.16
cov_eigen_values_2[2]      0.06      0.00      0.06      0.06      0.06      5.03      1.27
cov_eigen_values_2[3]      0.03      0.00      0.03      0.03      0.04     16.78      1.04
cov_eigen_values_2[4]      0.04      0.00      0.04      0.04      0.04      5.47      1.24
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00     27.73      1.01
cov_eigen_values_2[6]      0.01      0.00      0.01      0.01      0.01     16.69      1.16
cov_eigen_values_2[7]      0.01      0.00      0.01      0.01      0.01     24.05      1.02
cov_eigen_values_3[0]      0.32      0.01      0.32      0.32      0.32      9.24      1.12
cov_eigen_values_3[1]      0.15      0.01      0.15      0.15      0.17      5.93      1.21
cov_eigen_values_3[2]      0.01      0.00      0.01      0.00      0.01     19.91      1.13
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02     73.41      1.00
cov_eigen_values_3[4]      0.08      0.00      0.08      0.08      0.08     18.70      1.01
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.05      7.84      1.14
cov_eigen_values_3[6]      0.07      0.00      0.07      0.07      0.07     24.59      1.01
cov_eigen_values_3[7]      0.07      0.00      0.07      0.06      0.07     20.84      1.04
cov_eigen_values_4[0]      0.69      0.00      0.69      0.68      0.69      8.67      1.18
cov_eigen_values_4[1]      0.08      0.00      0.07      0.07      0.08      9.88      1.14
cov_eigen_values_4[2]      0.06      0.00      0.06      0.05      0.06      5.22      1.25
cov_eigen_values_4[3]      0.06      0.00      0.06      0.05      0.06      7.02      1.17
cov_eigen_values_4[4]      0.05      0.00      0.05      0.05      0.05     12.78      1.05
cov_eigen_values_4[5]      0.04      0.00      0.04      0.04      0.04      8.31      1.17
cov_eigen_values_4[6]      0.01      0.00      0.01      0.01      0.01      5.00      1.28
cov_eigen_values_4[7]      0.02      0.00      0.02      0.02      0.02     72.21      1.00
cov_eigen_values_5[0]      0.17      0.01      0.17      0.17      0.19      7.03      1.16
cov_eigen_values_5[1]      0.06      0.00      0.06      0.05      0.06     10.68      1.04
cov_eigen_values_5[2]      0.06      0.00      0.06      0.05      0.06      7.21      1.16
cov_eigen_values_5[3]      0.00      0.00      0.00      0.00      0.00     60.94      1.08
cov_eigen_values_5[4]      0.01      0.00      0.01      0.01      0.01     94.28      0.99
cov_eigen_values_5[5]      0.03      0.00      0.03      0.02      0.03      7.60      1.17
cov_eigen_values_5[6]      0.04      0.00      0.04      0.04      0.05      6.50      1.19
cov_eigen_values_5[7]      0.03      0.00      0.03      0.03      0.04     24.34      1.04
cov_eigen_values_6[0]      0.13      0.00      0.14      0.13      0.14      4.82      1.29
cov_eigen_values_6[1]      0.04      0.00      0.04      0.04      0.05     13.34      1.04
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.03     18.25      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.02      0.03      5.77      1.23
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01     26.19      1.11
cov_eigen_values_6[5]      0.01      0.00      0.01      0.01      0.01    130.26      1.01
