,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,92592561,1e-05
1,20.0,0.0,-10.35993396145733,92592561,1e-05
2,30.0,0.0,-1.0,92592561,1e-05
3,0.0,0.0,-39.0,2055136,1e-05
4,20.0,0.0,-29.16356179843313,2055136,1e-05
5,40.0,0.0,-15.999999999999993,2055136,1e-05
6,0.0,0.0,-61.0,88183939,1e-05
7,20.0,0.0,-47.521204913660625,88183939,1e-05
8,60.0,0.0,-27.0,88183939,1e-05
9,0.0,0.0,-72.0,63433359,1e-05
10,30.0,0.0,-55.5,63433359,1e-05
11,60.0,0.0,-39.0,63433359,1e-05
12,20.0,0.0,-74.56652816264331,85770009,1e-05
13,60.0,0.0,-52.0,85770009,1e-05
14,70.0,0.0,-77.0,64652859,1e-05
15,80.0,0.0,-71.0,64652859,1e-05
