,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,28545556,1e-05
1,20.0,0.0,-9.954907110481997,28545556,1e-05
2,30.0,0.0,-1.0,28545556,1e-05
3,0.0,0.0,-39.0,6838915,1e-05
4,20.0,0.0,-26.949587982264596,6838915,1e-05
5,40.0,0.0,-15.999999999999993,6838915,1e-05
6,0.0,0.0,-61.0,28665268,1e-05
7,20.0,0.0,-47.56311925415585,28665268,1e-05
8,60.0,0.0,-27.0,28665268,1e-05
9,0.0,0.0,-72.0,82991924,1e-05
10,30.0,0.0,-55.5,82991924,1e-05
11,60.0,0.0,-39.0,82991924,1e-05
12,20.0,0.0,-73.29739916774155,77467974,1e-05
13,60.0,0.0,-52.0,77467974,1e-05
14,70.0,0.0,-77.0,74593393,1e-05
15,80.0,0.0,-71.0,74593393,1e-05
