
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.00      0.42      0.42      0.42     66.03      1.00
cov_eigen_values_1[1]      0.08      0.00      0.08      0.08      0.08     52.17      1.02
cov_eigen_values_1[2]      0.04      0.00      0.04      0.04      0.04     32.03      1.04
cov_eigen_values_1[3]      0.04      0.00      0.04      0.04      0.04     55.96      1.01
cov_eigen_values_1[4]      0.03      0.00      0.03      0.03      0.03     23.40      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     21.18      1.07
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.02     30.05      1.04
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01     21.09      1.05
cov_eigen_values_2[0]      0.52      0.00      0.52      0.52      0.52     11.72      1.09
cov_eigen_values_2[1]      0.07      0.00      0.07      0.07      0.07     28.50      1.00
cov_eigen_values_2[2]      0.06      0.00      0.06      0.06      0.06     43.08      1.00
cov_eigen_values_2[3]      0.04      0.00      0.04      0.04      0.04     13.50      1.07
cov_eigen_values_2[4]      0.03      0.00      0.03      0.03      0.03     90.74      0.99
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00      8.32      1.14
cov_eigen_values_2[6]      0.01      0.00      0.01      0.01      0.01    132.20      0.99
cov_eigen_values_2[7]      0.01      0.00      0.01      0.01      0.01     34.64      1.00
cov_eigen_values_3[0]      0.32      0.00      0.32      0.32      0.32     10.17      1.11
cov_eigen_values_3[1]      0.14      0.00      0.14      0.14      0.14     21.11      1.00
cov_eigen_values_3[2]      0.01      0.00      0.01      0.00      0.01     11.38      1.10
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02     77.55      1.02
cov_eigen_values_3[4]      0.07      0.00      0.07      0.07      0.07      7.77      1.15
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.05     24.15      1.02
cov_eigen_values_3[6]      0.06      0.00      0.06      0.06      0.06     30.69      1.00
cov_eigen_values_3[7]      0.06      0.00      0.06      0.06      0.06     20.60      1.06
cov_eigen_values_4[0]      0.66      0.00      0.66      0.66      0.66     97.51      1.00
cov_eigen_values_4[1]      0.07      0.00      0.07      0.07      0.07     60.65      1.00
cov_eigen_values_4[2]      0.06      0.00      0.06      0.06      0.06     13.05      1.08
