
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.06      0.89      0.80      0.98    900.05      1.01
cov_eigen_values_1[1]      0.30      0.02      0.29      0.26      0.32   1455.27      1.00
cov_eigen_values_1[2]      0.24      0.01      0.24      0.21      0.26   1764.63      1.00
cov_eigen_values_1[3]      0.19      0.01      0.19      0.17      0.21   2983.54      1.00
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06   1694.29      1.00
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05   1341.78      1.00
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01   1176.40      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02   1464.98      1.00
cov_eigen_values_2[0]      2.30      0.24      2.27      1.92      2.67    191.81      1.05
cov_eigen_values_2[1]      0.79      0.08      0.79      0.67      0.92    941.17      1.01
cov_eigen_values_2[2]      0.54      0.05      0.53      0.46      0.62    908.44      1.00
cov_eigen_values_2[3]      0.23      0.02      0.23      0.19      0.26   1120.90      1.00
cov_eigen_values_2[4]      0.19      0.02      0.18      0.16      0.22   1775.88      1.00
cov_eigen_values_2[5]      0.16      0.01      0.16      0.13      0.18   1628.60      1.00
cov_eigen_values_2[6]      0.05      0.00      0.05      0.04      0.05   2143.24      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04   1182.66      1.00
cov_eigen_values_3[0]      1.31      0.14      1.30      1.08      1.55    741.84      1.02
cov_eigen_values_3[1]      0.92      0.10      0.91      0.76      1.07    738.77      1.01
cov_eigen_values_3[2]      0.73      0.08      0.73      0.59      0.84    863.48      1.00
cov_eigen_values_3[3]      0.38      0.04      0.38      0.31      0.44    823.92      1.00
cov_eigen_values_3[4]      0.28      0.03      0.28      0.23      0.33   1519.13      1.00
cov_eigen_values_3[5]      0.15      0.02      0.15      0.13      0.18   1477.41      1.00
cov_eigen_values_3[6]      0.07      0.01      0.07      0.06      0.08   2218.07      1.00
cov_eigen_values_3[7]      0.04      0.00      0.04      0.04      0.05   1523.61      1.00
       mean_data_1[0]      2.11      0.01      2.11      2.10      2.12   2181.29      1.00
       mean_data_1[1]     -0.52      0.01     -0.52     -0.54     -0.51   2421.43      1.00
       mean_data_1[2]      0.04      0.00      0.04      0.03      0.04   2507.19      1.00
       mean_data_1[3]      0.02      0.01      0.02      0.01      0.04   3425.40      1.00
       mean_data_1[4]      0.01      0.01      0.01     -0.00      0.02   2627.20      1.00
       mean_data_1[5]      0.00      0.01      0.00     -0.01      0.01   2014.13      1.00
       mean_data_1[6]      0.01      0.01      0.01     -0.01      0.02   2828.82      1.00
       mean_data_1[7]      0.01      0.01      0.01     -0.00      0.02   2409.37      1.00
       mean_data_2[0]     -1.82      0.01     -1.82     -1.83     -1.81   2291.72      1.00
       mean_data_2[1]      3.61      0.01      3.61      3.60      3.63   2339.75      1.00
       mean_data_2[2]     -0.05      0.01     -0.05     -0.07     -0.04   2774.41      1.00
       mean_data_2[3]      0.01      0.01      0.01     -0.01      0.02   2669.84      0.99
       mean_data_2[4]     -0.00      0.01     -0.00     -0.01      0.01   2704.48      1.00
       mean_data_2[5]     -0.00      0.01     -0.00     -0.01      0.01   2696.46      1.00
       mean_data_2[6]     -0.03      0.01     -0.03     -0.04     -0.01   2990.18      1.00
       mean_data_2[7]     -0.02      0.01     -0.02     -0.03     -0.01   2865.32      1.00
       mean_data_3[0]     -4.01      0.01     -4.01     -4.03     -4.00   2965.94      1.00
       mean_data_3[1]     -2.71      0.01     -2.71     -2.73     -2.70   3086.69      1.00
       mean_data_3[2]     -0.05      0.01     -0.05     -0.06     -0.04   2022.00      1.00
       mean_data_3[3]     -0.07      0.01     -0.07     -0.09     -0.05   3773.45      1.00
       mean_data_3[4]     -0.02      0.01     -0.02     -0.04     -0.01   3390.05      0.99
       mean_data_3[5]      0.00      0.01      0.00     -0.01      0.02   2180.60      1.00
       mean_data_3[6]      0.01      0.01      0.01     -0.00      0.02   2660.70      1.00
       mean_data_3[7]      0.01      0.01      0.01     -0.01      0.02   2432.34      1.00
                 mu_1      0.02      0.00      0.02      0.02      0.02   1586.90      1.00
                 mu_2      0.01      0.00      0.01      0.01      0.01   1511.70      1.00

Number of divergences: 0
