,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,9663501,1e-05
1,20.0,0.0,-5.996448945414329,9663501,1e-05
2,30.0,0.0,-1.0,9663501,1e-05
3,0.0,0.0,-39.0,69255085,1e-05
4,20.0,0.0,-26.222661808186643,69255085,1e-05
5,40.0,0.0,-15.999999999999993,69255085,1e-05
6,0.0,0.0,-61.0,22417755,1e-05
7,20.0,0.0,-49.910869691731946,22417755,1e-05
8,60.0,0.0,-27.0,22417755,1e-05
9,0.0,0.0,-72.0,34458651,1e-05
10,30.0,0.0,-55.5,34458651,1e-05
11,60.0,0.0,-39.0,34458651,1e-05
12,20.0,0.0,-68.79239949728418,5941538,1e-05
13,60.0,0.0,-52.0,5941538,1e-05
14,70.0,0.0,-77.0,63500635,1e-05
15,80.0,0.0,-71.0,63500635,1e-05
