,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,95814528,1e-05
1,20.0,0.0,-8.243131322511559,95814528,1e-05
2,30.0,0.0,-1.0,95814528,1e-05
3,0.0,0.0,-39.0,91488721,1e-05
4,20.0,0.0,-27.60346554329668,91488721,1e-05
5,40.0,0.0,-15.999999999999993,91488721,1e-05
6,0.0,0.0,-61.0,69412682,1e-05
7,20.0,0.0,-50.54723916259692,69412682,1e-05
8,60.0,0.0,-27.0,69412682,1e-05
9,0.0,0.0,-72.0,64268224,1e-05
10,30.0,0.0,-55.5,64268224,1e-05
11,60.0,0.0,-39.0,64268224,1e-05
12,20.0,0.0,-71.2007209468318,59652344,1e-05
13,60.0,0.0,-52.0,59652344,1e-05
14,70.0,0.0,-77.0,23195253,1e-05
15,80.0,0.0,-71.0,23195253,1e-05
