
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.46      0.06      0.44      0.37      0.55     12.74      1.46
cov_eigen_values_1[1]      0.09      0.02      0.08      0.06      0.12     60.04      1.16
cov_eigen_values_1[2]      0.05      0.01      0.05      0.03      0.07     61.15      1.12
cov_eigen_values_1[3]      0.04      0.01      0.04      0.02      0.05    146.63      1.06
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03    884.33      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    905.72      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    846.74      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    785.12      1.01
cov_eigen_values_2[0]      0.57      0.06      0.56      0.47      0.66     13.61      1.55
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09    275.11      1.03
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.08    105.56      1.08
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06    388.51      1.02
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06    454.92      1.01
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01   1156.42      1.00
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02   1129.00      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    770.65      1.01
cov_eigen_values_3[0]      0.32      0.03      0.32      0.27      0.36     48.54      1.19
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.16    119.28      1.09
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    870.96      1.01
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02   2032.31      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08    408.98      1.03
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05    586.88      1.01
cov_eigen_values_3[6]      0.06      0.01      0.06      0.06      0.07    507.08      1.02
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.06    659.03      1.01
cov_eigen_values_4[0]      0.21      0.03      0.21      0.16      0.26     56.56      1.15
cov_eigen_values_4[1]      0.09      0.01      0.08      0.06      0.11    110.99      1.07
cov_eigen_values_4[2]      0.06      0.01      0.06      0.04      0.07    265.78      1.03
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05    490.09      1.03
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03    729.96      1.00
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00   1104.78      1.00
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02   1232.08      1.00
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01   1176.01      1.00
cov_eigen_values_5[0]      0.61      0.15      0.56      0.41      0.82      8.52      2.53
cov_eigen_values_5[1]      0.08      0.02      0.07      0.05      0.10     41.31      1.21
cov_eigen_values_5[2]      0.07      0.02      0.07      0.05      0.09     43.95      1.20
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05    233.37      1.03
cov_eigen_values_5[4]      0.03      0.01      0.02      0.02      0.03    302.99      1.01
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02   1262.74      1.00
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00    759.70      1.00
cov_eigen_values_5[7]     -0.00      0.00      0.00     -0.00      0.00   1410.07      1.00
cov_eigen_values_6[0]      0.14      0.02      0.13      0.11      0.16     60.03      1.18
cov_eigen_values_6[1]      0.04      0.01      0.04      0.03      0.05    562.60      1.01
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03   1025.30      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02   1013.25      1.00
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01   1439.13      1.00
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00   1581.89      1.00
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00   1154.85      1.00
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00    892.90      1.00
       mean_data_1[0]     -3.71      0.08     -3.71     -3.84     -3.57     18.00      1.72
       mean_data_1[1]      0.47      0.01      0.47      0.45      0.48     26.87      1.28
       mean_data_1[2]      0.38      0.02      0.38      0.34      0.42     16.77      1.72
       mean_data_1[3]     -0.13      0.01     -0.13     -0.15     -0.10     22.25      1.40
       mean_data_1[4]     -0.03      0.01     -0.03     -0.05     -0.01     91.99      1.08
       mean_data_1[5]      0.08      0.01      0.08      0.07      0.09    239.02      1.03
       mean_data_1[6]     -0.06      0.01     -0.06     -0.07     -0.05     39.93      1.17
       mean_data_1[7]      0.02      0.01      0.02      0.00      0.03     54.55      1.12
       mean_data_2[0]     -1.04      0.08     -1.03     -1.18     -0.91      9.62      1.82
       mean_data_2[1]      0.56      0.01      0.56      0.55      0.57    163.50      1.05
       mean_data_2[2]      0.53      0.01      0.53      0.51      0.55     13.92      1.35
       mean_data_2[3]     -0.00      0.01     -0.00     -0.02      0.02     18.04      1.29
       mean_data_2[4]      0.05      0.01      0.05      0.03      0.07    101.53      1.08
       mean_data_2[5]     -0.04      0.01     -0.04     -0.06     -0.02     28.68      1.21
       mean_data_2[6]      0.02      0.01      0.02      0.01      0.03    101.38      1.08
       mean_data_2[7]     -0.01      0.01     -0.01     -0.02     -0.00    290.55      1.02
       mean_data_3[0]      3.92      0.03      3.92      3.89      3.97     20.00      1.32
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43     22.97      1.29
       mean_data_3[2]     -0.10      0.01     -0.10     -0.11     -0.08     23.10      1.26
       mean_data_3[3]     -0.02      0.03     -0.02     -0.07      0.02     15.83      1.38
       mean_data_3[4]      0.03      0.01      0.03      0.00      0.05     76.08      1.15
       mean_data_3[5]      0.00      0.01      0.00     -0.01      0.01    312.41      1.02
       mean_data_3[6]     -0.01      0.01     -0.01     -0.02      0.00    355.83      1.03
       mean_data_3[7]     -0.00      0.01     -0.00     -0.02      0.01    236.12      1.04
       mean_data_4[0]      2.69      0.03      2.70      2.65      2.75     52.79      1.18
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.01     55.05      1.17
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.22     97.09      1.10
       mean_data_4[3]      0.09      0.01      0.09      0.07      0.10     78.60      1.12
       mean_data_4[4]     -0.11      0.01     -0.11     -0.12     -0.09    111.47      1.09
       mean_data_4[5]      0.00      0.01      0.00     -0.01      0.02    136.72      1.08
       mean_data_4[6]      0.02      0.01      0.02     -0.00      0.04    137.34      1.07
       mean_data_4[7]      0.01      0.01      0.01     -0.00      0.03     92.07      1.09
       mean_data_5[0]      0.72      0.09      0.72      0.58      0.84     13.62      1.87
       mean_data_5[1]      1.44      0.01      1.44      1.43      1.45     23.28      1.40
       mean_data_5[2]     -1.07      0.02     -1.07     -1.09     -1.03     15.60      1.59
       mean_data_5[3]      0.01      0.01      0.01     -0.00      0.03     87.08      1.13
       mean_data_5[4]      0.00      0.02      0.00     -0.02      0.03     12.09      1.43
       mean_data_5[5]     -0.00      0.01     -0.00     -0.02      0.02     25.83      1.25
       mean_data_5[6]      0.01      0.01      0.01     -0.01      0.02     44.54      1.25
       mean_data_5[7]     -0.00      0.02     -0.00     -0.03      0.03     89.72      1.12
       mean_data_6[0]     -6.85      0.00     -6.85     -6.86     -6.84    272.90      1.03
       mean_data_6[1]     -0.65      0.02     -0.65     -0.68     -0.62     60.41      1.20
       mean_data_6[2]     -0.29      0.01     -0.29     -0.32     -0.27     49.48      1.19
       mean_data_6[3]      0.04      0.01      0.04      0.03      0.05     56.72      1.19
       mean_data_6[4]     -0.00      0.00     -0.00     -0.01      0.00    614.81      1.01
