
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.69      0.00      0.69      0.69      0.69      5.94      1.03
cov_eigen_values_1[1]      0.41      0.00      0.41      0.41      0.41      3.08      2.64
cov_eigen_values_1[2]      0.36      0.00      0.36      0.36      0.36      7.70      1.25
cov_eigen_values_1[3]      0.13      0.00      0.13      0.13      0.13      5.62      1.03
cov_eigen_values_1[4]      0.13      0.00      0.13      0.13      0.13      3.53      1.77
cov_eigen_values_1[5]      0.09      0.00      0.09      0.09      0.09      4.02      1.68
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.02      2.72      3.12
cov_eigen_values_1[7]      0.02      0.00      0.02      0.02      0.02      2.34      3.57
cov_eigen_values_2[0]      1.23      0.00      1.23      1.23      1.23      6.42      1.15
cov_eigen_values_2[1]      0.75      0.00      0.75      0.75      0.75     11.08      1.02
cov_eigen_values_2[2]      0.32      0.00      0.32      0.32      0.32      3.90      1.51
cov_eigen_values_2[3]      0.21      0.00      0.21      0.21      0.21      3.60      1.85
cov_eigen_values_2[4]      0.16      0.00      0.16      0.15      0.16      4.81      1.08
cov_eigen_values_2[5]      0.06      0.00      0.06      0.06      0.06      3.75      2.21
cov_eigen_values_2[6]      0.03      0.00      0.03      0.03      0.03      4.48      1.05
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.04      6.87      1.17
cov_eigen_values_3[0]      1.28      0.00      1.28      1.28      1.28      9.42      1.10
cov_eigen_values_3[1]      0.89      0.00      0.89      0.89      0.89      3.24      2.20
cov_eigen_values_3[2]      0.71      0.00      0.71      0.71      0.71      2.72      2.64
cov_eigen_values_3[3]      0.37      0.00      0.37      0.37      0.37      7.05      1.00
cov_eigen_values_3[4]      0.27      0.00      0.27      0.27      0.27      9.10      1.32
cov_eigen_values_3[5]      0.15      0.00      0.15      0.15      0.15      3.60      1.93
cov_eigen_values_3[6]      0.07      0.00      0.07      0.07      0.07      2.42      3.95
cov_eigen_values_3[7]      0.04      0.00      0.04      0.04      0.04      2.55      2.97
cov_eigen_values_4[0]      0.88      0.00      0.88      0.88      0.88      8.16      1.53
cov_eigen_values_4[1]      0.29      0.00      0.29      0.29      0.29      2.44      3.46
cov_eigen_values_4[2]      0.24      0.00      0.24      0.24      0.24      6.89      1.54
cov_eigen_values_4[3]      0.20      0.00      0.20      0.20      0.20      4.59      1.00
cov_eigen_values_4[4]      0.06      0.00      0.06      0.06      0.06      2.79      2.49
cov_eigen_values_4[5]      0.05      0.00      0.05      0.05      0.05      5.91      1.03
cov_eigen_values_4[6]      0.01      0.00      0.01      0.01      0.01      4.48      1.41
cov_eigen_values_4[7]      0.02      0.00      0.02      0.02      0.02      2.90      3.22
       mean_data_1[0]      1.68      0.00      1.68      1.68      1.68      2.39      3.85
       mean_data_1[1]      3.57      0.00      3.57      3.57      3.57      5.71      1.25
       mean_data_1[2]     -1.45      0.00     -1.45     -1.45     -1.45      6.28      1.20
