
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.04      0.01     -2.04     -2.05     -2.03    197.52      1.00
mean_data1[1]     -0.55      0.01     -0.55     -0.57     -0.54    170.85      0.99
mean_data1[2]      0.10      0.00      0.10      0.10      0.11    179.46      1.00
mean_data1[3]     -0.50      0.01     -0.50     -0.52     -0.48    148.44      0.99
mean_data1[4]      0.13      0.01      0.13      0.11      0.14    227.65      0.99
mean_data1[5]     -0.11      0.01     -0.11     -0.12     -0.10    124.61      1.00
mean_data1[6]     -0.02      0.01     -0.02     -0.03      0.00    171.46      1.00
mean_data1[7]     -0.02      0.01     -0.02     -0.03     -0.01     85.49      1.00
mean_data2[0]      4.01      0.01      4.01      3.99      4.03    314.74      1.01
mean_data2[1]     -2.71      0.01     -2.71     -2.73     -2.70    179.56      1.00
mean_data2[2]     -0.05      0.01     -0.05     -0.06     -0.04    193.83      1.00
mean_data2[3]      0.07      0.01      0.07      0.05      0.08    277.52      1.00
mean_data2[4]     -0.02      0.01     -0.02     -0.04     -0.01    196.95      0.99
mean_data2[5]     -0.01      0.01     -0.01     -0.02      0.01    211.17      0.99
mean_data2[6]     -0.01      0.01     -0.01     -0.03     -0.00    212.22      1.00
mean_data2[7]     -0.01      0.01     -0.01     -0.02      0.01    290.27      0.99
mean_data3[0]     -2.26      0.01     -2.26     -2.28     -2.24    237.71      0.99
mean_data3[1]     -0.46      0.01     -0.46     -0.48     -0.45    328.04      1.00
mean_data3[2]     -0.11      0.01     -0.12     -0.13     -0.10    234.49      1.00
mean_data3[3]      1.04      0.01      1.04      1.02      1.06    252.07      0.99
mean_data3[4]     -0.25      0.01     -0.25     -0.26     -0.23    319.10      0.99
mean_data3[5]      0.24      0.01      0.24      0.23      0.26    119.74      1.00
mean_data3[6]      0.01      0.01      0.01     -0.01      0.03    160.65      0.99
mean_data3[7]      0.02      0.01      0.02      0.01      0.04    130.94      0.99
mean_data4[0]      2.15      0.01      2.15      2.13      2.16    167.26      0.99
mean_data4[1]      3.69      0.01      3.69      3.68      3.71    204.32      1.00
mean_data4[2]      3.27      0.01      3.27      3.25      3.29    122.00      1.00
mean_data4[3]      0.24      0.01      0.24      0.22      0.25    134.91      1.00
mean_data4[4]     -0.00      0.01     -0.00     -0.02      0.02    136.00      0.99
mean_data4[5]      0.04      0.01      0.04      0.02      0.05    141.65      1.01
mean_data4[6]      0.06      0.01      0.06      0.04      0.08    211.51      0.99
mean_data4[7]      0.03      0.01      0.03      0.02      0.05    130.14      0.99
mean_data5[0]      1.77      0.01      1.77      1.75      1.78    136.41      1.00
mean_data5[1]      3.49      0.01      3.49      3.47      3.50    159.64      1.00
mean_data5[2]     -1.62      0.01     -1.62     -1.64     -1.60    142.91      0.99
mean_data5[3]     -0.22      0.01     -0.22     -0.23     -0.20     59.94      1.00
mean_data5[4]      0.43      0.01      0.43      0.42      0.45    413.79      0.99
mean_data5[5]      0.22      0.01      0.22      0.20      0.24    363.19      1.00
mean_data5[6]      0.48      0.01      0.48      0.47      0.50    338.86      1.00
mean_data5[7]     -0.09      0.01     -0.09     -0.11     -0.07    174.58      1.01
mean_data6[0]      1.63      0.01      1.63      1.62      1.65    253.58      1.00
mean_data6[1]      3.62      0.01      3.62      3.60      3.64    162.84      1.00
mean_data6[2]     -1.35      0.01     -1.35     -1.36     -1.33    180.55      0.99
mean_data6[3]     -0.04      0.01     -0.04     -0.06     -0.03    259.27      1.00
mean_data6[4]     -0.25      0.01     -0.25     -0.27     -0.24    148.12      0.99
mean_data6[5]     -0.14      0.01     -0.14     -0.16     -0.13    239.81      0.99
mean_data6[6]     -0.26      0.01     -0.26     -0.28     -0.25    174.64      1.02
mean_data6[7]      0.08      0.01      0.08      0.06      0.09    157.07      1.00
         mu_1      0.01      0.00      0.01      0.01      0.01    215.84      0.99
         mu_2      0.00      0.00      0.00      0.00      0.00    226.90      0.99

Number of divergences: 0
