
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.00      0.00      0.00      0.00      0.00      2.98      2.08
cov_eigen_values_1[1]      0.00      0.00      0.00      0.00      0.00      4.15      1.13
cov_eigen_values_1[2]      0.00      0.00      0.00      0.00      0.00      9.03      1.25
cov_eigen_values_1[3]      0.00      0.00      0.00      0.00      0.00      4.85      1.38
cov_eigen_values_1[4]     -0.00      0.00     -0.00     -0.00     -0.00      8.40      1.04
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00      2.42      2.95
cov_eigen_values_1[6]     -0.00      0.00     -0.00     -0.00     -0.00      5.13      1.21
cov_eigen_values_1[7]     -0.00      0.00     -0.00     -0.00      0.00      5.26      1.10
cov_eigen_values_2[0]     -0.00      0.00     -0.00     -0.00     -0.00      2.58      2.48
cov_eigen_values_2[1]     -0.00      0.00     -0.00     -0.00     -0.00      2.67      2.35
cov_eigen_values_2[2]      0.00      0.00      0.00      0.00      0.00      2.45      3.08
cov_eigen_values_2[3]      0.00      0.00      0.00      0.00      0.00      9.77      1.00
cov_eigen_values_2[4]      0.00      0.00      0.00      0.00      0.00      6.29      0.99
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00      7.29      1.56
cov_eigen_values_2[6]     -0.00      0.00     -0.00     -0.00      0.00      3.80      1.39
cov_eigen_values_2[7]     -0.00      0.00     -0.00     -0.00     -0.00      5.71      1.40
cov_eigen_values_3[0]     -0.00      0.00     -0.00     -0.00     -0.00      2.59      2.52
cov_eigen_values_3[1]     -0.00      0.00     -0.00     -0.00     -0.00      6.63      1.21
cov_eigen_values_3[2]     -0.00      0.00     -0.00     -0.00     -0.00      2.79      2.49
cov_eigen_values_3[3]      0.00      0.00      0.00      0.00      0.00      4.89      1.57
cov_eigen_values_3[4]     -0.00      0.00     -0.00     -0.00     -0.00      2.71      3.18
cov_eigen_values_3[5]     -0.00      0.00     -0.00     -0.00     -0.00      4.04      0.99
cov_eigen_values_3[6]     -0.00      0.00     -0.00     -0.00     -0.00     15.51      1.09
cov_eigen_values_3[7]     -0.00      0.00     -0.00     -0.00     -0.00      3.09      1.86
cov_eigen_values_4[0]     -0.00      0.00     -0.00     -0.00     -0.00      2.54      2.61
cov_eigen_values_4[1]      0.00      0.00      0.00      0.00      0.00      3.28      1.80
cov_eigen_values_4[2]      0.00      0.00      0.00      0.00      0.00      5.45      1.33
cov_eigen_values_4[3]     -0.00      0.00     -0.00     -0.00      0.00      2.81      2.67
cov_eigen_values_4[4]     -0.00      0.00     -0.00     -0.00     -0.00      3.37      1.77
cov_eigen_values_4[5]     -0.00      0.00     -0.00     -0.00     -0.00     16.35      0.99
cov_eigen_values_4[6]      0.00      0.00      0.00      0.00      0.00     14.75      0.99
cov_eigen_values_4[7]      0.00      0.00      0.00      0.00      0.00      6.38      1.07
