
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.03      0.88      0.84      0.94    194.71      1.00
cov_eigen_values_1[1]      0.29      0.02      0.29      0.26      0.32    332.64      1.00
cov_eigen_values_1[2]      0.24      0.02      0.24      0.21      0.26    338.51      0.99
cov_eigen_values_1[3]      0.20      0.01      0.19      0.18      0.21    174.00      1.00
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06    165.07      0.99
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05     90.19      0.99
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01     38.15      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02    110.14      0.99
cov_eigen_values_2[0]      1.27      0.04      1.28      1.21      1.35    198.56      1.00
cov_eigen_values_2[1]      0.89      0.03      0.89      0.83      0.92    321.96      0.99
cov_eigen_values_2[2]      0.72      0.03      0.72      0.67      0.76    135.89      1.00
cov_eigen_values_2[3]      0.37      0.02      0.37      0.34      0.41    263.61      0.99
cov_eigen_values_2[4]      0.27      0.02      0.27      0.24      0.30    166.23      1.00
cov_eigen_values_2[5]      0.15      0.01      0.15      0.13      0.17    200.11      1.00
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08    254.10      0.99
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    102.10      1.00
cov_eigen_values_3[0]      2.23      0.03      2.23      2.19      2.28    275.70      1.00
cov_eigen_values_3[1]      0.77      0.03      0.77      0.72      0.81    157.03      0.99
cov_eigen_values_3[2]      0.53      0.03      0.53      0.48      0.59    144.31      0.99
cov_eigen_values_3[3]      0.23      0.02      0.23      0.20      0.26    231.20      0.99
cov_eigen_values_3[4]      0.18      0.02      0.18      0.16      0.21    157.70      1.00
cov_eigen_values_3[5]      0.16      0.01      0.16      0.14      0.18    305.62      0.99
cov_eigen_values_3[6]      0.05      0.00      0.05      0.04      0.05    187.14      1.00
cov_eigen_values_3[7]      0.03      0.00      0.03      0.03      0.04    173.63      1.00
       mean_data_1[0]     -2.11      0.00     -2.11     -2.11     -2.11    180.57      0.99
       mean_data_1[1]     -0.52      0.00     -0.52     -0.53     -0.52     96.21      0.99
       mean_data_1[2]      0.04      0.00      0.04      0.03      0.04    112.93      1.00
       mean_data_1[3]     -0.02      0.00     -0.02     -0.03     -0.02     99.39      1.01
       mean_data_1[4]      0.01      0.00      0.01      0.00      0.01    136.26      1.01
       mean_data_1[5]     -0.00      0.00     -0.00     -0.00      0.00    172.30      1.01
       mean_data_1[6]     -0.01      0.00     -0.01     -0.01     -0.00    117.05      1.00
       mean_data_1[7]     -0.01      0.00     -0.01     -0.01     -0.00    122.80      1.02
       mean_data_2[0]      4.01      0.00      4.01      4.01      4.02    120.61      0.99
       mean_data_2[1]     -2.71      0.00     -2.71     -2.72     -2.71    234.76      0.99
       mean_data_2[2]     -0.05      0.00     -0.05     -0.05     -0.04    117.03      1.00
       mean_data_2[3]      0.07      0.00      0.07      0.06      0.07     99.52      1.02
       mean_data_2[4]     -0.02      0.00     -0.02     -0.03     -0.02    106.68      1.00
       mean_data_2[5]     -0.00      0.00     -0.00     -0.01      0.00    123.61      0.99
       mean_data_2[6]     -0.01      0.00     -0.01     -0.02     -0.00    119.13      1.02
       mean_data_2[7]     -0.01      0.00     -0.01     -0.01     -0.00    156.86      0.99
       mean_data_3[0]      1.82      0.00      1.82      1.81      1.82    208.16      1.00
       mean_data_3[1]      3.61      0.00      3.61      3.60      3.61     56.43      1.02
       mean_data_3[2]     -0.05      0.00     -0.05     -0.06     -0.05    262.10      1.00
       mean_data_3[3]     -0.01      0.00     -0.01     -0.01      0.00     61.17      1.02
       mean_data_3[4]     -0.00      0.00      0.00     -0.01      0.00    136.31      1.03
       mean_data_3[5]      0.00      0.00      0.00     -0.00      0.01    142.44      1.01
       mean_data_3[6]      0.03      0.00      0.03      0.02      0.03    113.90      0.99
       mean_data_3[7]      0.02      0.00      0.02      0.02      0.03    152.63      1.01
                 mu_1      0.01      0.00      0.01      0.01      0.01    121.07      0.99
                 mu_2     -0.00      0.00     -0.00     -0.00      0.00    116.91      1.00

Number of divergences: 0
