,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,47590179,1e-05
1,20.0,0.0,-11.045730329334944,47590179,1e-05
2,30.0,0.0,-1.0,47590179,1e-05
3,0.0,0.0,-39.0,54402602,1e-05
4,20.0,0.0,-27.23133700132709,54402602,1e-05
5,40.0,0.0,-15.999999999999993,54402602,1e-05
6,0.0,0.0,-61.0,61959277,1e-05
7,20.0,0.0,-50.314856873241624,61959277,1e-05
8,60.0,0.0,-27.0,61959277,1e-05
9,0.0,0.0,-72.0,8601355,1e-05
10,30.0,0.0,-55.5,8601355,1e-05
11,60.0,0.0,-39.0,8601355,1e-05
12,20.0,0.0,-77.48817699032963,36092968,1e-05
13,60.0,0.0,-52.0,36092968,1e-05
14,70.0,0.0,-77.0,85491838,1e-05
15,80.0,0.0,-71.0,85491838,1e-05
