
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      6.87      0.01      6.87      6.86      6.88    283.81      1.00
mean_data1[1]     -0.65      0.02     -0.65     -0.67     -0.62    188.04      0.99
mean_data1[2]      0.31      0.01      0.31      0.28      0.33    152.65      0.99
mean_data1[3]     -0.04      0.01     -0.04     -0.06     -0.03    220.01      0.99
mean_data1[4]     -0.00      0.00     -0.00     -0.01      0.00    106.59      1.00
mean_data1[5]     -0.00      0.00     -0.00     -0.01      0.01    112.27      1.02
mean_data1[6]     -0.01      0.01     -0.01     -0.02      0.01    165.03      0.99
mean_data1[7]     -0.00      0.00     -0.00     -0.01      0.01    290.02      1.00
mean_data2[0]     -4.11      0.01     -4.11     -4.12     -4.09    148.23      0.99
mean_data2[1]     -0.52      0.01     -0.52     -0.54     -0.51    123.27      0.99
mean_data2[2]      0.18      0.00      0.18      0.18      0.19    122.45      0.99
mean_data2[3]      0.23      0.02      0.23      0.19      0.26    370.27      0.99
mean_data2[4]      0.05      0.02      0.05      0.02      0.08    191.58      0.99
mean_data2[5]     -0.01      0.01     -0.01     -0.02      0.01    229.40      0.99
mean_data2[6]      0.00      0.01      0.00     -0.01      0.01    206.28      0.99
mean_data2[7]      0.01      0.01      0.01     -0.00      0.03    158.60      0.99
mean_data3[0]     -3.22      0.06     -3.22     -3.31     -3.12    136.44      1.02
mean_data3[1]     -0.20      0.02     -0.20     -0.24     -0.17    139.14      1.02
mean_data3[2]     -0.09      0.01     -0.09     -0.11     -0.06    136.44      1.01
mean_data3[3]     -0.15      0.01     -0.15     -0.16     -0.13    117.48      1.03
mean_data3[4]     -0.05      0.01     -0.05     -0.06     -0.03    169.43      1.03
mean_data3[5]      0.01      0.01      0.00     -0.00      0.02    153.56      1.01
mean_data3[6]      0.00      0.00      0.00      0.00      0.01    186.48      1.00
mean_data3[7]     -0.01      0.01     -0.01     -0.02     -0.00    412.80      0.99
mean_data4[0]      0.66      0.04      0.66      0.60      0.72     84.56      1.01
mean_data4[1]      0.54      0.01      0.54      0.53      0.55     80.16      1.00
mean_data4[2]     -0.59      0.01     -0.59     -0.60     -0.58     80.96      1.00
mean_data4[3]     -0.04      0.01     -0.04     -0.05     -0.03    153.57      0.99
mean_data4[4]      0.06      0.01      0.06      0.05      0.08     63.01      1.01
mean_data4[5]      0.00      0.01      0.00     -0.01      0.02    134.32      0.99
mean_data4[6]     -0.01      0.00     -0.01     -0.02     -0.01    154.86      0.99
mean_data4[7]      0.02      0.01      0.02      0.01      0.03    325.13      0.99
mean_data5[0]      2.99      0.15      2.99      2.78      3.26    149.03      1.00
mean_data5[1]      0.48      0.01      0.48      0.46      0.49    129.50      1.01
mean_data5[2]     -0.43      0.01     -0.43     -0.45     -0.41    179.45      1.00
mean_data5[3]      0.12      0.01      0.12      0.10      0.14     97.61      1.01
mean_data5[4]     -0.01      0.01     -0.01     -0.02      0.01    133.10      1.00
mean_data5[5]     -0.01      0.01     -0.01     -0.02      0.01    142.07      0.99
mean_data5[6]      0.01      0.02      0.01     -0.01      0.05    137.06      1.00
mean_data5[7]     -0.00      0.01     -0.00     -0.01      0.00    137.40      0.99
mean_data6[0]      0.96      2.48     -0.58     -0.99      5.40      3.29      1.59
mean_data6[1]      1.58      0.16      1.49      1.45      1.89      3.54      1.53
mean_data6[2]      0.67      0.52      0.99     -0.26      1.07      3.29      1.59
mean_data6[3]      0.04      0.08     -0.00     -0.03      0.17      4.59      1.38
mean_data6[4]      0.25      0.38      0.02     -0.05      0.89      3.46      1.54
mean_data6[5]      0.04      0.12      0.00     -0.07      0.33     23.16      1.08
mean_data6[6]      0.06      0.11      0.00     -0.02      0.26      3.45      1.55
mean_data6[7]     -0.06      0.12     -0.01     -0.22      0.06      8.48      1.19
         mu_1      3.07      0.07      3.08      2.95      3.17     31.07      1.02
         mu_2      2.27      0.06      2.28      2.17      2.33     23.29      1.19
         mu_3      1.13      0.05      1.13      1.06      1.22     46.58      1.00
         mu_4     -0.08      0.05     -0.08     -0.15      0.00     51.18      0.99

Number of divergences: 0
