,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,96967587,1e-05
1,20.0,0.0,-2.155295874229978,96967587,1e-05
2,30.0,0.0,-1.0,96967587,1e-05
3,0.0,0.0,-39.0,74559426,1e-05
4,20.0,0.0,-17.433188804611802,74559426,1e-05
5,40.0,0.0,-15.999999999999993,74559426,1e-05
6,0.0,0.0,-61.0,329187,1e-05
7,20.0,0.0,-39.4564661904911,329187,1e-05
8,60.0,0.0,-27.0,329187,1e-05
9,0.0,0.0,-72.0,77065424,1e-05
10,30.0,0.0,-55.5,77065424,1e-05
11,60.0,0.0,-39.0,77065424,1e-05
12,20.0,0.0,-73.98157086482429,37289186,1e-05
13,60.0,0.0,-52.0,37289186,1e-05
14,70.0,0.0,-77.0,86498128,1e-05
15,80.0,0.0,-71.0,86498128,1e-05
