
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.44      0.05      0.45      0.37      0.52      8.85      1.27
cov_eigen_values_1[1]      0.08      0.01      0.08      0.07      0.09     16.46      1.09
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     29.53      1.04
cov_eigen_values_1[3]      0.04      0.01      0.04      0.03      0.05     27.61      1.00
cov_eigen_values_1[4]      0.03      0.00      0.03      0.02      0.03     37.82      1.01
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     60.66      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.03     35.73      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.02     41.84      0.99
cov_eigen_values_2[0]      0.58      0.08      0.58      0.47      0.69     20.59      1.11
cov_eigen_values_2[1]      0.07      0.01      0.07      0.05      0.08     18.20      1.10
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.08     16.77      1.17
cov_eigen_values_2[3]      0.04      0.01      0.04      0.03      0.05     26.46      0.99
cov_eigen_values_2[4]      0.04      0.01      0.04      0.03      0.05     45.15      1.02
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00     54.13      1.00
cov_eigen_values_2[6]      0.01      0.00      0.01      0.01      0.01     60.07      1.02
cov_eigen_values_2[7]      0.01      0.00      0.01      0.01      0.01    110.10      1.00
cov_eigen_values_3[0]      0.32      0.03      0.32      0.27      0.36      6.28      1.10
cov_eigen_values_3[1]      0.15      0.01      0.15      0.13      0.16     21.67      1.00
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    129.32      1.00
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    139.04      0.99
cov_eigen_values_3[4]      0.07      0.00      0.07      0.06      0.08     53.32      0.99
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.06     43.40      1.09
cov_eigen_values_3[6]      0.06      0.01      0.06      0.05      0.07     46.67      0.99
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     31.03      1.12
cov_eigen_values_4[0]      0.65      0.06      0.64      0.57      0.76     11.41      1.05
cov_eigen_values_4[1]      0.08      0.01      0.08      0.07      0.08     22.45      1.00
cov_eigen_values_4[2]      0.06      0.01      0.06      0.06      0.07     18.70      0.99
cov_eigen_values_4[3]      0.05      0.01      0.05      0.05      0.06     32.53      1.05
cov_eigen_values_4[4]      0.05      0.00      0.05      0.04      0.05     35.64      0.99
cov_eigen_values_4[5]      0.03      0.00      0.03      0.03      0.04     40.53      1.04
cov_eigen_values_4[6]      0.01      0.00      0.01      0.01      0.01     56.38      1.02
cov_eigen_values_4[7]      0.02      0.00      0.02      0.02      0.02     79.65      1.00
cov_eigen_values_5[0]      0.22      0.02      0.21      0.18      0.25      9.93      1.22
cov_eigen_values_5[1]      0.07      0.01      0.07      0.06      0.08     29.36      1.00
cov_eigen_values_5[2]      0.05      0.00      0.05      0.05      0.06     35.19      1.05
cov_eigen_values_5[3]      0.00      0.00      0.00      0.00      0.00    142.45      0.99
cov_eigen_values_5[4]      0.01      0.00      0.01      0.01      0.02    112.03      0.99
cov_eigen_values_5[5]      0.03      0.00      0.03      0.02      0.03     38.70      1.00
cov_eigen_values_5[6]      0.05      0.01      0.05      0.04      0.06     23.48      1.03
cov_eigen_values_5[7]      0.04      0.00      0.04      0.03      0.04     29.95      1.05
cov_eigen_values_6[0]      0.13      0.01      0.13      0.10      0.15     19.96      1.28
cov_eigen_values_6[1]      0.04      0.00      0.04      0.03      0.04     30.56      1.01
cov_eigen_values_6[2]      0.03      0.00      0.03      0.02      0.04     71.61      1.00
