,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,18845647,1e-05
1,20.0,0.0,-10.215169186945303,18845647,1e-05
2,30.0,0.0,-1.0,18845647,1e-05
3,0.0,0.0,-39.0,23851472,1e-05
4,20.0,0.0,-15.942638332788043,23851472,1e-05
5,40.0,0.0,-15.999999999999993,23851472,1e-05
6,0.0,0.0,-61.0,93011181,1e-05
7,20.0,0.0,-40.531933407980844,93011181,1e-05
8,60.0,0.0,-27.0,93011181,1e-05
9,0.0,0.0,-72.0,50758189,1e-05
10,30.0,0.0,-55.5,50758189,1e-05
11,60.0,0.0,-39.0,50758189,1e-05
12,20.0,0.0,-71.83510622678801,14069024,1e-05
13,60.0,0.0,-52.0,14069024,1e-05
14,70.0,0.0,-77.0,37045911,1e-05
15,80.0,0.0,-71.0,37045911,1e-05
