
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.02      0.42      0.39      0.45      7.43      1.00
cov_eigen_values_1[1]      0.07      0.01      0.07      0.05      0.09      6.42      1.35
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.05     31.68      1.00
cov_eigen_values_1[3]      0.03      0.01      0.03      0.02      0.04     14.79      1.17
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03      5.62      1.27
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    134.61      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02     10.61      0.99
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01     50.21      1.01
cov_eigen_values_2[0]      0.53      0.04      0.51      0.50      0.60      4.19      1.44
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.08      6.56      1.18
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.09      3.82      2.01
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     13.59      1.03
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     24.17      1.09
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01     80.82      1.01
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02     29.45      1.01
cov_eigen_values_2[7]      0.03      0.00      0.03      0.02      0.03     13.87      1.04
cov_eigen_values_3[0]      0.36      0.03      0.37      0.31      0.41      3.67      1.63
cov_eigen_values_3[1]      0.14      0.01      0.13      0.12      0.15     11.21      1.24
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00     43.95      1.02
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02     43.63      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     16.08      1.13
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     35.54      1.02
cov_eigen_values_3[6]      0.06      0.01      0.06      0.06      0.07      6.55      1.03
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     33.83      1.01
cov_eigen_values_4[0]      0.22      0.04      0.22      0.17      0.28      3.00      2.16
cov_eigen_values_4[1]      0.08      0.02      0.07      0.06      0.10      4.74      1.52
cov_eigen_values_4[2]      0.06      0.01      0.06      0.05      0.08      7.56      1.07
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05      4.78      1.29
cov_eigen_values_4[4]      0.03      0.00      0.02      0.02      0.03      8.24      1.19
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00    131.27      1.00
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02     34.61      1.01
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    120.64      1.00
cov_eigen_values_5[0]      0.57      0.09      0.58      0.43      0.66      2.41      3.28
cov_eigen_values_5[1]      0.08      0.02      0.08      0.06      0.11     10.33      1.14
cov_eigen_values_5[2]      0.06      0.01      0.06      0.05      0.07     10.49      1.11
cov_eigen_values_5[3]      0.05      0.01      0.05      0.03      0.06      3.49      2.16
cov_eigen_values_5[4]      0.03      0.01      0.03      0.02      0.04     10.09      1.00
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02     30.54      0.99
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     75.53      1.02
cov_eigen_values_5[7]      0.00      0.00      0.00     -0.00      0.00    187.20      1.01
cov_eigen_values_6[0]      0.14      0.02      0.14      0.10      0.17      6.51      1.00
