,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,25966307,1e-05
1,20.0,0.0,-11.762044731543519,25966307,1e-05
2,30.0,0.0,-1.0,25966307,1e-05
3,0.0,0.0,-39.0,91515667,1e-05
4,20.0,0.0,-15.908312193432565,91515667,1e-05
5,40.0,0.0,-15.999999999999993,91515667,1e-05
6,0.0,0.0,-61.0,3361650,1e-05
7,20.0,0.0,-40.48614458121176,3361650,1e-05
8,60.0,0.0,-27.0,3361650,1e-05
9,0.0,0.0,-72.0,52078830,1e-05
10,30.0,0.0,-55.5,52078830,1e-05
11,60.0,0.0,-39.0,52078830,1e-05
12,20.0,0.0,-71.81181130380378,76884293,1e-05
13,60.0,0.0,-52.0,76884293,1e-05
14,70.0,0.0,-77.0,52293966,1e-05
15,80.0,0.0,-71.0,52293966,1e-05
