
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.43      0.02      0.43      0.40      0.45      7.93      1.10
cov_eigen_values_1[1]      0.09      0.01      0.09      0.07      0.10     12.27      1.03
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     27.13      1.01
cov_eigen_values_1[3]      0.04      0.00      0.04      0.03      0.05     12.39      1.22
cov_eigen_values_1[4]      0.03      0.00      0.03      0.02      0.03     16.50      1.02
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     92.28      1.02
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.03     38.80      0.99
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    111.36      0.99
cov_eigen_values_2[0]      0.53      0.02      0.53      0.49      0.55      4.07      1.66
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.08      7.92      1.05
cov_eigen_values_2[2]      0.06      0.01      0.06      0.05      0.08     17.26      1.03
cov_eigen_values_2[3]      0.04      0.01      0.04      0.03      0.05     18.98      1.02
cov_eigen_values_2[4]      0.04      0.01      0.04      0.03      0.04     11.16      1.09
cov_eigen_values_2[5]      0.00      0.00      0.00      0.00      0.00    168.03      0.99
cov_eigen_values_2[6]      0.01      0.00      0.01      0.01      0.01     46.00      1.01
cov_eigen_values_2[7]      0.01      0.00      0.01      0.01      0.01     67.17      1.02
cov_eigen_values_3[0]      0.32      0.02      0.32      0.30      0.36      4.86      2.19
cov_eigen_values_3[1]      0.15      0.01      0.15      0.13      0.16     18.37      1.01
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    150.60      1.02
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02     89.82      0.99
cov_eigen_values_3[4]      0.07      0.00      0.07      0.06      0.08     18.84      1.06
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.06     27.30      1.29
cov_eigen_values_3[6]      0.06      0.00      0.06      0.06      0.07     13.61      1.11
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     36.13      0.99
cov_eigen_values_4[0]      0.65      0.02      0.65      0.61      0.68     10.24      1.23
cov_eigen_values_4[1]      0.08      0.01      0.07      0.06      0.09      7.07      1.13
cov_eigen_values_4[2]      0.06      0.00      0.06      0.06      0.07     29.06      1.00
cov_eigen_values_4[3]      0.06      0.01      0.06      0.05      0.06     25.31      1.00
cov_eigen_values_4[4]      0.05      0.00      0.05      0.04      0.05     37.08      1.00
cov_eigen_values_4[5]      0.03      0.00      0.03      0.03      0.04     31.44      1.04
cov_eigen_values_4[6]      0.01      0.00      0.01      0.01      0.01    173.16      0.99
cov_eigen_values_4[7]      0.02      0.00      0.02      0.02      0.02     85.43      1.00
cov_eigen_values_5[0]      0.21      0.02      0.21      0.18      0.23      6.92      1.36
cov_eigen_values_5[1]      0.06      0.00      0.06      0.06      0.07     32.15      1.02
cov_eigen_values_5[2]      0.05      0.01      0.05      0.04      0.06     35.78      1.02
cov_eigen_values_5[3]      0.00      0.00      0.00      0.00      0.00     95.68      1.00
cov_eigen_values_5[4]      0.01      0.00      0.01      0.01      0.02    112.74      1.02
cov_eigen_values_5[5]      0.03      0.00      0.03      0.02      0.03     25.74      1.00
cov_eigen_values_5[6]      0.04      0.01      0.04      0.04      0.05     14.18      1.02
cov_eigen_values_5[7]      0.04      0.00      0.04      0.03      0.05     36.32      1.07
cov_eigen_values_6[0]      0.14      0.02      0.13      0.11      0.16      4.74      1.44
cov_eigen_values_6[1]      0.04      0.00      0.04      0.04      0.05     37.95      0.99
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04     28.84      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.02      0.02     84.79      1.01
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01    122.01      1.02
cov_eigen_values_6[5]      0.01      0.00      0.01      0.00      0.01    147.27      1.01
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00    115.34      1.00
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00    100.86      1.04
       mean_data_1[0]      3.81      0.00      3.80      3.80      3.81     71.22      0.99
       mean_data_1[1]      0.43      0.00      0.43      0.43      0.44     28.94      1.16
       mean_data_1[2]     -0.40      0.00     -0.40     -0.41     -0.40     41.55      1.00
       mean_data_1[3]      0.15      0.00      0.15      0.14      0.15     39.24      1.02
       mean_data_1[4]     -0.04      0.00     -0.04     -0.04     -0.03     20.15      1.14
       mean_data_1[5]      0.02      0.00      0.02      0.01      0.02     39.08      1.04
