,X,Y,Z,id,nugget
0,0.0,0.0,-21.0,53271465,1e-05
1,20.0,0.0,-10.0,53271465,1e-05
2,30.0,0.0,-1.0,53271465,1e-05
3,0.0,0.0,-39.0,40360673,1e-05
4,20.0,0.0,-28.0,40360673,1e-05
5,40.0,0.0,-16.0,40360673,1e-05
6,0.0,0.0,-61.0,58087441,1e-05
7,20.0,0.0,-49.0,58087441,1e-05
8,60.0,0.0,-27.0,58087441,1e-05
9,0.0,0.0,-72.0,98868183,1e-05
10,30.0,0.0,-55.5,98868183,1e-05
11,60.0,0.0,-39.0,98868183,1e-05
12,20.0,0.0,-74.0,81874848,1e-05
13,60.0,0.0,-52.0,81874848,1e-05
14,70.0,0.0,-77.0,79465960,1e-05
15,80.0,0.0,-71.0,79465960,1e-05
