,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,39398993,1e-05
1,20.0,0.0,-2.03693345629533,39398993,1e-05
2,30.0,0.0,-1.0,39398993,1e-05
3,0.0,0.0,-39.0,23408546,1e-05
4,20.0,0.0,-25.37516499237571,23408546,1e-05
5,40.0,0.0,-15.999999999999993,23408546,1e-05
6,0.0,0.0,-61.0,49443992,1e-05
7,20.0,0.0,-44.83013163039883,49443992,1e-05
8,60.0,0.0,-27.0,49443992,1e-05
9,0.0,0.0,-72.0,55521027,1e-05
10,30.0,0.0,-55.5,55521027,1e-05
11,60.0,0.0,-39.0,55521027,1e-05
12,20.0,0.0,-74.08907418105844,26991509,1e-05
13,60.0,0.0,-52.0,26991509,1e-05
14,70.0,0.0,-77.0,85455685,1e-05
15,80.0,0.0,-71.0,85455685,1e-05
