
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      6.64      0.66      6.84      6.25      7.03     20.82      1.07
mean_data1[1]     -0.62      0.09     -0.64     -0.67     -0.57     20.89      1.07
mean_data1[2]      0.27      0.11      0.30      0.20      0.34     20.85      1.07
mean_data1[3]     -0.04      0.02     -0.04     -0.06     -0.02     23.95      1.06
mean_data1[4]      0.01      0.03     -0.00     -0.02      0.03     21.30      1.06
mean_data1[5]     -0.00      0.01     -0.00     -0.01      0.01    135.65      1.00
mean_data1[6]     -0.02      0.02     -0.01     -0.03     -0.00     21.59      1.06
mean_data1[7]     -0.01      0.02     -0.00     -0.01      0.01     21.65      1.07
mean_data2[0]     -3.43      0.85     -3.61     -4.24     -1.77      3.06      1.36
mean_data2[1]     -0.52      0.06     -0.53     -0.60     -0.41     13.74      1.13
mean_data2[2]      0.03      0.18      0.06     -0.31      0.21      2.64      1.41
mean_data2[3]      0.27      0.05      0.27      0.21      0.33      1.26      2.10
mean_data2[4]      0.08      0.13      0.06     -0.11      0.35     13.08      1.15
mean_data2[5]     -0.01      0.04     -0.01     -0.08      0.05     14.35      1.26
mean_data2[6]      0.01      0.04      0.01     -0.05      0.08     14.67      1.09
mean_data2[7]      0.00      0.05      0.01     -0.11      0.08     19.64      1.06
mean_data3[0]     -3.41      0.13     -3.49     -3.57     -3.25      1.05      4.45
mean_data3[1]     -0.27      0.05     -0.29     -0.33     -0.21      1.07      3.62
mean_data3[2]     -0.03      0.04     -0.00     -0.08      0.03      1.09      3.23
mean_data3[3]     -0.06      0.06     -0.04     -0.16      0.04      1.50      1.68
mean_data3[4]     -0.03      0.02     -0.03     -0.06      0.00      1.29      1.91
mean_data3[5]      0.00      0.01      0.00     -0.01      0.02      3.30      1.17
mean_data3[6]      0.00      0.00      0.00     -0.00      0.01     17.80      1.06
mean_data3[7]     -0.01      0.01     -0.01     -0.02      0.00      2.36      1.28
mean_data4[0]      0.77      0.17      0.71      0.59      1.11     11.31      1.08
mean_data4[1]      0.54      0.01      0.54      0.53      0.55    243.72      1.00
mean_data4[2]     -0.58      0.01     -0.58     -0.60     -0.55     14.91      1.05
mean_data4[3]     -0.03      0.02     -0.03     -0.06     -0.01     16.80      1.04
mean_data4[4]      0.06      0.01      0.06      0.04      0.07     88.10      1.00
mean_data4[5]     -0.00      0.01     -0.00     -0.02      0.02     64.01      1.03
mean_data4[6]     -0.02      0.01     -0.02     -0.04     -0.00     18.40      1.05
mean_data4[7]      0.02      0.01      0.02      0.00      0.03     35.55      1.02
mean_data5[0]      2.92      0.25      2.97      2.92      3.03     54.48      1.02
mean_data5[1]      0.46      0.07      0.47      0.45      0.49     55.04      1.02
mean_data5[2]     -0.42      0.06     -0.43     -0.44     -0.41     56.67      1.02
mean_data5[3]      0.11      0.05      0.12      0.11      0.13     49.68      1.02
mean_data5[4]     -0.00      0.03     -0.01     -0.02      0.00     54.72      1.02
mean_data5[5]     -0.02      0.04     -0.01     -0.02      0.01     49.71      1.03
mean_data5[6]      0.02      0.00      0.02      0.01      0.02    146.06      1.01
mean_data5[7]     -0.00      0.01     -0.00     -0.02      0.01     55.69      1.02
mean_data6[0]     -0.68      0.01     -0.68     -0.69     -0.67    165.69      1.00
mean_data6[1]      1.48      0.03      1.48      1.45      1.51    101.88      1.00
mean_data6[2]      1.01      0.02      1.01      0.99      1.04     95.96      1.00
mean_data6[3]     -0.01      0.02     -0.01     -0.02      0.01    103.58      1.01
mean_data6[4]      0.00      0.00      0.00     -0.00      0.01    270.38      1.01
mean_data6[5]      0.00      0.01      0.00     -0.01      0.01    208.02      1.00
mean_data6[6]     -0.01      0.01     -0.01     -0.02      0.01    107.65      1.00
mean_data6[7]     -0.00      0.01     -0.00     -0.01      0.01    153.90      1.01
         mu_1      3.12      0.02      3.11      3.09      3.16     91.15      1.12
         mu_2      2.61      0.23      2.42      2.38      2.85      1.01     11.07
         mu_3      1.20      0.04      1.22      1.14      1.23      2.20      1.48
         mu_4     -0.09      0.04     -0.08     -0.14     -0.02      9.04      1.15

Number of divergences: 0
