,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,50920333,1e-05
1,20.0,0.0,-12.031786364757103,50920333,1e-05
2,30.0,0.0,-1.0,50920333,1e-05
3,0.0,0.0,-39.0,40824784,1e-05
4,20.0,0.0,-22.235068109556032,40824784,1e-05
5,40.0,0.0,-15.999999999999993,40824784,1e-05
6,0.0,0.0,-61.0,45113062,1e-05
7,20.0,0.0,-50.24036859076131,45113062,1e-05
8,60.0,0.0,-27.0,45113062,1e-05
9,0.0,0.0,-72.0,26901378,1e-05
10,30.0,0.0,-55.5,26901378,1e-05
11,60.0,0.0,-39.0,26901378,1e-05
12,20.0,0.0,-75.85382753276262,21422778,1e-05
13,60.0,0.0,-52.0,21422778,1e-05
14,70.0,0.0,-77.0,93554389,1e-05
15,80.0,0.0,-71.0,93554389,1e-05
