
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      6.63      0.67      6.86      5.66      7.02     15.52      1.10
mean_data1[1]     -0.62      0.09     -0.65     -0.67     -0.49     15.30      1.11
mean_data1[2]      0.27      0.11      0.30      0.11      0.35     15.71      1.10
mean_data1[3]     -0.04      0.02     -0.04     -0.06     -0.00     18.31      1.08
mean_data1[4]      0.01      0.03     -0.00     -0.02      0.06     15.67      1.11
mean_data1[5]      0.00      0.01     -0.00     -0.01      0.01     41.34      1.02
mean_data1[6]     -0.02      0.02     -0.01     -0.06     -0.00     16.37      1.09
mean_data1[7]     -0.01      0.02     -0.00     -0.03      0.01     16.09      1.10
mean_data2[0]     -3.69      0.94     -4.05     -4.25     -1.12      9.48      1.18
mean_data2[1]     -0.54      0.08     -0.53     -0.66     -0.38      6.54      1.25
mean_data2[2]      0.09      0.19      0.16     -0.43      0.21      8.76      1.20
mean_data2[3]      0.26      0.04      0.25      0.21      0.31      1.53      1.75
mean_data2[4]      0.04      0.17      0.05     -0.13      0.50      9.85      1.16
mean_data2[5]     -0.00      0.04     -0.00     -0.07      0.06     40.92      1.01
mean_data2[6]     -0.01      0.05      0.00     -0.09      0.09      7.25      1.23
mean_data2[7]      0.01      0.06      0.01     -0.14      0.10     12.71      1.15
mean_data3[0]     -3.40      0.15     -3.49     -3.57     -3.20      1.05      4.20
mean_data3[1]     -0.27      0.05     -0.30     -0.33     -0.19      1.08      3.37
mean_data3[2]     -0.03      0.05     -0.01     -0.10      0.02      1.09      3.29
mean_data3[3]     -0.06      0.07     -0.04     -0.18      0.04      1.48      1.71
mean_data3[4]     -0.03      0.02     -0.03     -0.07     -0.00      1.28      1.96
mean_data3[5]      0.00      0.01      0.00     -0.01      0.01      9.41      1.10
mean_data3[6]      0.00      0.00      0.00     -0.00      0.01     46.61      1.01
mean_data3[7]     -0.01      0.01     -0.01     -0.02      0.00      4.36      1.13
mean_data4[0]      0.74      0.16      0.70      0.59      1.09      9.51      1.19
mean_data4[1]      0.54      0.01      0.54      0.53      0.55    180.61      1.00
mean_data4[2]     -0.58      0.01     -0.58     -0.60     -0.55     12.68      1.16
mean_data4[3]     -0.03      0.01     -0.04     -0.05     -0.01     13.87      1.12
mean_data4[4]      0.06      0.01      0.06      0.05      0.07    247.81      1.00
mean_data4[5]     -0.00      0.01     -0.00     -0.02      0.01     31.15      1.09
mean_data4[6]     -0.02      0.01     -0.02     -0.05     -0.01     13.96      1.13
mean_data4[7]      0.02      0.01      0.02      0.01      0.03     84.22      1.03
mean_data5[0]      2.93      0.28      2.98      2.93      3.05     32.67      1.05
mean_data5[1]      0.46      0.08      0.48      0.46      0.49     33.25      1.05
mean_data5[2]     -0.42      0.07     -0.43     -0.44     -0.42     32.57      1.05
mean_data5[3]      0.11      0.06      0.12      0.11      0.13     31.74      1.05
mean_data5[4]     -0.00      0.03     -0.01     -0.02      0.01     35.09      1.04
mean_data5[5]     -0.02      0.05     -0.01     -0.02      0.01     32.21      1.05
mean_data5[6]      0.02      0.01      0.02      0.01      0.02     87.20      1.02
mean_data5[7]     -0.00      0.01     -0.00     -0.02      0.01     24.50      1.07
mean_data6[0]     -0.68      0.01     -0.68     -0.69     -0.67    241.14      1.01
mean_data6[1]      1.48      0.03      1.48      1.45      1.51     78.97      1.02
mean_data6[2]      1.01      0.02      1.01      0.99      1.04     75.08      1.02
mean_data6[3]     -0.01      0.01     -0.01     -0.02      0.01     73.62      1.02
mean_data6[4]      0.00      0.00      0.00     -0.01      0.01    285.40      1.00
mean_data6[5]      0.00      0.01      0.00     -0.01      0.01    289.64      1.01
mean_data6[6]     -0.01      0.01     -0.01     -0.02      0.01     86.68      1.02
mean_data6[7]     -0.00      0.01     -0.00     -0.01      0.01    190.81      1.01
         mu_1      3.10      0.05      3.11      3.02      3.17     19.34      1.06
         mu_2      2.59      0.26      2.40      2.28      2.86      1.02     10.89
         mu_3      1.19      0.05      1.22      1.10      1.23      1.78      1.50
         mu_4     -0.09      0.03     -0.10     -0.15     -0.05     74.13      1.04

Number of divergences: 0
