
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.03      0.00      0.03      0.02      0.03   4287.43      1.00
cov_eigen_values_1[1]      0.05      0.01      0.05      0.04      0.06   4653.38      1.00
cov_eigen_values_1[2]      0.11      0.01      0.10      0.09      0.12   3772.17      1.00
cov_eigen_values_2[0]      1.55      0.44      1.51      0.80      2.21   3497.07      1.00
cov_eigen_values_2[1]      0.81      0.43      0.75      0.11      1.43   1907.21      1.00
cov_eigen_values_2[2]      0.11      0.91      0.29     -1.35      1.42     11.51      1.39
cov_eigen_values_3[0]      0.66      0.04      0.65      0.59      0.72   4597.19      1.00
cov_eigen_values_3[1]      0.08      0.00      0.08      0.07      0.08   5725.51      1.00
cov_eigen_values_3[2]      0.05      0.00      0.05      0.04      0.05   5167.96      1.00
cov_eigen_values_4[0]      0.24      0.03      0.23      0.19      0.28   3543.37      1.00
cov_eigen_values_4[1]      0.06      0.01      0.06      0.05      0.08   3812.99      1.00
cov_eigen_values_4[2]      0.04      0.01      0.04      0.03      0.05   3965.03      1.00
cov_eigen_values_5[0]      1.00      0.10      0.99      0.83      1.16   3779.19      1.00
cov_eigen_values_5[1]      0.27      0.03      0.27      0.23      0.32   3570.67      1.00
cov_eigen_values_5[2]      0.11      0.01      0.11      0.09      0.13   3589.12      1.00
cov_eigen_values_6[0]      0.04      0.01      0.04      0.03      0.05   3823.35      1.00
cov_eigen_values_6[1]      0.48      0.07      0.47      0.36      0.59   3476.44      1.00
cov_eigen_values_6[2]      0.26      0.04      0.26      0.20      0.33   3052.21      1.00
       mean_data_1[0]      6.87      0.00      6.87      6.86      6.88   5098.28      1.00
       mean_data_1[1]     -0.65      0.01     -0.65     -0.67     -0.63   3684.30      1.00
       mean_data_1[2]      0.31      0.01      0.31      0.29      0.33   3422.52      1.00
       mean_data_2[0]      0.96      2.76      0.91     -3.36      5.72   4606.60      1.00
       mean_data_2[1]     -0.31      1.77     -0.40     -3.33      2.52   3360.00      1.00
       mean_data_2[2]     -0.03      1.80     -0.01     -3.14      2.89   2695.88      1.00
       mean_data_3[0]     -3.54      0.05     -3.54     -3.62     -3.46   2010.53      1.00
       mean_data_3[1]     -0.32      0.02     -0.32     -0.35     -0.28   2068.41      1.00
       mean_data_3[2]      0.01      0.02      0.01     -0.02      0.04   2042.59      1.00
       mean_data_4[0]      0.66      0.04      0.66      0.60      0.73   2274.94      1.00
       mean_data_4[1]      0.54      0.01      0.54      0.52      0.56   2382.08      1.00
       mean_data_4[2]     -0.59      0.01     -0.59     -0.60     -0.57   2317.23      1.00
       mean_data_5[0]      2.97      0.14      2.97      2.73      3.20   3504.42      1.00
       mean_data_5[1]      0.48      0.03      0.48      0.42      0.53   2856.25      1.00
       mean_data_5[2]     -0.43      0.04     -0.43     -0.49     -0.36   2368.97      1.00
       mean_data_6[0]     -0.68      0.08     -0.68     -0.81     -0.54   2757.53      1.00
       mean_data_6[1]      1.48      0.04      1.48      1.41      1.55   2088.66      1.00
       mean_data_6[2]      1.01      0.06      1.01      0.92      1.12   2098.76      1.00
                 mu_1      3.16      0.02      3.16      3.13      3.19   3837.78      1.00
                 mu_2      2.91      0.02      2.91      2.88      2.95   3806.52      1.00
                 mu_3      1.18      0.03      1.19      1.14      1.23   2139.12      1.00
                 mu_4     -0.09      0.05     -0.09     -0.16     -0.01   2732.06      1.00

Number of divergences: 568
