,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,86629518,1e-05
1,20.0,0.0,-10.726225166861582,86629518,1e-05
2,30.0,0.0,-1.0,86629518,1e-05
3,0.0,0.0,-39.0,69851160,1e-05
4,20.0,0.0,-16.01223682359634,69851160,1e-05
5,40.0,0.0,-15.999999999999993,69851160,1e-05
6,0.0,0.0,-61.0,38013759,1e-05
7,20.0,0.0,-50.2607830047851,38013759,1e-05
8,60.0,0.0,-27.0,38013759,1e-05
9,0.0,0.0,-72.0,29823978,1e-05
10,30.0,0.0,-55.5,29823978,1e-05
11,60.0,0.0,-39.0,29823978,1e-05
12,20.0,0.0,-75.89464721623817,90602958,1e-05
13,60.0,0.0,-52.0,90602958,1e-05
14,70.0,0.0,-77.0,32291374,1e-05
15,80.0,0.0,-71.0,32291374,1e-05
