
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.03      0.00      0.03      0.02      0.03     54.57      0.99
cov_eigen_values_1[1]      0.05      0.00      0.05      0.05      0.06     43.87      0.99
cov_eigen_values_1[2]      0.10      0.01      0.10      0.09      0.13     34.90      0.98
cov_eigen_values_2[0]      2.36      0.78      2.18      1.10      3.52      7.27      1.10
cov_eigen_values_2[1]      0.39      0.22      0.43      0.10      0.69      2.97      2.59
cov_eigen_values_2[2]      0.60      0.19      0.60      0.37      0.89     18.75      1.02
cov_eigen_values_3[0]      0.65      0.04      0.65      0.59      0.71    269.36      0.98
cov_eigen_values_3[1]      0.08      0.00      0.08      0.07      0.08    129.66      0.98
cov_eigen_values_3[2]      0.05      0.00      0.05      0.04      0.05     62.59      0.99
cov_eigen_values_4[0]      0.25      0.06      0.24      0.19      0.30     20.59      1.09
cov_eigen_values_4[1]      0.06      0.01      0.06      0.05      0.07     27.18      0.99
cov_eigen_values_4[2]      0.04      0.01      0.04      0.04      0.05     16.53      0.99
cov_eigen_values_5[0]      1.00      0.11      0.98      0.82      1.16    256.10      0.98
cov_eigen_values_5[1]      0.27      0.03      0.27      0.23      0.31    231.35      0.98
cov_eigen_values_5[2]      0.11      0.01      0.11      0.10      0.14     20.93      1.00
cov_eigen_values_6[0]      0.05      0.01      0.04      0.03      0.06      9.45      1.15
cov_eigen_values_6[1]      0.56      0.29      0.49      0.34      0.68     29.22      1.03
cov_eigen_values_6[2]      0.32      0.21      0.29      0.19      0.40     48.17      1.01
       mean_data_1[0]     -6.87      0.00     -6.87     -6.88     -6.86     54.22      0.98
       mean_data_1[1]     -0.65      0.01     -0.65     -0.66     -0.63     91.24      0.98
       mean_data_1[2]     -0.31      0.02     -0.30     -0.33     -0.29     97.47      0.98
       mean_data_2[0]      1.82      1.24      1.53      0.19      3.62      4.70      1.10
       mean_data_2[1]      0.52      0.44      0.41     -0.05      1.20      4.85      1.48
       mean_data_2[2]      0.06      0.51      0.22     -0.72      0.69      3.82      1.30
       mean_data_3[0]      3.55      0.04      3.55      3.48      3.61     17.58      1.07
       mean_data_3[1]     -0.32      0.02     -0.32     -0.35     -0.29     16.88      1.10
       mean_data_3[2]     -0.02      0.02     -0.02     -0.03      0.02     15.05      1.10
       mean_data_4[0]     -0.65      0.04     -0.65     -0.72     -0.59     52.51      0.98
       mean_data_4[1]      0.54      0.01      0.54      0.52      0.56     80.61      0.98
       mean_data_4[2]      0.58      0.01      0.58      0.57      0.60    111.89      0.98
       mean_data_5[0]     -2.97      0.13     -2.98     -3.15     -2.74    107.10      0.98
       mean_data_5[1]      0.48      0.04      0.47      0.42      0.53     42.95      1.02
       mean_data_5[2]      0.43      0.04      0.43      0.36      0.49     67.72      0.98
       mean_data_6[0]      0.64      0.29      0.69      0.54      0.96     27.49      1.02
       mean_data_6[1]      1.50      0.08      1.50      1.39      1.60     38.77      1.01
       mean_data_6[2]     -0.99      0.12     -1.00     -1.15     -0.87     26.29      1.03
                 mu_1      3.16      0.02      3.16      3.14      3.19     16.41      1.04
                 mu_2      2.90      0.02      2.90      2.87      2.92     31.77      0.99
                 mu_3      1.19      0.03      1.20      1.14      1.23     12.80      1.19
                 mu_4     -0.09      0.04     -0.10     -0.15     -0.03     13.51      1.06
                pi[0]      0.16      0.01      0.16      0.14      0.17      6.29      1.38
                pi[1]      0.01      0.01      0.01      0.00      0.02      9.21      0.98
                pi[2]      0.47      0.02      0.47      0.43      0.50     62.32      1.05
                pi[3]      0.14      0.01      0.14      0.13      0.16     25.33      1.00
                pi[4]      0.14      0.01      0.14      0.12      0.16     11.69      0.99
                pi[5]      0.09      0.01      0.09      0.08      0.10     14.46      1.02

Number of divergences: 0
