
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.41      0.01      0.41      0.39      0.42    259.16      1.01
cov_eigen_values_1[1]      0.09      0.01      0.09      0.08      0.10    237.03      1.00
cov_eigen_values_1[2]      0.04      0.00      0.04      0.03      0.04    173.25      1.03
cov_eigen_values_1[3]      0.02      0.00      0.02      0.02      0.02    284.81      1.00
cov_eigen_values_1[4]      0.05      0.00      0.05      0.05      0.06    304.54      1.00
cov_eigen_values_1[5]     -0.00      0.00     -0.00     -0.01      0.00      1.17      2.35
cov_eigen_values_1[6]      0.05      0.00      0.05      0.05      0.06    304.35      1.00
cov_eigen_values_1[7]      0.03      0.00      0.03      0.02      0.03    349.02      1.01
cov_eigen_values_2[0]      0.52      0.01      0.52      0.50      0.54      3.14      1.19
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.08    292.84      1.00
cov_eigen_values_2[2]      0.08      0.01      0.08      0.06      0.10      1.46      1.66
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.07    130.80      0.99
cov_eigen_values_2[4]      0.07      0.03      0.07      0.03      0.10      1.04      4.43
cov_eigen_values_2[5]      0.03      0.01      0.03      0.02      0.04     13.98      1.06
cov_eigen_values_2[6]      0.04      0.01      0.04      0.03      0.05      2.70      1.24
cov_eigen_values_2[7]      0.06      0.01      0.06      0.04      0.07      1.81      1.45
cov_eigen_values_3[0]      0.35      0.02      0.35      0.32      0.38      1.12      2.78
cov_eigen_values_3[1]      0.21      0.01      0.21      0.20      0.22      3.21      1.19
cov_eigen_values_3[2]      0.03      0.00      0.03      0.03      0.03      2.38      1.27
cov_eigen_values_3[3]      0.03      0.00      0.03      0.03      0.04      2.89      1.21
cov_eigen_values_3[4]      0.15      0.01      0.16      0.15      0.16      7.16      1.08
cov_eigen_values_3[5]      0.09      0.00      0.09      0.08      0.10    237.60      1.01
cov_eigen_values_3[6]      0.12      0.01      0.12      0.11      0.13    366.11      1.00
cov_eigen_values_3[7]      0.10      0.00      0.10      0.10      0.11     74.06      1.04
cov_eigen_values_4[0]      0.65      0.01      0.65      0.63      0.66     92.02      1.06
cov_eigen_values_4[1]      0.07      0.01      0.07      0.06      0.08    173.94      1.00
cov_eigen_values_4[2]      0.06      0.01      0.06      0.05      0.07    217.33      1.00
cov_eigen_values_4[3]      0.05      0.01      0.05      0.05      0.06    340.03      1.00
cov_eigen_values_4[4]      0.04      0.00      0.04      0.03      0.05    236.04      1.01
cov_eigen_values_4[5]      0.04      0.00      0.04      0.03      0.04    193.39      1.00
cov_eigen_values_4[6]      0.01      0.01      0.01     -0.00      0.01     31.51      1.07
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.02    299.60      1.00
cov_eigen_values_5[0]      0.32      0.01      0.32      0.31      0.34    252.39      1.00
cov_eigen_values_5[1]      0.06      0.01      0.06      0.05      0.07    214.10      1.00
cov_eigen_values_5[2]      0.07      0.01      0.07      0.06      0.08    269.22      1.00
cov_eigen_values_5[3]      0.16      0.01      0.16      0.15      0.17    192.60      1.00
cov_eigen_values_5[4]      0.07      0.00      0.07      0.06      0.08    310.60      1.00
cov_eigen_values_5[5]      0.09      0.01      0.09      0.08      0.10    260.64      1.00
cov_eigen_values_5[6]      0.07      0.01      0.07      0.06      0.08    167.38      1.00
cov_eigen_values_5[7]      0.05      0.00      0.05      0.04      0.06    262.02      1.02
cov_eigen_values_6[0]      0.11      0.01      0.11      0.09      0.13    183.15      1.00
cov_eigen_values_6[1]      0.09      0.01      0.09      0.08      0.10    301.82      0.99
cov_eigen_values_6[2]      0.07      0.01      0.07      0.06      0.08    258.83      0.99
cov_eigen_values_6[3]      0.12      0.01      0.12      0.11      0.13    407.57      1.01
cov_eigen_values_6[4]      0.06      0.00      0.06      0.05      0.07    348.55      1.00
cov_eigen_values_6[5]      0.11      0.01      0.11      0.10      0.12    263.78      1.00
cov_eigen_values_6[6]      0.10      0.01      0.10      0.09      0.11    199.17      1.00
cov_eigen_values_6[7]      0.10      0.00      0.10      0.09      0.11    287.85      0.99
       mean_data_1[0]      6.86      0.06      6.86      6.76      6.96    257.19      0.99
       mean_data_1[1]     -0.65      0.01     -0.65     -0.66     -0.63    295.14      1.00
       mean_data_1[2]      0.31      0.01      0.31      0.29      0.33    286.32      0.99
       mean_data_1[3]     -0.04      0.01     -0.04     -0.06     -0.03    380.43      0.99
       mean_data_1[4]     -0.00      0.01     -0.00     -0.01      0.01    331.58      1.00
       mean_data_1[5]     -0.00      0.00     -0.00     -0.01      0.01    330.62      1.00
       mean_data_1[6]     -0.01      0.01     -0.01     -0.02     -0.00    238.65      1.00
       mean_data_1[7]     -0.00      0.01     -0.00     -0.01      0.01    281.11      1.00
       mean_data_2[0]     -3.85      0.69     -4.07     -4.54     -3.23      8.70      1.12
       mean_data_2[1]     -0.54      0.14     -0.53     -0.64     -0.49     52.13      1.02
       mean_data_2[2]      0.15      0.13      0.17     -0.01      0.25     51.95      1.04
       mean_data_2[3]      0.26      0.05      0.24      0.21      0.35      2.89      1.26
       mean_data_2[4]     -0.01      0.09      0.03     -0.16      0.09      3.28      1.27
       mean_data_2[5]     -0.01      0.04     -0.01     -0.09      0.05     93.69      0.99
       mean_data_2[6]     -0.01      0.05     -0.00     -0.09      0.01      9.60      1.09
       mean_data_2[7]      0.03      0.05      0.02     -0.01      0.13      5.37      1.20
       mean_data_3[0]     -3.38      0.15     -3.47     -3.56     -3.20      1.02      7.53
       mean_data_3[1]     -0.26      0.06     -0.28     -0.33     -0.19      1.03      5.36
       mean_data_3[2]     -0.04      0.05     -0.06     -0.10      0.02      1.03      5.10
       mean_data_3[3]     -0.08      0.07     -0.08     -0.19      0.01      1.09      3.13
       mean_data_3[4]     -0.03      0.02     -0.03     -0.07      0.01      1.48      1.61
       mean_data_3[5]      0.00      0.01      0.00     -0.02      0.03    162.09      1.01
