,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,69592866,1e-05
1,20.0,0.0,-11.410786405998323,69592866,1e-05
2,30.0,0.0,-1.0,69592866,1e-05
3,0.0,0.0,-39.0,81115875,1e-05
4,20.0,0.0,-16.232659390141706,81115875,1e-05
5,40.0,0.0,-15.999999999999993,81115875,1e-05
6,0.0,0.0,-61.0,25650310,1e-05
7,20.0,0.0,-49.70567480278293,25650310,1e-05
8,60.0,0.0,-27.0,25650310,1e-05
9,0.0,0.0,-72.0,63050099,1e-05
10,30.0,0.0,-55.5,63050099,1e-05
11,60.0,0.0,-39.0,63050099,1e-05
12,20.0,0.0,-76.27418321850305,90821257,1e-05
13,60.0,0.0,-52.0,90821257,1e-05
14,70.0,0.0,-77.0,73159788,1e-05
15,80.0,0.0,-71.0,73159788,1e-05
