
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.03      0.00      0.02      0.02      0.03    118.87      1.00
cov_eigen_values_1[1]      0.10      0.01      0.09      0.08      0.11    190.62      0.98
cov_eigen_values_1[2]      0.03      0.00      0.03      0.03      0.04     72.12      0.99
cov_eigen_values_1[3]      0.02      0.00      0.02      0.01      0.02    111.82      0.99
cov_eigen_values_1[4]      0.06      0.01      0.06      0.05      0.08     52.43      1.10
cov_eigen_values_1[5]      0.00      0.00     -0.00     -0.00      0.00    103.76      1.02
cov_eigen_values_1[6]      0.06      0.01      0.06      0.05      0.07    103.90      0.99
cov_eigen_values_1[7]      0.03      0.00      0.03      0.02      0.03    103.01      1.00
cov_eigen_values_2[0]      1.85      0.58      1.76      1.00      2.86     46.66      1.00
cov_eigen_values_2[1]      0.97      0.56      0.90      0.18      1.69     34.25      1.05
cov_eigen_values_2[2]      1.05      0.64      0.96      0.15      2.00      3.71      1.23
cov_eigen_values_2[3]      1.45      0.85      1.30      0.39      2.94      3.20      1.40
cov_eigen_values_2[4]      0.67      0.39      0.56      0.09      1.27     16.80      1.17
cov_eigen_values_2[5]      0.90      0.46      0.94      0.14      1.53     28.52      1.01
cov_eigen_values_2[6]      1.03      0.59      0.90      0.30      2.07     62.88      0.99
cov_eigen_values_2[7]      0.97      0.44      0.93      0.31      1.67     57.72      1.01
cov_eigen_values_3[0]      0.55      0.03      0.54      0.50      0.59    156.13      0.99
cov_eigen_values_3[1]      0.31      0.02      0.31      0.29      0.35    110.86      0.99
cov_eigen_values_3[2]      0.03      0.00      0.03      0.03      0.03     61.91      1.00
cov_eigen_values_3[3]      0.03      0.00      0.03      0.03      0.03    109.25      0.99
cov_eigen_values_3[4]      0.22      0.01      0.22      0.20      0.24     65.64      1.01
cov_eigen_values_3[5]      0.11      0.01      0.11      0.10      0.12     72.39      1.01
cov_eigen_values_3[6]      0.15      0.01      0.15      0.13      0.16    124.92      0.99
cov_eigen_values_3[7]      0.12      0.01      0.12      0.11      0.13    126.94      0.99
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28    100.47      1.00
cov_eigen_values_4[1]      0.07      0.01      0.07      0.05      0.08    182.69      0.98
cov_eigen_values_4[2]      0.06      0.01      0.06      0.05      0.07    135.95      0.99
cov_eigen_values_4[3]      0.06      0.01      0.05      0.05      0.06    126.94      1.00
cov_eigen_values_4[4]      0.04      0.00      0.04      0.03      0.05     83.26      1.00
cov_eigen_values_4[5]      0.04      0.01      0.04      0.03      0.04     67.39      1.01
cov_eigen_values_4[6]     -0.00      0.01     -0.00     -0.01      0.01      6.34      1.32
