,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,10827840,1e-05
1,20.0,0.0,-5.476409774257036,10827840,1e-05
2,30.0,0.0,-1.0,10827840,1e-05
3,0.0,0.0,-39.0,30457233,1e-05
4,20.0,0.0,-15.376341369493836,30457233,1e-05
5,40.0,0.0,-15.999999999999993,30457233,1e-05
6,0.0,0.0,-61.0,41158039,1e-05
7,20.0,0.0,-40.70195065361917,41158039,1e-05
8,60.0,0.0,-27.0,41158039,1e-05
9,0.0,0.0,-72.0,971764,1e-05
10,30.0,0.0,-55.5,971764,1e-05
11,60.0,0.0,-39.0,971764,1e-05
12,20.0,0.0,-75.92808698053058,303005,1e-05
13,60.0,0.0,-52.0,303005,1e-05
14,70.0,0.0,-77.0,94580188,1e-05
15,80.0,0.0,-71.0,94580188,1e-05
