
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -3.84      0.09     -3.88     -3.93     -3.67      2.52     14.86
mean_data1[1]      0.43      0.01      0.42      0.41      0.45      2.93      3.77
mean_data1[2]      0.40      0.02      0.39      0.38      0.43      3.04      4.28
mean_data1[3]     -0.15      0.01     -0.14     -0.16     -0.13      4.22      2.47
mean_data1[4]     -0.04      0.01     -0.03     -0.05     -0.02      3.28      2.55
mean_data1[5]      0.02      0.01      0.02      0.01      0.03     16.75      1.40
mean_data1[6]     -0.10      0.00     -0.10     -0.11     -0.10      4.76      1.85
mean_data1[7]     -0.00      0.01     -0.00     -0.01      0.00      4.14      1.86
mean_data2[0]      0.69      0.06      0.72      0.58      0.77      2.60      7.15
mean_data2[1]      1.48      0.00      1.48      1.47      1.49      7.42      1.79
mean_data2[2]     -1.02      0.02     -1.02     -1.04     -0.99      2.69      5.04
mean_data2[3]      0.01      0.00      0.01      0.00      0.02     11.03      1.53
mean_data2[4]      0.00      0.01     -0.01     -0.02      0.02      2.93      3.25
mean_data2[5]      0.00      0.01     -0.00     -0.02      0.02      3.73      2.28
mean_data2[6]      0.01      0.00      0.01     -0.00      0.01      3.15      2.50
mean_data2[7]     -0.00      0.01      0.00     -0.02      0.01      3.32      2.32
mean_data3[0]      3.91      0.02      3.91      3.89      3.93      2.90      3.99
mean_data3[1]     -0.44      0.01     -0.44     -0.46     -0.43      3.06      2.97
mean_data3[2]     -0.10      0.01     -0.10     -0.11     -0.09      3.19      3.00
mean_data3[3]     -0.02      0.02     -0.01     -0.05      0.02      3.08      3.65
mean_data3[4]      0.02      0.01      0.02      0.01      0.04      3.79      2.15
mean_data3[5]     -0.00      0.01      0.00     -0.01      0.01      8.89      1.61
mean_data3[6]     -0.01      0.00     -0.01     -0.01     -0.00      3.92      2.03
mean_data3[7]     -0.00      0.00     -0.00     -0.01      0.00     41.11      1.11
mean_data4[0]     -1.08      0.06     -1.10     -1.15     -0.98      2.77      3.97
mean_data4[1]      0.54      0.00      0.54      0.53      0.55     10.76      1.90
mean_data4[2]      0.55      0.00      0.55      0.54      0.55     10.52      1.45
mean_data4[3]     -0.00      0.01     -0.00     -0.01      0.01      3.48      2.44
mean_data4[4]      0.05      0.01      0.05      0.03      0.06      4.12      2.42
mean_data4[5]     -0.01      0.01     -0.01     -0.02      0.00      5.59      1.94
mean_data4[6]      0.04      0.00      0.04      0.04      0.05     17.12      1.29
mean_data4[7]     -0.01      0.01     -0.01     -0.02      0.00      9.34      1.48
mean_data5[0]      2.74      0.01      2.74      2.71      2.75      4.08      2.89
mean_data5[1]     -0.04      0.01     -0.04     -0.05     -0.04      5.94      1.93
mean_data5[2]      0.19      0.01      0.19      0.19      0.20      7.81      1.89
mean_data5[3]      0.10      0.01      0.10      0.09      0.11      7.02      1.92
mean_data5[4]     -0.10      0.01     -0.10     -0.11     -0.09     10.78      1.67
mean_data5[5]      0.00      0.01      0.00     -0.01      0.02      5.30      1.67
mean_data5[6]      0.01      0.00      0.01      0.00      0.01      5.66      1.88
mean_data5[7]      0.02      0.01      0.02      0.01      0.03      5.35      2.35
mean_data6[0]     -6.87      0.00     -6.87     -6.87     -6.87      5.75      1.58
mean_data6[1]     -0.64      0.01     -0.64     -0.66     -0.64     11.60      1.90
mean_data6[2]     -0.31      0.01     -0.31     -0.32     -0.30      6.13      2.08
mean_data6[3]      0.04      0.00      0.04      0.04      0.05     12.77      1.71
mean_data6[4]     -0.00      0.00     -0.00     -0.01      0.00     12.28      1.44
mean_data6[5]     -0.00      0.00     -0.00     -0.01      0.00      7.44      1.60
mean_data6[6]      0.01      0.00      0.01      0.01      0.01      8.39      1.69
mean_data6[7]      0.00      0.00      0.00     -0.00      0.00     14.87      1.40
         mu_1      3.37      0.19      3.27      3.18      3.60      2.52     29.10
         mu_2      2.63      0.23      2.62      2.23      2.89      2.50     42.24
         mu_3      1.82      0.13      1.77      1.72      2.07      2.51     20.04
         mu_4     -0.38      0.07     -0.40     -0.40     -0.40     14.90      1.36

Number of divergences: 2499
