
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.08      0.01     -2.08     -2.09     -2.06     82.03      1.02
mean_data1[1]     -0.54      0.01     -0.54     -0.56     -0.52    132.50      1.01
mean_data1[2]      0.07      0.01      0.07      0.05      0.09     48.66      1.03
mean_data1[3]     -0.32      0.05     -0.32     -0.40     -0.26     43.79      1.03
mean_data1[4]      0.08      0.02      0.08      0.05      0.11     56.83      1.04
mean_data1[5]     -0.07      0.01     -0.07     -0.09     -0.05    184.49      0.99
mean_data1[6]     -0.03      0.02     -0.03     -0.06      0.01    122.61      0.99
mean_data1[7]     -0.02      0.01     -0.02     -0.04      0.01    161.40      1.00
mean_data1[8]     -0.00      0.01     -0.00     -0.01      0.01    182.08      0.99
mean_data1[9]      0.01      0.01      0.01      0.00      0.02    118.18      0.99
mean_data2[0]      1.62      0.21      1.55      1.35      1.95      7.42      1.12
mean_data2[1]     -1.93      0.11     -1.93     -2.07     -1.74      4.04      1.43
mean_data2[2]     -0.08      0.01     -0.08     -0.10     -0.07      4.10      1.44
mean_data2[3]      0.44      0.08      0.44      0.30      0.55      7.91      1.31
mean_data2[4]     -0.16      0.10     -0.14     -0.31     -0.04      2.72      3.08
mean_data2[5]     -0.02      0.05     -0.02     -0.10      0.05      2.92      3.42
mean_data2[6]      0.04      0.02      0.04      0.01      0.07      4.89      1.02
mean_data2[7]     -0.04      0.04     -0.04     -0.11      0.00      5.77      1.08
mean_data2[8]      0.03      0.02      0.03      0.00      0.05      2.91      2.23
mean_data2[9]      0.02      0.01      0.02      0.00      0.03      6.54      1.47
mean_data3[0]      2.16      0.62      2.42      1.16      2.71      4.03      1.54
mean_data3[1]      0.66      0.20      0.58      0.42      1.02      4.68      1.27
mean_data3[2]     -0.26      0.27     -0.30     -0.63      0.14      2.51      2.73
mean_data3[3]      0.25      0.28      0.21     -0.11      0.77      4.99      1.00
mean_data3[4]     -0.30      0.38     -0.22     -0.87      0.34      2.78      2.58
mean_data3[5]      0.06      0.09      0.06     -0.09      0.18      7.86      1.28
mean_data3[6]      0.32      0.09      0.30      0.21      0.51      4.33      1.56
mean_data3[7]     -0.13      0.10     -0.15     -0.27      0.00      4.09      1.39
mean_data3[8]      0.30      0.07      0.29      0.19      0.38      6.58      1.50
mean_data3[9]      0.19      0.26      0.08     -0.05      0.62      4.57      1.35
mean_data4[0]      2.37      0.17      2.44      2.14      2.59      2.41      3.17
mean_data4[1]      3.37      0.09      3.34      3.28      3.53      4.46      1.25
mean_data4[2]     -0.53      0.54     -0.51     -1.41      0.27      2.74      2.26
mean_data4[3]     -0.16      0.10     -0.15     -0.27     -0.03     12.74      1.21
mean_data4[4]      0.79      0.15      0.77      0.52      0.98      4.87      1.29
mean_data4[5]     -0.30      0.17     -0.28     -0.63     -0.10      2.66      2.40
mean_data4[6]     -0.27      0.14     -0.25     -0.53     -0.10      2.94      1.95
mean_data4[7]      0.61      0.21      0.64      0.35      0.92      2.38      3.12
mean_data4[8]      1.24      0.51      1.23      0.59      2.02      2.41      3.09
mean_data4[9]      0.05      0.06      0.05     -0.06      0.12     14.80      1.10
         mu_1      0.03      0.00      0.03      0.03      0.03    153.67      1.00
         mu_2      0.02      0.00      0.02      0.02      0.02     31.99      1.02
         mu_3      0.01      0.00      0.01      0.01      0.01     71.30      1.01

Number of divergences: 0
