
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.05      0.89      0.81      0.96    192.30      1.00
cov_eigen_values_1[1]      0.25      0.02      0.25      0.23      0.27    163.10      0.99
cov_eigen_values_1[2]      0.17      0.01      0.17      0.16      0.19    163.23      1.00
cov_eigen_values_1[3]      0.25      0.02      0.25      0.23      0.28    320.80      1.00
cov_eigen_values_1[4]      0.15      0.01      0.15      0.13      0.16    174.98      1.00
cov_eigen_values_1[5]      0.07      0.00      0.07      0.06      0.08     84.53      1.01
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.02     97.47      1.00
cov_eigen_values_1[7]      0.05      0.00      0.05      0.05      0.06    107.03      1.02
cov_eigen_values_1[8]      0.03      0.00      0.03      0.02      0.03    323.97      0.99
cov_eigen_values_1[9]      0.01      0.00      0.01      0.01      0.01    125.29      1.00
cov_eigen_values_2[0]      1.39      0.18      1.37      1.12      1.63    135.36      1.00
cov_eigen_values_2[1]      1.03      0.11      1.01      0.85      1.19    149.99      0.99
cov_eigen_values_2[2]      0.89      0.09      0.88      0.76      1.04    149.52      0.99
cov_eigen_values_2[3]      0.42      0.05      0.42      0.35      0.49    121.35      1.01
cov_eigen_values_2[4]      0.43      0.06      0.42      0.36      0.52    146.31      1.00
cov_eigen_values_2[5]      0.28      0.03      0.28      0.23      0.34    283.32      0.99
cov_eigen_values_2[6]      0.09      0.01      0.09      0.07      0.11    145.31      1.01
cov_eigen_values_2[7]      0.16      0.02      0.15      0.13      0.18    175.47      0.99
cov_eigen_values_2[8]      0.07      0.01      0.07      0.06      0.09    168.42      0.99
cov_eigen_values_2[9]      0.09      0.01      0.09      0.08      0.10    626.96      1.01
cov_eigen_values_3[0]      0.13      0.01      0.13      0.11      0.15    259.32      0.99
cov_eigen_values_3[1]      0.72      0.08      0.71      0.60      0.85    119.30      0.99
cov_eigen_values_3[2]      0.53      0.06      0.53      0.44      0.63    146.71      1.00
cov_eigen_values_3[3]      0.38      0.05      0.38      0.30      0.46    200.13      0.99
cov_eigen_values_3[4]      0.21      0.03      0.21      0.17      0.25    127.00      1.00
cov_eigen_values_3[5]      0.23      0.03      0.23      0.20      0.29    122.20      1.00
cov_eigen_values_3[6]      0.14      0.02      0.14      0.12      0.16    194.16      1.01
cov_eigen_values_3[7]      0.07      0.01      0.07      0.06      0.08    276.21      0.99
cov_eigen_values_3[8]      0.04      0.01      0.04      0.03      0.05     85.97      1.01
cov_eigen_values_3[9]      0.02      0.00      0.02      0.02      0.02    151.67      1.00
cov_eigen_values_4[0]      1.14      0.25      1.10      0.75      1.51     99.60      1.00
cov_eigen_values_4[1]      0.96      0.16      0.96      0.68      1.20    120.41      0.99
cov_eigen_values_4[2]      0.89      0.21      0.88      0.55      1.18    135.47      0.99
cov_eigen_values_4[3]      0.22      0.04      0.21      0.16      0.28    159.72      1.00
cov_eigen_values_4[4]      0.35      0.07      0.35      0.24      0.45    118.65      0.99
cov_eigen_values_4[5]      0.25      0.04      0.25      0.19      0.33    163.11      1.02
cov_eigen_values_4[6]      0.18      0.03      0.17      0.14      0.23    109.92      1.03
cov_eigen_values_4[7]      0.18      0.04      0.17      0.13      0.25    163.63      1.02
cov_eigen_values_4[8]      0.06      0.01      0.06      0.05      0.08    196.00      1.00
cov_eigen_values_4[9]      0.04      0.01      0.04      0.03      0.06    165.66      1.01
       mean_data_1[0]      2.11      0.02      2.11      2.08      2.14    158.78      0.99
       mean_data_1[1]     -0.52      0.02     -0.52     -0.55     -0.49    182.33      0.99
       mean_data_1[2]      0.04      0.01      0.04      0.02      0.06    136.00      1.00
       mean_data_1[3]      0.04      0.08      0.04     -0.09      0.16    133.60      0.99
       mean_data_1[4]      0.00      0.02      0.00     -0.03      0.04    130.07      0.99
       mean_data_1[5]      0.01      0.02      0.01     -0.03      0.04    128.88      0.99
       mean_data_1[6]      0.01      0.02      0.01     -0.02      0.04    118.60      0.99
       mean_data_1[7]      0.01      0.01      0.01     -0.01      0.03    187.05      0.99
       mean_data_1[8]     -0.00      0.01     -0.00     -0.01      0.01    153.54      0.99
       mean_data_1[9]     -0.01      0.01     -0.01     -0.02      0.00    126.46      0.99
       mean_data_2[0]     -3.91      0.14     -3.90     -4.14     -3.69     69.09      1.02
       mean_data_2[1]     -2.71      0.09     -2.71     -2.85     -2.57     68.87      1.00
       mean_data_2[2]     -0.05      0.02     -0.05     -0.08     -0.03    117.58      0.99
       mean_data_2[3]     -0.08      0.15     -0.11     -0.32      0.15     32.54      1.00
       mean_data_2[4]     -0.06      0.15     -0.06     -0.30      0.15     39.94      1.00
       mean_data_2[5]     -0.01      0.08     -0.01     -0.13      0.15     44.18      1.01
       mean_data_2[6]      0.01      0.05      0.01     -0.08      0.07     62.84      1.00
       mean_data_2[7]      0.01      0.08      0.00     -0.09      0.15    108.87      0.99
       mean_data_2[8]      0.01      0.03      0.01     -0.03      0.05     64.59      1.01
       mean_data_2[9]      0.00      0.03      0.01     -0.05      0.05     71.37      1.00
       mean_data_3[0]     -1.69      0.07     -1.69     -1.81     -1.59     83.14      1.01
       mean_data_3[1]      3.57      0.04      3.57      3.51      3.63    103.61      0.99
       mean_data_3[2]     -1.44      0.06     -1.43     -1.52     -1.34     95.07      1.04
       mean_data_3[3]      0.11      0.04      0.11      0.06      0.17    107.50      1.00
       mean_data_3[4]      0.01      0.08     -0.00     -0.12      0.11     85.94      0.99
       mean_data_3[5]      0.01      0.04      0.02     -0.05      0.09     88.71      1.02
       mean_data_3[6]     -0.01      0.08     -0.00     -0.12      0.14     62.40      1.01
       mean_data_3[7]     -0.02      0.03     -0.03     -0.08      0.02     81.58      1.04
       mean_data_3[8]      0.01      0.07      0.02     -0.08      0.12     65.38      1.04
       mean_data_3[9]      0.01      0.02      0.01     -0.01      0.04    133.08      1.00
       mean_data_4[0]     -2.16      0.20     -2.17     -2.46     -1.78     76.03      1.01
       mean_data_4[1]      3.67      0.26      3.67      3.32      4.14     97.64      1.00
       mean_data_4[2]      3.26      0.24      3.23      2.90      3.65    104.59      0.99
       mean_data_4[3]     -0.25      0.10     -0.25     -0.42     -0.09     89.37      0.99
       mean_data_4[4]      0.01      0.15      0.02     -0.20      0.24     71.78      1.01
       mean_data_4[5]     -0.04      0.04     -0.04     -0.10      0.04    181.48      1.00
       mean_data_4[6]     -0.05      0.08     -0.05     -0.20      0.06    109.84      1.01
       mean_data_4[7]     -0.04      0.06     -0.04     -0.13      0.05     90.22      1.01
       mean_data_4[8]      0.01      0.12     -0.01     -0.14      0.22     82.41      0.99
       mean_data_4[9]      0.02      0.04      0.02     -0.04      0.08    115.26      0.99
                 mu_1      0.03      0.00      0.03      0.02      0.03    132.57      1.01
                 mu_2      0.02      0.00      0.02      0.02      0.02    166.57      1.00
                 mu_3      0.01      0.00      0.01      0.01      0.01    168.90      0.99

Number of divergences: 0
