
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.69      0.00      0.69      0.69      0.69      5.71      1.00
cov_eigen_values_1[1]      0.41      0.00      0.41      0.41      0.41      5.71      1.00
cov_eigen_values_1[2]      0.36      0.00      0.36      0.36      0.36      5.71      1.00
cov_eigen_values_1[3]      0.13      0.00      0.13      0.13      0.13      5.71      1.00
cov_eigen_values_1[4]      0.14      0.00      0.14      0.14      0.14      5.71      1.00
cov_eigen_values_1[5]      0.10      0.00      0.10      0.10      0.10      5.71      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.02      0.02      5.71      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.02      0.02      5.71      1.00
cov_eigen_values_2[0]      1.23      0.00      1.23      1.23      1.23      5.71      1.00
cov_eigen_values_2[1]      0.75      0.00      0.75      0.74      0.75      5.71      1.00
cov_eigen_values_2[2]      0.32      0.00      0.32      0.32      0.32      5.71      1.00
cov_eigen_values_2[3]      0.20      0.00      0.20      0.20      0.21      5.71      1.00
cov_eigen_values_2[4]      0.15      0.00      0.15      0.15      0.15      5.71      1.00
cov_eigen_values_2[5]      0.06      0.00      0.06      0.06      0.06      5.71      1.00
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.03      5.71      1.00
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.04      5.71      1.00
cov_eigen_values_3[0]      1.28      0.00      1.28      1.28      1.28      5.71      1.00
cov_eigen_values_3[1]      0.89      0.00      0.89      0.89      0.89      5.71      1.00
cov_eigen_values_3[2]      0.72      0.00      0.72      0.71      0.72      5.71      1.00
cov_eigen_values_3[3]      0.37      0.00      0.37      0.37      0.37      5.71      1.00
cov_eigen_values_3[4]      0.27      0.00      0.27      0.27      0.27      5.71      1.00
cov_eigen_values_3[5]      0.15      0.00      0.15      0.15      0.15      5.71      1.00
cov_eigen_values_3[6]      0.07      0.00      0.07      0.07      0.07      5.71      1.00
cov_eigen_values_3[7]      0.04      0.00      0.04      0.04      0.04      5.71      1.00
cov_eigen_values_4[0]      0.88      0.00      0.88      0.88      0.88      5.71      1.00
cov_eigen_values_4[1]      0.29      0.00      0.29      0.29      0.29      5.71      1.00
cov_eigen_values_4[2]      0.24      0.00      0.24      0.24      0.24      5.71      1.00
cov_eigen_values_4[3]      0.20      0.00      0.20      0.19      0.20      5.71      1.00
cov_eigen_values_4[4]      0.05      0.00      0.05      0.05      0.05      5.71      1.00
cov_eigen_values_4[5]      0.05      0.00      0.05      0.05      0.05      5.71      1.00
cov_eigen_values_4[6]      0.01      0.00      0.01      0.01      0.01      5.71      1.00
cov_eigen_values_4[7]      0.02      0.00      0.02      0.01      0.02      5.71      1.00
       mean_data_1[0]      1.68      0.00      1.68      1.68      1.68      5.71      1.00
       mean_data_1[1]      3.58      0.00      3.58      3.57      3.58      5.71      1.00
       mean_data_1[2]     -1.45      0.00     -1.45     -1.45     -1.45      5.71      1.00
       mean_data_1[3]     -0.11      0.00     -0.11     -0.11     -0.11      5.71      1.00
       mean_data_1[4]      0.00      0.00      0.00      0.00      0.00      5.71      1.00
       mean_data_1[5]     -0.01      0.00     -0.01     -0.01     -0.01      5.71      1.00
       mean_data_1[6]      0.01      0.00      0.01      0.01      0.01      5.71      1.00
       mean_data_1[7]      0.01      0.00      0.01      0.01      0.01      5.71      1.00
       mean_data_2[0]      2.15      0.00      2.15      2.15      2.15      5.71      1.00
       mean_data_2[1]      3.69      0.00      3.69      3.69      3.69      5.71      1.00
       mean_data_2[2]      3.27      0.00      3.27      3.27      3.27      5.71      1.00
       mean_data_2[3]      0.24      0.00      0.24      0.24      0.24      5.71      1.00
       mean_data_2[4]      0.00      0.00      0.00     -0.00      0.00      5.71      1.00
       mean_data_2[5]      0.04      0.00      0.04      0.04      0.04      5.71      1.00
       mean_data_2[6]      0.06      0.00      0.06      0.06      0.06      5.71      1.00
       mean_data_2[7]      0.03      0.00      0.03      0.03      0.03      5.71      1.00
       mean_data_3[0]      4.01      0.00      4.01      4.01      4.01      5.71      1.00
       mean_data_3[1]     -2.71      0.00     -2.71     -2.72     -2.71      5.71      1.00
       mean_data_3[2]     -0.05      0.00     -0.05     -0.05     -0.05      5.71      1.00
       mean_data_3[3]      0.07      0.00      0.07      0.07      0.07      5.71      1.00
       mean_data_3[4]     -0.02      0.00     -0.02     -0.02     -0.02      5.71      1.00
       mean_data_3[5]     -0.00      0.00     -0.00     -0.00     -0.00      5.71      1.00
       mean_data_3[6]     -0.01      0.00     -0.01     -0.01     -0.01      5.71      1.00
       mean_data_3[7]     -0.01      0.00     -0.01     -0.01     -0.01      5.71      1.00
       mean_data_4[0]     -2.11      0.00     -2.11     -2.11     -2.11      5.71      1.00
       mean_data_4[1]     -0.52      0.00     -0.52     -0.52     -0.52      5.71      1.00
       mean_data_4[2]      0.04      0.00      0.04      0.04      0.04      5.71      1.00
       mean_data_4[3]     -0.02      0.00     -0.02     -0.02     -0.02      5.71      1.00
       mean_data_4[4]      0.01      0.00      0.01      0.01      0.01      5.71      1.00
       mean_data_4[5]      0.00      0.00      0.00      0.00      0.00      5.71      1.00
       mean_data_4[6]     -0.01      0.00     -0.01     -0.01     -0.01      5.71      1.00
       mean_data_4[7]     -0.01      0.00     -0.01     -0.01     -0.01      5.71      1.00
                 mu_1      0.04      0.00      0.04      0.04      0.04      5.71      1.00
                 mu_2      0.02      0.00      0.02      0.02      0.02      5.71      1.00
                 mu_3      0.01      0.00      0.01      0.00      0.01      5.71      1.00

Number of divergences: 5
