
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.14      0.01     -2.14     -2.16     -2.12    198.64      1.00
mean_data1[1]     -0.50      0.01     -0.49     -0.52     -0.47    173.83      0.99
mean_data1[2]      0.01      0.01      0.01     -0.01      0.02    168.81      0.99
mean_data1[3]      0.22      0.06      0.23      0.13      0.31    193.92      0.99
mean_data1[4]     -0.07      0.02     -0.07     -0.11     -0.04    180.48      1.00
mean_data1[5]      0.05      0.02      0.05      0.03      0.08    169.04      1.01
mean_data1[6]      0.01      0.02      0.01     -0.02      0.03    213.35      0.99
mean_data1[7]      0.00      0.01      0.00     -0.02      0.02    180.82      1.01
mean_data2[0]      2.98      0.29      2.97      2.52      3.42    159.93      1.00
mean_data2[1]     -2.00      0.20     -1.99     -2.42     -1.72    123.40      0.99
mean_data2[2]      0.13      0.11      0.13     -0.02      0.32    208.20      0.99
mean_data2[3]      0.28      0.13      0.28      0.08      0.50    128.94      1.01
mean_data2[4]     -0.02      0.13     -0.01     -0.22      0.17     82.03      1.02
mean_data2[5]      0.05      0.08      0.04     -0.08      0.16    228.26      1.01
mean_data2[6]      0.00      0.04      0.01     -0.06      0.08    232.73      1.01
mean_data2[7]      0.02      0.07      0.01     -0.10      0.11    150.95      1.01
mean_data3[0]      1.79      0.04      1.79      1.74      1.86    141.87      1.00
mean_data3[1]      3.65      0.07      3.64      3.53      3.75    151.97      1.01
mean_data3[2]      0.07      0.31      0.06     -0.39      0.59    175.29      0.99
mean_data3[3]     -0.02      0.04     -0.02     -0.08      0.06    278.42      0.99
mean_data3[4]     -0.07      0.07     -0.08     -0.19      0.03     81.75      1.00
mean_data3[5]     -0.00      0.03     -0.01     -0.05      0.05     70.06      1.01
mean_data3[6]     -0.01      0.06     -0.01     -0.12      0.10     71.11      1.00
mean_data3[7]     -0.01      0.03     -0.01     -0.05      0.04    134.17      1.03
         mu_1      0.03      0.00      0.03      0.03      0.03     75.61      1.00
         mu_2     -0.00      0.00     -0.00     -0.00     -0.00     71.20      1.01

Number of divergences: 0
