
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.11      0.01     -2.11     -2.11     -2.09      2.98      4.19
mean_data1[1]     -0.52      0.00     -0.52     -0.52     -0.52      2.99      3.32
mean_data1[2]      0.04      0.00      0.04      0.04      0.04      3.02      2.64
mean_data1[3]     -0.02      0.00     -0.02     -0.02     -0.02      3.73      1.18
mean_data1[4]      0.01      0.01      0.01     -0.01      0.01      7.15      1.25
mean_data1[5]      0.00      0.00      0.00     -0.00      0.00      3.90      1.69
mean_data1[6]      0.00      0.01      0.00     -0.01      0.01      2.62      3.54
mean_data1[7]     -0.00      0.00     -0.01     -0.01     -0.00     15.91      0.91
mean_data2[0]      4.01      0.00      4.01      4.01      4.01      2.65      2.44
mean_data2[1]     -2.71      0.01     -2.71     -2.72     -2.70      3.21      6.83
mean_data2[2]     -0.04      0.00     -0.04     -0.05     -0.04      2.61      2.24
mean_data2[3]      0.06      0.01      0.06      0.05      0.07      3.07      1.83
mean_data2[4]     -0.02      0.00     -0.02     -0.03     -0.02      3.87      0.99
mean_data2[5]     -0.00      0.01     -0.00     -0.00      0.01      3.51      1.39
mean_data2[6]     -0.01      0.00     -0.01     -0.02     -0.01      4.05      1.62
mean_data2[7]     -0.00      0.00     -0.01     -0.01      0.00      2.44      3.69
mean_data3[0]      1.82      0.00      1.82      1.82      1.82      3.66      0.74
mean_data3[1]      3.61      0.00      3.61      3.61      3.62      2.40      4.31
mean_data3[2]     -0.06      0.01     -0.05     -0.07     -0.05      2.78      2.48
mean_data3[3]     -0.01      0.00     -0.01     -0.01     -0.00      8.57      0.74
mean_data3[4]     -0.00      0.00     -0.00     -0.01     -0.00   -393.26      1.11
mean_data3[5]     -0.00      0.01      0.00     -0.01      0.00      2.67      3.85
mean_data3[6]      0.03      0.00      0.03      0.03      0.03      5.74      1.43
mean_data3[7]      0.02      0.00      0.02      0.02      0.03    -15.41      0.78
         mu_1      0.03      0.00      0.03      0.03      0.03      6.98      0.76
         mu_2     -0.00      0.00     -0.00     -0.00     -0.00      6.01      0.72

Number of divergences: 0
