
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.14      0.01     -2.14     -2.16     -2.13    101.00      1.00
mean_data1[1]     -0.49      0.01     -0.50     -0.51     -0.47     99.49      1.00
mean_data1[2]      0.01      0.01      0.01     -0.01      0.03    107.26      0.99
mean_data1[3]      0.23      0.05      0.22      0.14      0.30    105.30      1.00
mean_data1[4]     -0.07      0.02     -0.07     -0.10     -0.04    104.63      0.99
mean_data1[5]      0.06      0.01      0.06      0.03      0.08    171.49      1.00
mean_data1[6]      0.01      0.02      0.01     -0.02      0.04    217.57      0.99
mean_data1[7]     -0.00      0.01     -0.00     -0.02      0.02    145.86      1.00
mean_data2[0]      2.96      0.38      2.99      2.24      3.53    263.87      1.01
mean_data2[1]     -2.00      0.26     -1.99     -2.42     -1.62    123.55      1.00
mean_data2[2]      0.13      0.11      0.13     -0.04      0.31    108.77      0.99
mean_data2[3]      0.28      0.16      0.28      0.02      0.55    130.25      1.01
mean_data2[4]     -0.03      0.16     -0.03     -0.26      0.28    110.16      1.02
mean_data2[5]      0.04      0.09      0.05     -0.10      0.18    101.11      1.00
mean_data2[6]      0.01      0.05      0.00     -0.06      0.10    118.99      1.00
mean_data2[7]      0.01      0.07      0.01     -0.09      0.13    148.88      1.00
mean_data3[0]      1.80      0.04      1.80      1.74      1.87     81.87      1.00
mean_data3[1]      3.65      0.06      3.64      3.56      3.76    183.95      1.00
mean_data3[2]      0.09      0.33      0.07     -0.41      0.64    226.76      1.00
mean_data3[3]     -0.03      0.04     -0.03     -0.10      0.03    135.99      1.00
mean_data3[4]     -0.05      0.06     -0.06     -0.15      0.04    127.63      0.99
mean_data3[5]      0.01      0.03      0.01     -0.04      0.06     57.70      0.99
mean_data3[6]      0.01      0.06      0.01     -0.10      0.10     72.60      1.00
mean_data3[7]     -0.01      0.03     -0.01     -0.05      0.03     97.68      0.99
         mu_1      0.03      0.00      0.03      0.03      0.03    228.33      1.00
         mu_2     -0.00      0.00     -0.00     -0.00     -0.00    141.72      0.99

Number of divergences: 0
