
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -2.11      0.00     -2.11     -2.11     -2.11    111.31      1.00
mean_data1[1]     -0.52      0.00     -0.52     -0.52     -0.52    179.20      1.00
mean_data1[2]      0.04      0.00      0.04      0.04      0.04    271.74      0.99
mean_data1[3]     -0.02      0.00     -0.02     -0.02     -0.02    168.51      1.00
mean_data1[4]      0.01      0.00      0.01      0.01      0.01    153.88      1.00
mean_data1[5]      0.00      0.00      0.00     -0.00      0.00    238.33      0.99
mean_data1[6]     -0.01      0.00     -0.01     -0.01     -0.01    117.15      1.01
mean_data1[7]     -0.01      0.00     -0.01     -0.01     -0.00    161.93      1.00
mean_data2[0]      4.01      0.00      4.01      4.01      4.01    130.38      0.99
mean_data2[1]     -2.71      0.00     -2.71     -2.72     -2.71     83.46      1.03
mean_data2[2]     -0.05      0.00     -0.05     -0.05     -0.04    216.29      1.01
mean_data2[3]      0.07      0.00      0.07      0.07      0.07    162.00      1.01
mean_data2[4]     -0.02      0.00     -0.02     -0.02     -0.02    159.58      1.01
mean_data2[5]     -0.00      0.00     -0.00     -0.01     -0.00     94.68      1.01
mean_data2[6]     -0.01      0.00     -0.01     -0.01     -0.01    123.95      0.99
mean_data2[7]     -0.01      0.00     -0.01     -0.01     -0.01    173.56      1.00
mean_data3[0]      1.82      0.00      1.82      1.82      1.82    119.59      1.00
mean_data3[1]      3.61      0.00      3.61      3.61      3.61    222.19      1.01
mean_data3[2]     -0.05      0.00     -0.05     -0.05     -0.05    148.74      0.99
mean_data3[3]     -0.01      0.00     -0.01     -0.01     -0.00    115.79      1.00
mean_data3[4]     -0.00      0.00     -0.00     -0.00      0.00    204.32      1.00
mean_data3[5]      0.00      0.00      0.00      0.00      0.01     97.32      1.00
mean_data3[6]      0.03      0.00      0.03      0.02      0.03    196.61      0.99
mean_data3[7]      0.02      0.00      0.02      0.02      0.02    201.71      1.00
         mu_1      0.03      0.00      0.03      0.03      0.03    281.14      1.00
         mu_2     -0.00      0.00     -0.00     -0.00      0.00    189.61      1.00

Number of divergences: 0
