
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.88      0.05      0.88      0.78      0.96    274.18      1.00
cov_eigen_values_1[1]      0.25      0.02      0.25      0.22      0.27    274.59      0.99
cov_eigen_values_1[2]      0.18      0.01      0.18      0.16      0.19    295.23      0.99
cov_eigen_values_1[3]      0.24      0.02      0.23      0.21      0.27    202.82      0.99
cov_eigen_values_1[4]      0.14      0.01      0.14      0.13      0.15    260.51      0.99
cov_eigen_values_1[5]      0.07      0.00      0.07      0.06      0.07    124.99      1.01
cov_eigen_values_1[6]      0.04      0.00      0.04      0.03      0.04    134.58      0.99
cov_eigen_values_1[7]      0.02      0.00      0.02      0.02      0.02    162.47      1.01
cov_eigen_values_2[0]      2.31      0.22      2.30      1.92      2.58    163.42      1.00
cov_eigen_values_2[1]      0.77      0.08      0.77      0.64      0.91    197.55      1.01
cov_eigen_values_2[2]      0.36      0.03      0.35      0.31      0.40    222.40      1.00
cov_eigen_values_2[3]      0.49      0.04      0.48      0.41      0.54    159.72      0.99
cov_eigen_values_2[4]      0.15      0.02      0.15      0.12      0.17    241.91      1.00
cov_eigen_values_2[5]      0.21      0.02      0.21      0.19      0.24    132.83      1.00
cov_eigen_values_2[6]      0.16      0.01      0.15      0.13      0.18    272.44      0.99
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    150.51      1.00
cov_eigen_values_3[0]      1.38      0.14      1.35      1.19      1.61    213.40      1.00
cov_eigen_values_3[1]      1.02      0.11      1.01      0.83      1.16    205.05      1.00
cov_eigen_values_3[2]      0.89      0.08      0.88      0.79      1.04    155.56      1.00
cov_eigen_values_3[3]      0.42      0.04      0.42      0.35      0.49    142.39      0.99
cov_eigen_values_3[4]      0.40      0.04      0.40      0.33      0.46    179.49      1.00
cov_eigen_values_3[5]      0.28      0.03      0.28      0.24      0.33    164.79      1.00
cov_eigen_values_3[6]      0.09      0.01      0.09      0.07      0.10    159.63      1.00
cov_eigen_values_3[7]      0.08      0.01      0.08      0.07      0.09    191.96      0.99
       mean_data_1[0]     -2.11      0.02     -2.12     -2.15     -2.08    204.81      0.99
       mean_data_1[1]     -0.52      0.02     -0.52     -0.54     -0.49    159.76      0.99
       mean_data_1[2]      0.04      0.01      0.04      0.02      0.06    117.47      1.00
       mean_data_1[3]     -0.03      0.08     -0.03     -0.16      0.09    113.93      1.00
       mean_data_1[4]      0.00      0.02     -0.00     -0.04      0.04    107.98      0.99
       mean_data_1[5]     -0.00      0.02     -0.00     -0.03      0.03    157.47      1.00
       mean_data_1[6]     -0.00      0.02     -0.00     -0.03      0.02    243.27      1.00
       mean_data_1[7]     -0.01      0.01     -0.01     -0.03      0.01    215.07      0.99
       mean_data_2[0]      1.82      0.06      1.83      1.74      1.93    114.37      1.00
       mean_data_2[1]      3.60      0.09      3.61      3.49      3.74    149.79      1.00
       mean_data_2[2]     -0.03      0.25     -0.05     -0.45      0.30    164.68      1.00
       mean_data_2[3]     -0.00      0.04      0.00     -0.09      0.05    185.90      0.99
       mean_data_2[4]      0.00      0.07     -0.01     -0.10      0.12    139.83      0.99
       mean_data_2[5]      0.00      0.03     -0.00     -0.04      0.05    146.44      1.00
       mean_data_2[6]      0.02      0.05      0.02     -0.05      0.10    158.89      0.99
       mean_data_2[7]      0.02      0.03      0.02     -0.02      0.08    143.17      0.99
       mean_data_3[0]      3.91      0.14      3.92      3.65      4.10    122.86      0.99
       mean_data_3[1]     -2.68      0.08     -2.68     -2.80     -2.55    140.26      0.99
       mean_data_3[2]     -0.05      0.02     -0.05     -0.08     -0.02    188.05      0.99
       mean_data_3[3]      0.09      0.17      0.08     -0.23      0.33    119.86      0.99
       mean_data_3[4]      0.00      0.14      0.00     -0.23      0.22    129.05      0.99
       mean_data_3[5]      0.01      0.09      0.00     -0.12      0.17    106.37      0.99
       mean_data_3[6]     -0.02      0.04     -0.02     -0.08      0.06    120.36      1.00
       mean_data_3[7]     -0.01      0.07     -0.01     -0.11      0.09    137.33      0.99
                 mu_1      0.02      0.00      0.02      0.01      0.02    117.69      0.99
                 mu_2      0.01      0.00      0.01      0.00      0.01    142.44      1.00

Number of divergences: 0
