
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.05      0.89      0.80      0.97    632.90      1.00
cov_eigen_values_1[1]      0.30      0.02      0.29      0.27      0.32    783.96      1.00
cov_eigen_values_1[2]      0.24      0.02      0.24      0.21      0.26   1032.56      1.00
cov_eigen_values_1[3]      0.20      0.01      0.20      0.18      0.22   1135.95      1.00
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06    915.41      1.00
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05    536.81      1.01
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01   1107.27      1.00
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02    561.90      1.00
cov_eigen_values_2[0]      1.31      0.15      1.31      1.06      1.52    356.24      1.01
cov_eigen_values_2[1]      0.92      0.10      0.92      0.76      1.09   1310.07      1.00
cov_eigen_values_2[2]      0.75      0.08      0.74      0.62      0.88    532.38      1.01
cov_eigen_values_2[3]      0.38      0.04      0.38      0.32      0.45   1064.34      1.00
cov_eigen_values_2[4]      0.28      0.03      0.28      0.24      0.33    679.80      1.01
cov_eigen_values_2[5]      0.16      0.02      0.15      0.13      0.18    179.24      1.02
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08    761.36      1.00
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    857.42      1.00
cov_eigen_values_3[0]      2.30      0.22      2.28      1.93      2.64    488.77      1.01
cov_eigen_values_3[1]      0.80      0.08      0.79      0.66      0.90    328.15      1.02
cov_eigen_values_3[2]      0.54      0.05      0.54      0.46      0.63    299.71      1.02
cov_eigen_values_3[3]      0.23      0.02      0.23      0.19      0.27    677.93      1.01
cov_eigen_values_3[4]      0.19      0.02      0.18      0.16      0.22    666.04      1.01
cov_eigen_values_3[5]      0.16      0.02      0.16      0.14      0.18    487.34      1.00
cov_eigen_values_3[6]      0.05      0.00      0.05      0.04      0.05    735.10      1.00
cov_eigen_values_3[7]      0.03      0.00      0.03      0.03      0.04    887.38      1.00
       mean_data_1[0]      2.11      0.01      2.11      2.09      2.13    161.10      1.01
       mean_data_1[1]     -0.52      0.02     -0.53     -0.55     -0.50    356.55      1.01
       mean_data_1[2]      0.04      0.01      0.04      0.02      0.06    299.76      1.01
       mean_data_1[3]      0.03      0.07      0.03     -0.09      0.14    152.74      1.01
       mean_data_1[4]      0.01      0.03      0.01     -0.03      0.05    246.06      1.01
       mean_data_1[5]     -0.00      0.02     -0.00     -0.03      0.03    208.47      1.01
       mean_data_1[6]      0.01      0.02      0.01     -0.03      0.04    655.03      1.00
       mean_data_1[7]      0.01      0.01      0.01     -0.02      0.03    650.68      1.00
       mean_data_2[0]     -4.02      0.11     -4.02     -4.19     -3.85    327.98      1.02
       mean_data_2[1]     -2.71      0.06     -2.70     -2.81     -2.61    481.38      1.01
       mean_data_2[2]     -0.05      0.02     -0.05     -0.07     -0.02    359.82      1.01
       mean_data_2[3]     -0.07      0.15     -0.06     -0.30      0.18    448.55      1.02
       mean_data_2[4]     -0.01      0.13     -0.00     -0.22      0.21    598.77      1.00
       mean_data_2[5]     -0.00      0.09     -0.00     -0.12      0.16    247.85      1.02
       mean_data_2[6]      0.02      0.05      0.02     -0.06      0.09    321.02      1.02
       mean_data_2[7]      0.01      0.08      0.01     -0.12      0.14    281.31      1.01
       mean_data_3[0]     -1.82      0.05     -1.82     -1.90     -1.73     92.06      1.05
       mean_data_3[1]      3.61      0.06      3.61      3.52      3.71    137.37      1.04
       mean_data_3[2]     -0.02      0.33     -0.01     -0.51      0.56    366.11      1.02
       mean_data_3[3]      0.00      0.05      0.00     -0.08      0.08    126.37      1.04
       mean_data_3[4]     -0.01      0.08     -0.01     -0.11      0.14    203.78      1.03
       mean_data_3[5]     -0.00      0.03     -0.00     -0.05      0.05    302.52      1.01
       mean_data_3[6]     -0.02      0.06     -0.02     -0.12      0.08    266.01      1.01
       mean_data_3[7]     -0.02      0.03     -0.02     -0.08      0.03    101.34      1.05
                 mu_1      0.02      0.00      0.02      0.01      0.03    366.81      1.01
                 mu_2      0.01      0.00      0.01      0.00      0.01    126.60      1.04

Number of divergences: 380
