
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      2.13      0.16      2.13      1.89      2.39     12.23      1.18
cov_eigen_values_1[1]      0.80      0.08      0.80      0.67      0.92     18.54      1.10
cov_eigen_values_1[2]      0.55      0.05      0.54      0.47      0.61     29.46      1.01
cov_eigen_values_1[3]      0.24      0.02      0.24      0.20      0.27     19.02      1.05
cov_eigen_values_1[4]      0.19      0.02      0.19      0.16      0.23     10.52      1.09
cov_eigen_values_1[5]      0.17      0.03      0.17      0.15      0.22      9.59      1.09
cov_eigen_values_1[6]      0.05      0.01      0.05      0.04      0.06      9.68      1.18
cov_eigen_values_1[7]      0.03      0.00      0.03      0.03      0.04     15.87      1.11
cov_eigen_values_2[0]      1.34      0.14      1.35      1.12      1.52     57.46      1.06
cov_eigen_values_2[1]      0.89      0.09      0.88      0.75      1.03     35.83      1.01
cov_eigen_values_2[2]      0.76      0.07      0.77      0.64      0.89     23.22      0.99
cov_eigen_values_2[3]      0.38      0.03      0.38      0.33      0.43     38.77      1.00
cov_eigen_values_2[4]      0.28      0.02      0.28      0.25      0.32     68.70      1.01
cov_eigen_values_2[5]      0.16      0.02      0.16      0.14      0.19     20.16      1.13
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08     37.50      1.06
cov_eigen_values_2[7]      0.04      0.01      0.04      0.04      0.05     34.45      0.99
cov_eigen_values_3[0]      0.88      0.05      0.88      0.80      0.95     11.65      1.11
cov_eigen_values_3[1]      0.29      0.02      0.29      0.26      0.33     24.75      1.09
cov_eigen_values_3[2]      0.24      0.01      0.24      0.22      0.25     43.30      1.10
cov_eigen_values_3[3]      0.20      0.01      0.20      0.18      0.21     68.83      1.00
cov_eigen_values_3[4]      0.06      0.00      0.06      0.05      0.06     62.36      1.02
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     57.68      0.99
cov_eigen_values_3[6]      0.01      0.00      0.01      0.01      0.01    124.22      1.00
cov_eigen_values_3[7]      0.02      0.00      0.02      0.01      0.02     65.23      1.00
       mean_data_1[0]      1.84      0.04      1.84      1.78      1.89     15.90      1.21
       mean_data_1[1]      3.57      0.05      3.57      3.51      3.65     15.51      1.08
       mean_data_1[2]     -0.10      0.21     -0.10     -0.39      0.21     31.15      0.99
       mean_data_1[3]     -0.00      0.04     -0.01     -0.05      0.07     35.03      1.01
       mean_data_1[4]      0.04      0.07      0.05     -0.07      0.15      7.59      1.30
       mean_data_1[5]      0.01      0.03      0.02     -0.05      0.04      7.37      1.28
       mean_data_1[6]      0.06      0.06      0.07     -0.03      0.13      6.53      1.32
       mean_data_1[7]      0.03      0.02      0.03      0.00      0.06     34.76      1.00
       mean_data_2[0]      4.03      0.12      3.99      3.90      4.27     14.85      1.14
       mean_data_2[1]     -2.73      0.05     -2.72     -2.81     -2.67     31.50      1.03
       mean_data_2[2]     -0.06      0.02     -0.07     -0.08     -0.03     15.35      1.08
       mean_data_2[3]      0.13      0.20      0.10     -0.12      0.41      4.65      1.62
       mean_data_2[4]     -0.08      0.12     -0.07     -0.24      0.08      8.46      1.32
       mean_data_2[5]     -0.06      0.10     -0.05     -0.20      0.09      4.85      1.61
       mean_data_2[6]      0.02      0.04      0.02     -0.05      0.06     26.49      1.13
       mean_data_2[7]     -0.01      0.07     -0.01     -0.12      0.11     19.82      1.00
       mean_data_3[0]     -2.11      0.01     -2.11     -2.13     -2.09     35.51      1.01
       mean_data_3[1]     -0.52      0.01     -0.52     -0.55     -0.50     20.40      1.03
       mean_data_3[2]      0.04      0.01      0.04      0.02      0.05     20.66      1.06
       mean_data_3[3]     -0.03      0.06     -0.04     -0.10      0.08     15.58      1.05
       mean_data_3[4]      0.01      0.02      0.00     -0.03      0.03     31.81      1.04
       mean_data_3[5]     -0.00      0.02     -0.01     -0.03      0.04     19.57      1.00
       mean_data_3[6]     -0.01      0.01     -0.01     -0.03      0.02     56.83      0.99
       mean_data_3[7]     -0.01      0.01     -0.01     -0.03      0.01     68.04      0.99
                 mu_1      0.02      0.00      0.02      0.02      0.03     14.22      1.09
                 mu_2      0.01      0.00      0.01      0.01      0.02     19.75      1.00

Number of divergences: 109
