
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      2.32      0.17      2.33      1.98      2.46     52.20      1.08
cov_eigen_values_1[1]      0.80      0.07      0.80      0.69      0.92     25.40      1.05
cov_eigen_values_1[2]      0.52      0.05      0.52      0.45      0.61     22.85      1.00
cov_eigen_values_1[3]      0.22      0.03      0.22      0.18      0.26      8.23      1.17
cov_eigen_values_1[4]      0.18      0.02      0.17      0.15      0.21     19.06      0.99
cov_eigen_values_1[5]      0.15      0.02      0.15      0.13      0.17     27.11      1.01
cov_eigen_values_1[6]      0.05      0.01      0.05      0.04      0.05     45.75      1.00
cov_eigen_values_1[7]      0.03      0.00      0.03      0.03      0.03     58.61      1.00
cov_eigen_values_2[0]      1.36      0.16      1.37      1.13      1.58     12.23      1.17
cov_eigen_values_2[1]      0.88      0.09      0.88      0.74      1.03     35.71      1.04
cov_eigen_values_2[2]      0.70      0.07      0.68      0.61      0.81     16.04      1.11
cov_eigen_values_2[3]      0.38      0.03      0.37      0.31      0.42     61.39      1.00
cov_eigen_values_2[4]      0.27      0.04      0.27      0.21      0.31      6.69      1.36
cov_eigen_values_2[5]      0.16      0.01      0.15      0.14      0.17     34.39      0.99
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08     34.76      1.00
cov_eigen_values_2[7]      0.04      0.01      0.04      0.04      0.05     14.93      1.00
cov_eigen_values_3[0]      0.89      0.04      0.89      0.82      0.96     31.62      1.00
cov_eigen_values_3[1]      0.29      0.02      0.29      0.26      0.32     12.43      1.29
cov_eigen_values_3[2]      0.24      0.02      0.25      0.22      0.26     16.43      1.16
cov_eigen_values_3[3]      0.19      0.01      0.19      0.18      0.21     21.67      1.01
cov_eigen_values_3[4]      0.06      0.00      0.06      0.05      0.06     50.19      0.99
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.06     44.56      1.00
cov_eigen_values_3[6]      0.01      0.00      0.01      0.01      0.01    117.12      0.99
cov_eigen_values_3[7]      0.02      0.00      0.02      0.01      0.02     76.54      1.00
       mean_data_1[0]      1.82      0.04      1.83      1.75      1.87     36.95      1.03
       mean_data_1[1]      3.61      0.05      3.61      3.52      3.68     26.64      1.07
       mean_data_1[2]      0.05      0.23      0.04     -0.30      0.35     19.28      0.99
       mean_data_1[3]      0.01      0.04      0.02     -0.07      0.06     17.91      1.05
       mean_data_1[4]     -0.00      0.06      0.00     -0.11      0.09     44.01      1.01
       mean_data_1[5]      0.01      0.03      0.02     -0.04      0.06     15.99      1.01
       mean_data_1[6]      0.04      0.06      0.05     -0.05      0.13     11.43      1.18
       mean_data_1[7]      0.01      0.03      0.01     -0.03      0.05     29.10      1.07
       mean_data_2[0]      4.07      0.10      4.09      3.90      4.19     14.32      1.04
       mean_data_2[1]     -2.69      0.06     -2.68     -2.77     -2.60     14.22      1.06
       mean_data_2[2]     -0.04      0.02     -0.03     -0.07     -0.02     20.61      1.00
       mean_data_2[3]     -0.03      0.16     -0.10     -0.27      0.22     21.56      1.00
       mean_data_2[4]      0.00      0.13      0.04     -0.23      0.18     20.62      1.02
       mean_data_2[5]      0.06      0.10      0.07     -0.09      0.19     12.05      1.00
       mean_data_2[6]     -0.05      0.06     -0.04     -0.13      0.04     10.14      1.01
       mean_data_2[7]     -0.01      0.05     -0.01     -0.10      0.07     79.23      0.99
       mean_data_3[0]     -2.12      0.01     -2.12     -2.14     -2.10      9.07      1.10
       mean_data_3[1]     -0.52      0.02     -0.51     -0.54     -0.49     50.70      1.01
       mean_data_3[2]      0.03      0.01      0.02      0.01      0.05     13.68      1.00
       mean_data_3[3]      0.04      0.08      0.06     -0.07      0.15      9.44      1.02
       mean_data_3[4]     -0.01      0.03     -0.01     -0.05      0.03     10.34      1.07
       mean_data_3[5]      0.01      0.02      0.02     -0.01      0.04     13.80      0.99
       mean_data_3[6]     -0.00      0.02     -0.00     -0.03      0.02     15.82      1.15
       mean_data_3[7]     -0.00      0.01     -0.01     -0.02      0.02     15.84      1.05
                 mu_1      0.02      0.00      0.02      0.02      0.03     17.17      1.02
                 mu_2      0.01      0.00      0.01      0.01      0.02     11.04      1.10

Number of divergences: 96
