
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.89      0.05      0.89      0.82      0.97    129.64      1.00
cov_eigen_values_1[1]      0.30      0.02      0.30      0.27      0.32    259.04      0.99
cov_eigen_values_1[2]      0.24      0.01      0.24      0.22      0.26    250.11      0.99
cov_eigen_values_1[3]      0.19      0.01      0.19      0.17      0.21    494.98      0.99
cov_eigen_values_1[4]      0.06      0.00      0.06      0.05      0.06    161.90      1.00
cov_eigen_values_1[5]      0.05      0.00      0.05      0.04      0.05    108.55      1.00
cov_eigen_values_1[6]      0.01      0.00      0.01      0.01      0.01    163.87      1.01
cov_eigen_values_1[7]      0.02      0.00      0.02      0.01      0.02    128.18      1.00
cov_eigen_values_2[0]      2.27      0.23      2.26      1.86      2.60     61.43      0.99
cov_eigen_values_2[1]      0.80      0.09      0.79      0.67      0.94    155.16      0.99
cov_eigen_values_2[2]      0.54      0.05      0.53      0.46      0.62     89.97      1.00
cov_eigen_values_2[3]      0.23      0.02      0.23      0.20      0.27    129.05      1.00
cov_eigen_values_2[4]      0.18      0.02      0.18      0.15      0.21    228.00      1.00
cov_eigen_values_2[5]      0.16      0.02      0.16      0.13      0.19     70.78      1.00
cov_eigen_values_2[6]      0.05      0.00      0.05      0.04      0.05    150.46      0.99
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    171.46      1.00
cov_eigen_values_3[0]      1.29      0.12      1.29      1.09      1.47    125.75      1.02
cov_eigen_values_3[1]      0.90      0.10      0.89      0.70      1.01    116.36      1.01
cov_eigen_values_3[2]      0.74      0.07      0.73      0.63      0.84    146.12      1.00
cov_eigen_values_3[3]      0.38      0.04      0.37      0.32      0.43    150.35      1.00
cov_eigen_values_3[4]      0.28      0.03      0.28      0.24      0.32    189.15      0.99
cov_eigen_values_3[5]      0.15      0.01      0.15      0.13      0.18    213.28      1.00
cov_eigen_values_3[6]      0.07      0.01      0.07      0.06      0.08    355.23      0.99
cov_eigen_values_3[7]      0.04      0.00      0.04      0.04      0.05    102.32      1.00
       mean_data_1[0]     -2.11      0.00     -2.11     -2.11     -2.11    107.46      1.01
       mean_data_1[1]     -0.52      0.00     -0.52     -0.53     -0.52    168.06      0.99
       mean_data_1[2]      0.04      0.00      0.04      0.03      0.04    171.75      1.00
       mean_data_1[3]     -0.02      0.00     -0.02     -0.03     -0.02    128.79      1.00
       mean_data_1[4]      0.01      0.00      0.01      0.00      0.01    174.17      0.99
       mean_data_1[5]      0.00      0.00      0.00     -0.00      0.01    125.38      1.00
       mean_data_1[6]     -0.01      0.00     -0.01     -0.01     -0.00    168.19      1.01
       mean_data_1[7]     -0.01      0.00     -0.01     -0.01     -0.00    163.46      0.99
       mean_data_2[0]      1.82      0.00      1.82      1.81      1.82    133.47      0.99
       mean_data_2[1]      3.61      0.00      3.61      3.61      3.62    179.92      0.99
       mean_data_2[2]     -0.05      0.00     -0.05     -0.06     -0.05    167.47      0.99
       mean_data_2[3]     -0.01      0.00     -0.01     -0.01     -0.00    132.90      1.00
       mean_data_2[4]     -0.00      0.00     -0.00     -0.01      0.01    167.46      0.99
       mean_data_2[5]      0.00      0.00      0.00     -0.00      0.01    155.09      1.01
       mean_data_2[6]      0.03      0.00      0.03      0.02      0.03    127.58      1.01
       mean_data_2[7]      0.02      0.00      0.02      0.02      0.03    149.27      1.00
       mean_data_3[0]      4.01      0.00      4.01      4.01      4.02     52.36      1.01
       mean_data_3[1]     -2.71      0.00     -2.71     -2.72     -2.71    263.69      0.99
       mean_data_3[2]     -0.05      0.00     -0.05     -0.05     -0.04     80.33      0.99
       mean_data_3[3]      0.07      0.00      0.07      0.06      0.07    174.49      0.99
       mean_data_3[4]     -0.02      0.00     -0.02     -0.03     -0.02    167.63      1.01
       mean_data_3[5]     -0.00      0.00     -0.00     -0.01      0.00    129.98      1.00
       mean_data_3[6]     -0.01      0.00     -0.01     -0.01     -0.00    184.40      0.99
       mean_data_3[7]     -0.01      0.00     -0.01     -0.01     -0.00    118.87      1.00
                 mu_1      0.02      0.00      0.02      0.01      0.02    234.94      0.99
                 mu_2      0.01      0.00      0.01      0.00      0.01    193.25      1.00

Number of divergences: 0
