
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      2.25      0.22      2.23      1.93      2.58     29.22      0.99
cov_eigen_values_1[1]      0.78      0.08      0.77      0.66      0.90     22.26      1.00
cov_eigen_values_1[2]      0.54      0.05      0.54      0.46      0.61     70.75      1.00
cov_eigen_values_1[3]      0.23      0.02      0.23      0.20      0.27     54.34      0.99
cov_eigen_values_1[4]      0.18      0.01      0.18      0.16      0.21     71.17      1.02
cov_eigen_values_1[5]      0.16      0.01      0.16      0.14      0.18     44.90      1.02
cov_eigen_values_1[6]      0.05      0.00      0.05      0.04      0.05     79.53      1.01
cov_eigen_values_1[7]      0.03      0.00      0.03      0.03      0.04    116.46      1.00
cov_eigen_values_2[0]      1.34      0.10      1.35      1.14      1.47     28.56      1.00
cov_eigen_values_2[1]      0.93      0.10      0.94      0.74      1.08     55.51      1.02
cov_eigen_values_2[2]      0.72      0.09      0.70      0.61      0.87     35.93      0.99
cov_eigen_values_2[3]      0.37      0.04      0.36      0.29      0.42     23.36      1.04
cov_eigen_values_2[4]      0.28      0.03      0.28      0.24      0.33     96.62      0.99
cov_eigen_values_2[5]      0.15      0.02      0.15      0.13      0.17     65.73      1.00
cov_eigen_values_2[6]      0.07      0.01      0.07      0.06      0.08     75.72      1.00
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.05    115.33      1.00
cov_eigen_values_3[0]      0.89      0.05      0.89      0.82      0.99     69.32      1.04
cov_eigen_values_3[1]      0.29      0.02      0.29      0.27      0.32     24.87      1.05
cov_eigen_values_3[2]      0.24      0.01      0.24      0.22      0.26     64.37      1.02
cov_eigen_values_3[3]      0.20      0.01      0.20      0.18      0.22     40.07      1.00
cov_eigen_values_3[4]      0.06      0.00      0.06      0.05      0.06     56.11      1.00
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     73.59      1.01
cov_eigen_values_3[6]      0.01      0.00      0.01      0.01      0.01    104.74      1.00
cov_eigen_values_3[7]      0.02      0.00      0.02      0.01      0.02    147.75      1.00
       mean_data_1[0]      1.82      0.00      1.82      1.82      1.82    133.46      0.99
       mean_data_1[1]      3.61      0.00      3.61      3.61      3.61    111.45      1.03
       mean_data_1[2]     -0.05      0.00     -0.05     -0.05     -0.05     62.96      0.99
       mean_data_1[3]     -0.01      0.00     -0.01     -0.01     -0.00    144.58      1.00
       mean_data_1[4]     -0.00      0.00     -0.00     -0.00      0.00    145.39      0.99
       mean_data_1[5]      0.00      0.00      0.00      0.00      0.01     93.50      1.04
       mean_data_1[6]      0.03      0.00      0.03      0.02      0.03    218.26      1.00
       mean_data_1[7]      0.02      0.00      0.02      0.02      0.02    109.87      1.00
       mean_data_2[0]      4.01      0.00      4.01      4.01      4.01     72.04      1.00
       mean_data_2[1]     -2.71      0.00     -2.71     -2.72     -2.71     56.41      0.99
       mean_data_2[2]     -0.05      0.00     -0.05     -0.05     -0.04    138.99      1.02
       mean_data_2[3]      0.07      0.00      0.07      0.07      0.07    127.67      1.00
       mean_data_2[4]     -0.02      0.00     -0.02     -0.02     -0.02     56.98      1.00
       mean_data_2[5]     -0.00      0.00     -0.00     -0.01     -0.00     80.85      1.00
       mean_data_2[6]     -0.01      0.00     -0.01     -0.01     -0.01    109.02      1.00
       mean_data_2[7]     -0.01      0.00     -0.01     -0.01     -0.01    118.52      1.01
       mean_data_3[0]     -2.11      0.00     -2.11     -2.11     -2.11     97.51      0.99
       mean_data_3[1]     -0.52      0.00     -0.52     -0.52     -0.52    240.21      0.99
       mean_data_3[2]      0.04      0.00      0.04      0.04      0.04    173.27      1.00
       mean_data_3[3]     -0.02      0.00     -0.02     -0.02     -0.02     65.24      1.00
       mean_data_3[4]      0.01      0.00      0.01      0.01      0.01     96.05      1.00
       mean_data_3[5]     -0.00      0.00     -0.00     -0.00      0.00    208.39      1.00
       mean_data_3[6]     -0.01      0.00     -0.01     -0.01     -0.01    153.19      1.00
       mean_data_3[7]     -0.01      0.00     -0.01     -0.01     -0.00     65.84      1.02
                 mu_1      0.02      0.00      0.03      0.02      0.03     28.73      1.00
                 mu_2      0.01      0.00      0.01      0.01      0.02     73.59      0.99

Number of divergences: 97
