
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      2.23      0.00      2.23      2.23      2.23    344.58      0.99
cov_eigen_values_1[1]      0.77      0.00      0.77      0.77      0.77    825.89      1.00
cov_eigen_values_1[2]      0.53      0.00      0.53      0.52      0.53    186.77      0.99
cov_eigen_values_1[3]      0.22      0.00      0.22      0.22      0.23    253.18      0.99
cov_eigen_values_1[4]      0.18      0.00      0.18      0.18      0.18    159.87      1.00
cov_eigen_values_1[5]      0.15      0.00      0.15      0.15      0.16    252.07      0.99
cov_eigen_values_1[6]      0.05      0.00      0.05      0.04      0.05    274.84      0.99
cov_eigen_values_1[7]      0.03      0.00      0.03      0.03      0.03    432.17      0.99
cov_eigen_values_2[0]      1.28      0.00      1.28      1.28      1.28    231.82      0.99
cov_eigen_values_2[1]      0.89      0.00      0.89      0.89      0.89    266.11      1.01
cov_eigen_values_2[2]      0.71      0.00      0.71      0.71      0.72    104.65      1.00
cov_eigen_values_2[3]      0.37      0.00      0.37      0.37      0.37    276.87      1.00
cov_eigen_values_2[4]      0.27      0.00      0.27      0.27      0.27    183.12      0.99
cov_eigen_values_2[5]      0.15      0.00      0.15      0.15      0.15    186.06      0.99
cov_eigen_values_2[6]      0.07      0.00      0.07      0.07      0.07    187.15      1.00
cov_eigen_values_2[7]      0.04      0.00      0.04      0.04      0.04    123.17      1.00
cov_eigen_values_3[0]      0.88      0.00      0.88      0.88      0.88    332.90      0.99
cov_eigen_values_3[1]      0.29      0.00      0.29      0.29      0.29   2859.27      0.99
cov_eigen_values_3[2]      0.24      0.00      0.24      0.23      0.24    288.08      1.00
cov_eigen_values_3[3]      0.19      0.00      0.19      0.19      0.19    177.87      0.99
cov_eigen_values_3[4]      0.06      0.00      0.06      0.05      0.06    234.89      0.99
cov_eigen_values_3[5]      0.05      0.00      0.05      0.05      0.05    188.47      0.99
cov_eigen_values_3[6]      0.01      0.00      0.01      0.01      0.01    127.84      1.00
cov_eigen_values_3[7]      0.02      0.00      0.02      0.01      0.02    214.76      1.00
       mean_data_1[0]      1.82      0.00      1.82      1.82      1.82    199.71      1.00
       mean_data_1[1]      3.61      0.00      3.61      3.61      3.61    237.39      1.00
       mean_data_1[2]     -0.05      0.00     -0.05     -0.05     -0.05    183.23      1.01
       mean_data_1[3]     -0.01      0.00     -0.01     -0.01     -0.00    109.08      1.00
       mean_data_1[4]     -0.00      0.00     -0.00     -0.00      0.00    233.96      1.00
       mean_data_1[5]      0.00      0.00      0.00      0.00      0.01    179.21      1.01
       mean_data_1[6]      0.03      0.00      0.03      0.02      0.03    230.50      1.00
       mean_data_1[7]      0.02      0.00      0.02      0.02      0.02   1461.64      1.00
       mean_data_2[0]      4.01      0.00      4.01      4.01      4.01    232.88      0.99
       mean_data_2[1]     -2.71      0.00     -2.71     -2.72     -2.71    111.65      1.00
       mean_data_2[2]     -0.05      0.00     -0.05     -0.05     -0.04    141.28      0.99
       mean_data_2[3]      0.07      0.00      0.07      0.07      0.07    199.63      0.99
       mean_data_2[4]     -0.02      0.00     -0.02     -0.02     -0.02    704.42      0.99
       mean_data_2[5]     -0.00      0.00     -0.00     -0.01     -0.00    224.92      0.99
       mean_data_2[6]     -0.01      0.00     -0.01     -0.01     -0.01    222.91      0.99
       mean_data_2[7]     -0.01      0.00     -0.01     -0.01     -0.01    103.78      1.02
       mean_data_3[0]     -2.11      0.00     -2.11     -2.11     -2.11    275.20      0.99
       mean_data_3[1]     -0.52      0.00     -0.52     -0.52     -0.52    208.67      0.99
       mean_data_3[2]      0.04      0.00      0.04      0.03      0.04    103.56      1.01
       mean_data_3[3]     -0.02      0.00     -0.02     -0.02     -0.02    190.04      1.01
       mean_data_3[4]      0.01      0.00      0.01      0.01      0.01    165.67      1.01
       mean_data_3[5]     -0.00      0.00     -0.00     -0.00      0.00    166.23      0.99
       mean_data_3[6]     -0.01      0.00     -0.01     -0.01     -0.01    198.40      1.00
       mean_data_3[7]     -0.01      0.00     -0.01     -0.01     -0.00    198.31      1.02
                 mu_1      0.02      0.00      0.02      0.02      0.03     33.41      1.01
                 mu_2      0.01      0.00      0.01      0.01      0.02     19.27      1.02

Number of divergences: 31
