
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
     mean_data_1[0]     -2.11      0.02     -2.11     -2.14     -2.09    108.84      1.00
     mean_data_1[1]     -0.52      0.02     -0.52     -0.55     -0.50    128.14      1.00
     mean_data_1[2]      0.04      0.01      0.04      0.01      0.06    142.15      1.00
     mean_data_1[3]     -0.03      0.07     -0.03     -0.16      0.08    128.56      1.00
     mean_data_1[4]      0.01      0.03      0.01     -0.03      0.05    135.21      1.00
     mean_data_1[5]     -0.00      0.02     -0.00     -0.04      0.04    126.88      1.00
     mean_data_1[6]     -0.00      0.02     -0.00     -0.03      0.03    160.33      0.99
     mean_data_1[7]     -0.01      0.02     -0.01     -0.03      0.02    333.68      0.99
     mean_data_2[0]      1.78      0.04      1.78      1.72      1.84    176.69      0.99
     mean_data_2[1]      3.66      0.03      3.66      3.60      3.71    158.40      1.00
     mean_data_2[2]     -0.13      0.33     -0.13     -0.66      0.38    125.49      0.99
     mean_data_2[3]     -0.04      0.04     -0.03     -0.11      0.01    180.17      1.00
     mean_data_2[4]     -0.05      0.06     -0.05     -0.13      0.06    134.87      1.00
     mean_data_2[5]     -0.00      0.03     -0.01     -0.04      0.05    139.17      1.00
     mean_data_2[6]      0.02      0.06      0.01     -0.09      0.11    153.20      1.00
     mean_data_2[7]      0.01      0.03      0.01     -0.04      0.04    204.69      0.99
     mean_data_3[0]      4.00      0.10      4.01      3.85      4.15    111.88      1.00
     mean_data_3[1]     -2.65      0.11     -2.66     -2.83     -2.47    101.93      1.01
     mean_data_3[2]     -0.01      0.05     -0.01     -0.10      0.08    130.98      1.00
     mean_data_3[3]      0.11      0.18      0.10     -0.18      0.40     93.67      0.99
     mean_data_3[4]      0.02      0.18     -0.00     -0.26      0.35     89.94      1.01
     mean_data_3[5]     -0.01      0.09     -0.01     -0.18      0.12    101.03      1.01
     mean_data_3[6]      0.00      0.05      0.00     -0.07      0.07     95.91      1.02
     mean_data_3[7]      0.02      0.08      0.03     -0.12      0.13    154.47      1.00
               mu_1      0.02      0.00      0.02      0.01      0.02    115.27      0.99
               mu_2      0.01      0.00      0.01      0.00      0.01     98.50      0.99
 upper_tri_cov_1[0]     -5.16      0.11     -5.17     -5.33     -4.96    287.71      1.00
 upper_tri_cov_1[1]      0.08      0.06      0.08      0.00      0.19    319.90      1.01
 upper_tri_cov_1[2]      0.12      0.07      0.12     -0.01      0.21    389.41      0.99
 upper_tri_cov_1[3]     -0.48      0.05     -0.48     -0.56     -0.40    115.49      0.99
 upper_tri_cov_1[4]      0.65      0.06      0.65      0.57      0.77    312.53      0.99
 upper_tri_cov_1[5]     -0.13      0.07     -0.13     -0.23     -0.02    270.93      0.99
 upper_tri_cov_1[6]     -0.88      0.06     -0.87     -0.99     -0.79    184.06      1.00
 upper_tri_cov_1[7]      1.28      0.07      1.28      1.18      1.40    146.30      0.99
 upper_tri_cov_1[8]     -5.33      0.09     -5.33     -5.46     -5.19    118.77      1.03
 upper_tri_cov_1[9]     -0.48      0.06     -0.49     -0.56     -0.38    220.02      0.99
upper_tri_cov_1[10]      0.15      0.06      0.16      0.06      0.24    233.95      0.99
upper_tri_cov_1[11]     -1.91      0.07     -1.91     -2.04     -1.80    232.13      1.00
upper_tri_cov_1[12]     -1.00      0.08     -1.00     -1.10     -0.85    209.39      0.99
upper_tri_cov_1[13]     -0.50      0.07     -0.50     -0.63     -0.40    364.27      0.99
upper_tri_cov_1[14]     -1.65      0.06     -1.65     -1.74     -1.54    216.38      0.99
upper_tri_cov_1[15]     -7.75      0.10     -7.76     -7.89     -7.57    238.55      1.00
upper_tri_cov_1[16]     -1.06      0.04     -1.06     -1.11     -1.00    232.36      0.99
upper_tri_cov_1[17]      0.30      0.06      0.29      0.21      0.39    248.53      0.99
upper_tri_cov_1[18]      0.32      0.06      0.31      0.22      0.42    166.71      0.99
upper_tri_cov_1[19]      1.33      0.06      1.33      1.26      1.44    132.05      1.00
upper_tri_cov_1[20]     -0.73      0.07     -0.72     -0.83     -0.63    300.99      1.00
upper_tri_cov_1[21]     -1.00      0.10     -1.00     -1.19     -0.86    195.21      1.00
upper_tri_cov_1[22]     -0.89      0.06     -0.90     -0.97     -0.79    272.87      0.99
upper_tri_cov_1[23]      1.27      0.07      1.26      1.17      1.39    357.07      1.00
upper_tri_cov_1[24]      0.07      0.06      0.07     -0.02      0.17    569.97      0.99
upper_tri_cov_1[25]      0.56      0.05      0.56      0.47      0.62    249.20      0.99
upper_tri_cov_1[26]     -4.49      0.11     -4.49     -4.68     -4.32    214.74      0.99
upper_tri_cov_1[27]      0.15      0.07      0.15      0.04      0.27    193.06      1.00
upper_tri_cov_1[28]     -0.01      0.08     -0.01     -0.13      0.11    228.98      0.99
