
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
     mean_data_1[0]      1.77      0.12      1.74      1.61      1.98     19.03      1.17
     mean_data_1[1]      3.65      0.14      3.62      3.41      3.82     14.56      1.03
     mean_data_1[2]      0.04      0.14      0.08     -0.10      0.23     10.01      1.07
     mean_data_1[3]      0.06      0.07      0.06     -0.04      0.16     28.77      1.09
     mean_data_1[4]     -0.03      0.09     -0.04     -0.18      0.08     16.64      0.99
     mean_data_1[5]     -0.00      0.11     -0.02     -0.20      0.16     23.35      1.12
     mean_data_1[6]      0.02      0.12      0.03     -0.15      0.19     10.41      1.34
     mean_data_1[7]      0.01      0.13     -0.00     -0.15      0.17     21.22      1.07
     mean_data_2[0]      3.99      0.12      3.99      3.80      4.17     30.76      1.05
     mean_data_2[1]     -2.77      0.18     -2.79     -3.05     -2.48     15.28      1.01
     mean_data_2[2]     -0.06      0.10     -0.07     -0.21      0.05     35.89      1.00
     mean_data_2[3]      0.07      0.11      0.09     -0.15      0.17     19.84      1.01
     mean_data_2[4]     -0.03      0.10     -0.02     -0.17      0.13     20.31      1.00
     mean_data_2[5]     -0.01      0.11     -0.01     -0.20      0.14     10.56      1.19
     mean_data_2[6]     -0.02      0.13     -0.08     -0.17      0.18     15.10      1.10
     mean_data_2[7]     -0.05      0.16     -0.02     -0.26      0.19     12.33      1.21
     mean_data_3[0]     -2.14      0.08     -2.15     -2.26     -2.04     13.43      1.01
     mean_data_3[1]     -0.53      0.05     -0.53     -0.58     -0.44     27.97      1.01
     mean_data_3[2]      0.05      0.05      0.04     -0.01      0.14     22.45      1.04
     mean_data_3[3]      0.00      0.07      0.00     -0.14      0.09     31.17      1.00
     mean_data_3[4]      0.03      0.08      0.02     -0.14      0.13     17.68      1.18
     mean_data_3[5]     -0.01      0.07     -0.03     -0.11      0.09     16.45      1.16
     mean_data_3[6]      0.01      0.05      0.00     -0.08      0.08     17.38      1.00
     mean_data_3[7]     -0.01      0.07     -0.03     -0.10      0.10     16.67      1.04
               mu_1      0.02      0.00      0.02      0.02      0.03     15.92      1.01
               mu_2      0.01      0.00      0.01      0.01      0.02     24.82      1.03
 upper_tri_cov_1[0]     -0.22      0.11     -0.21     -0.34     -0.05      4.95      1.76
 upper_tri_cov_1[1]     -0.04      0.08     -0.04     -0.16      0.08     13.06      1.01
 upper_tri_cov_1[2]      0.09      0.07      0.09     -0.03      0.21     17.28      1.20
 upper_tri_cov_1[3]      0.02      0.08      0.01     -0.06      0.21     14.51      1.06
 upper_tri_cov_1[4]      0.08      0.05      0.06      0.02      0.17     36.81      1.01
 upper_tri_cov_1[5]      0.01      0.07      0.02     -0.15      0.09     17.07      1.15
 upper_tri_cov_1[6]      0.05      0.09      0.02     -0.07      0.19     11.73      1.03
 upper_tri_cov_1[7]      0.02      0.10      0.02     -0.09      0.19     18.42      0.99
 upper_tri_cov_1[8]     -0.22      0.10     -0.25     -0.33     -0.05      9.11      1.16
 upper_tri_cov_1[9]      0.03      0.06      0.03     -0.06      0.12     20.53      1.01
upper_tri_cov_1[10]     -0.04      0.07     -0.06     -0.14      0.05     10.97      1.12
upper_tri_cov_1[11]     -0.05      0.11     -0.05     -0.24      0.11     18.49      1.01
upper_tri_cov_1[12]     -0.02      0.08     -0.02     -0.13      0.07     13.05      1.14
upper_tri_cov_1[13]     -0.01      0.11      0.00     -0.19      0.13     19.40      1.04
upper_tri_cov_1[14]     -0.01      0.09      0.01     -0.12      0.14      9.03      1.28
upper_tri_cov_1[15]      0.47      0.09      0.50      0.28      0.56      9.94      1.15
upper_tri_cov_1[16]      0.09      0.07      0.08     -0.01      0.20     15.63      1.00
upper_tri_cov_1[17]     -0.00      0.08      0.02     -0.12      0.11     15.58      1.17
upper_tri_cov_1[18]     -0.00      0.06     -0.01     -0.08      0.10     38.60      1.01
upper_tri_cov_1[19]     -0.02      0.06     -0.00     -0.18      0.03     18.03      1.02
upper_tri_cov_1[20]     -0.03      0.08     -0.04     -0.16      0.07     38.08      0.99
upper_tri_cov_1[21]     -0.21      0.10     -0.20     -0.39     -0.08     10.81      1.23
upper_tri_cov_1[22]      0.03      0.07      0.02     -0.10      0.13     23.17      0.99
upper_tri_cov_1[23]     -0.03      0.09     -0.04     -0.16      0.08     33.88      1.04
upper_tri_cov_1[24]      0.02      0.07      0.05     -0.11      0.09     29.51      1.11
upper_tri_cov_1[25]      0.01      0.09      0.01     -0.13      0.13      5.21      1.70
upper_tri_cov_1[26]     -0.17      0.09     -0.18     -0.26      0.00     10.17      1.01
upper_tri_cov_1[27]      0.04      0.11      0.03     -0.11      0.21     20.47      0.99
upper_tri_cov_1[28]      0.06      0.06      0.03     -0.02      0.17     42.13      1.00
upper_tri_cov_1[29]      0.02      0.10      0.04     -0.14      0.17     22.69      1.01
upper_tri_cov_1[30]     -0.23      0.12     -0.25     -0.33     -0.01     12.17      1.21
upper_tri_cov_1[31]      0.04      0.10      0.04     -0.11      0.19     22.17      1.00
upper_tri_cov_1[32]     -0.04      0.13     -0.06     -0.19      0.20     20.28      1.01
upper_tri_cov_1[33]     -0.21      0.11     -0.19     -0.38     -0.07      6.50      1.29
upper_tri_cov_1[34]     -0.03      0.09     -0.06     -0.13      0.14     19.26      1.00
upper_tri_cov_1[35]     -0.20      0.12     -0.20     -0.45     -0.06      9.34      0.99
 upper_tri_cov_2[0]     -0.09      0.10     -0.07     -0.24      0.04     14.29      1.00
 upper_tri_cov_2[1]      0.03      0.05      0.01     -0.04      0.13     49.29      1.02
 upper_tri_cov_2[2]     -0.00      0.09      0.01     -0.14      0.14     15.49      1.08
 upper_tri_cov_2[3]     -0.09      0.08     -0.08     -0.22      0.04     14.31      0.99
 upper_tri_cov_2[4]      0.02      0.09      0.05     -0.10      0.16     11.44      1.07
 upper_tri_cov_2[5]     -0.00      0.08     -0.00     -0.12      0.09     16.57      0.99
 upper_tri_cov_2[6]     -0.02      0.08     -0.03     -0.08      0.15     22.26      1.04
 upper_tri_cov_2[7]     -0.06      0.09     -0.03     -0.18      0.12     20.01      1.01
 upper_tri_cov_2[8]     -0.17      0.09     -0.18     -0.28     -0.03     10.01      1.14
 upper_tri_cov_2[9]      0.02      0.07      0.02     -0.08      0.11     53.99      1.00
upper_tri_cov_2[10]      0.02      0.05      0.02     -0.05      0.10     45.05      1.01
upper_tri_cov_2[11]      0.11      0.09      0.14     -0.08      0.21     18.14      1.09
upper_tri_cov_2[12]      0.04      0.06      0.03     -0.01      0.16     22.27      1.14
upper_tri_cov_2[13]     -0.01      0.06     -0.02     -0.09      0.08     18.46      1.23
upper_tri_cov_2[14]     -0.03      0.08      0.00     -0.17      0.07      8.92      1.16
upper_tri_cov_2[15]     -0.18      0.12     -0.20     -0.31      0.06      7.11      1.20
upper_tri_cov_2[16]      0.04      0.07      0.07     -0.05      0.18     33.39      1.02
upper_tri_cov_2[17]      0.05      0.11      0.03     -0.11      0.21     10.16      1.03
upper_tri_cov_2[18]      0.05      0.08      0.06     -0.07      0.17     19.84      1.22
upper_tri_cov_2[19]     -0.00      0.08      0.02     -0.15      0.10     17.34      1.00
upper_tri_cov_2[20]      0.01      0.09     -0.02     -0.16      0.11     17.26      1.05
upper_tri_cov_2[21]      0.03      0.09      0.04     -0.10      0.13     16.15      1.02
upper_tri_cov_2[22]      0.13      0.10      0.10     -0.02      0.24      9.95      1.02
upper_tri_cov_2[23]     -0.15      0.07     -0.17     -0.25     -0.06     14.50      1.02
upper_tri_cov_2[24]      0.01      0.07     -0.01     -0.08      0.13     18.99      1.03
upper_tri_cov_2[25]     -0.04      0.08     -0.04     -0.11      0.16     17.51      1.12
upper_tri_cov_2[26]     -0.05      0.07     -0.06     -0.20      0.02     15.96      1.05
upper_tri_cov_2[27]     -0.00      0.08     -0.02     -0.12      0.13     17.52      1.08
upper_tri_cov_2[28]     -0.07      0.06     -0.08     -0.15     -0.00     25.13      1.09
